Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
10/24 10:42:22 am,Pinnacle,New York Knicks,San Antonio Spurs,-8.5,-102,8.5,-115,120,111,-10.5,10.5
10/24 10:42:18 am,Pinnacle,New York Knicks,San Antonio Spurs,-8.5,-106,8.5,-110,120,111,-10.5,10.5
10/24 10:41:50 am,Pinnacle,New York Knicks,San Antonio Spurs,-9.5,116,9.5,-155,120,111,-10.5,10.5
10/24 10:41:45 am,Pinnacle,New York Knicks,San Antonio Spurs,-9.5,106,9.5,-141,120,111,-10.5,10.5
10/24 10:41:36 am,Pinnacle,New York Knicks,San Antonio Spurs,-9.5,104,9.5,-139,120,111,-10.5,10.5
10/24 10:41:26 am,Pinnacle,New York Knicks,San Antonio Spurs,-9.5,-114,9.5,-137,120,111,-10.5,10.5
10/24 10:41:16 am,Pinnacle,New York Knicks,San Antonio Spurs,-7.5,-138,7.5,-114,120,111,-10.5,10.5
10/24 10:41:02 am,Pinnacle,New York Knicks,San Antonio Spurs,-7.0,-126,7.0,-124,120,111,-10.5,10.5
10/24 10:40:48 am,Pinnacle,New York Knicks,San Antonio Spurs,-8.0,-112,8.0,-140,120,111,-10.5,10.5
10/24 10:40:44 am,Pinnacle,New York Knicks,San Antonio Spurs,-7.0,-137,7.0,-114,120,111,-10.5,10.5
10/24 10:40:34 am,Pinnacle,New York Knicks,San Antonio Spurs,-7.0,-138,7.0,-113,120,111,-10.5,10.5
10/24 10:40:26 am,Pinnacle,New York Knicks,San Antonio Spurs,-5.5,-128,5.5,-122,120,111,-10.5,10.5
10/24 10:40:16 am,Pinnacle,New York Knicks,San Antonio Spurs,-4.5,-130,4.5,-120,120,111,-10.5,10.5
10/24 10:40:02 am,Pinnacle,New York Knicks,San Antonio Spurs,-5.5,-131,5.5,-119,120,111,-10.5,10.5
10/24 10:39:39 am,Pinnacle,New York Knicks,San Antonio Spurs,-4.5,-135,4.5,-116,120,111,-10.5,10.5
10/24 10:39:29 am,Pinnacle,New York Knicks,San Antonio Spurs,-4.5,-137,4.5,-114,120,111,-10.5,10.5
