Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/8 11:04:12 am,Pinnacle,Oklahoma City Thunder,Brooklyn Nets,5.5,127,-5.5,-149,103,111,-1,1
1/8 11:04:09 am,Pinnacle,Oklahoma City Thunder,Brooklyn Nets,5.5,112,-5.5,-131,103,111,-1,1
1/8 11:04:06 am,Pinnacle,Oklahoma City Thunder,Brooklyn Nets,5.5,109,-5.5,-127,103,111,-1,1
1/8 11:04:00 am,Pinnacle,Oklahoma City Thunder,Brooklyn Nets,5.5,103,-5.5,-121,103,111,-1,1
1/8 11:03:51 am,Pinnacle,Oklahoma City Thunder,Brooklyn Nets,5.5,-101,-5.5,-116,103,111,-1,1
1/8 10:55:33 am,Pinnacle,Oklahoma City Thunder,Brooklyn Nets,0.0,-107,0.0,-109,103,111,-1,1
1/8 10:54:36 am,Pinnacle,Oklahoma City Thunder,Brooklyn Nets,0.0,-108,0.0,-108,103,111,-1,1
1/8 10:54:30 am,Pinnacle,Oklahoma City Thunder,Brooklyn Nets,0.0,-111,0.0,-106,103,111,-1,1
1/8 10:54:15 am,Pinnacle,Oklahoma City Thunder,Brooklyn Nets,0.0,-113,0.0,-103,103,111,-1,1
1/8 10:52:42 am,Pinnacle,Oklahoma City Thunder,Brooklyn Nets,0.0,-108,0.0,-108,103,111,-1,1
1/8 10:50:30 am,Pinnacle,Oklahoma City Thunder,Brooklyn Nets,0.0,-219,0.0,184,103,111,-1,1
1/8 10:50:18 am,Pinnacle,Oklahoma City Thunder,Brooklyn Nets,0.0,-222,0.0,186,103,111,-1,1
1/8 10:49:42 am,Pinnacle,Oklahoma City Thunder,Brooklyn Nets,0.0,-220,0.0,185,103,111,-1,1
1/8 10:49:36 am,Pinnacle,Oklahoma City Thunder,Brooklyn Nets,0.0,-230,0.0,193,103,111,-1,1
1/8 10:49:21 am,Pinnacle,Oklahoma City Thunder,Brooklyn Nets,0.0,-280,0.0,232,103,111,-1,1
1/8 10:47:42 am,Pinnacle,Oklahoma City Thunder,Brooklyn Nets,0.0,-156,0.0,133,103,111,-1,1
1/8 10:47:27 am,Pinnacle,Oklahoma City Thunder,Brooklyn Nets,0.0,-157,0.0,134,103,111,-1,1
1/8 10:47:11 am,Pinnacle,Oklahoma City Thunder,Brooklyn Nets,0.0,-152,0.0,130,103,111,-1,1
