Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
10/29 10:31:54 am,Pinnacle,Oklahoma City Thunder,Houston Rockets,-3.5,-250,3.5,222,116,112,-10,10
10/29 10:24:44 am,Pinnacle,Oklahoma City Thunder,Houston Rockets,-5.5,-108,5.5,-108,116,112,-10,10
10/29 10:17:43 am,Pinnacle,Oklahoma City Thunder,Houston Rockets,-5.5,-127,5.5,109,116,112,-10,10
10/29 10:17:13 am,Pinnacle,Oklahoma City Thunder,Houston Rockets,-5.5,-125,5.5,107,116,112,-10,10
10/29 10:17:04 am,Pinnacle,Oklahoma City Thunder,Houston Rockets,-5.5,-108,5.5,-108,116,112,-10,10
10/29 10:13:26 am,Pinnacle,Oklahoma City Thunder,Houston Rockets,-7.0,-127,7.0,-123,116,112,-10,10
10/29 10:13:21 am,Pinnacle,Oklahoma City Thunder,Houston Rockets,-7.0,-131,7.0,-120,116,112,-10,10
10/29 10:13:17 am,Pinnacle,Oklahoma City Thunder,Houston Rockets,-7.5,-134,7.5,-117,116,112,-10,10
10/29 10:13:04 am,Pinnacle,Oklahoma City Thunder,Houston Rockets,-8.5,-125,8.5,-125,116,112,-10,10
10/29 10:12:51 am,Pinnacle,Oklahoma City Thunder,Houston Rockets,-7.5,-123,7.5,-127,116,112,-10,10
10/29 10:12:42 am,Pinnacle,Oklahoma City Thunder,Houston Rockets,-7.5,-118,7.5,-133,116,112,-10,10
10/29 10:12:38 am,Pinnacle,Oklahoma City Thunder,Houston Rockets,-7.0,-138,7.0,104,116,112,-10,10
10/29 10:12:33 am,Pinnacle,Oklahoma City Thunder,Houston Rockets,-7.0,-134,7.0,-116,116,112,-10,10
10/29 10:11:15 am,Pinnacle,Oklahoma City Thunder,Houston Rockets,-6.5,-125,6.5,-125,116,112,-10,10
10/29 10:11:01 am,Pinnacle,Oklahoma City Thunder,Houston Rockets,-7.0,-130,7.0,-120,116,112,-10,10
10/29 10:10:48 am,Pinnacle,Oklahoma City Thunder,Houston Rockets,-8.0,-120,8.0,-130,116,112,-10,10
10/29 10:10:31 am,Pinnacle,Oklahoma City Thunder,Houston Rockets,-7.0,-121,7.0,-129,116,112,-10,10
10/29 10:10:26 am,Pinnacle,Oklahoma City Thunder,Houston Rockets,-6.5,-138,6.5,-113,116,112,-10,10
10/29 10:09:51 am,Pinnacle,Oklahoma City Thunder,Houston Rockets,-6.5,-126,6.5,-124,116,112,-10,10
