Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/14 11:12:44 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,13.5,103,-13.5,-121,104,117,2,-2
1/14 11:08:46 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,9.5,104,-9.5,-121,104,117,2,-2
1/14 11:08:40 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,9.5,103,-9.5,-120,104,117,2,-2
1/14 11:08:26 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,9.5,-105,-9.5,-111,104,117,2,-2
1/14 11:08:04 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,9.5,-106,-9.5,-110,104,117,2,-2
1/14 11:07:56 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,9.5,-107,-9.5,-109,104,117,2,-2
1/14 11:04:34 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,9.5,-120,-9.5,-111,104,117,2,-2
1/14 11:04:16 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,11.0,-125,-11.0,-106,104,117,2,-2
1/14 11:03:55 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,11.5,-111,-11.5,-119,104,117,2,-2
1/14 11:03:47 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,10.5,-106,-10.5,-125,104,117,2,-2
1/14 11:03:19 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,11.0,104,-11.0,-121,104,117,2,-2
1/14 11:03:14 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,11.0,102,-11.0,-120,104,117,2,-2
1/14 11:02:40 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,11.0,-103,-11.0,-114,104,117,2,-2
1/14 11:02:26 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,11.0,-106,-11.0,-110,104,117,2,-2
1/14 11:02:07 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,11.0,-105,-11.0,-111,104,117,2,-2
1/14 11:01:38 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,11.0,-104,-11.0,-112,104,117,2,-2
1/14 11:01:14 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,11.0,-105,-11.0,-111,104,117,2,-2
1/14 11:00:44 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,10.5,-101,-10.5,-116,104,117,2,-2
1/14 11:00:41 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,10.5,-106,-10.5,-125,104,117,2,-2
1/14 11:00:37 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,9.5,-122,-9.5,-109,104,117,2,-2
1/14 11:00:29 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,9.5,-123,-9.5,-108,104,117,2,-2
1/14 11:00:19 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,8.5,-123,-8.5,-107,104,117,2,-2
1/14 11:00:07 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,8.5,-123,-8.5,-108,104,117,2,-2
1/14 10:59:37 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,9.0,-107,-9.0,-124,104,117,2,-2
1/14 10:59:29 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,8.5,-124,-8.5,-107,104,117,2,-2
1/14 10:59:26 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,7.0,-114,-7.0,-116,104,117,2,-2
1/14 10:59:01 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,7.0,-120,-7.0,-110,104,117,2,-2
1/14 10:58:47 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,7.0,-121,-7.0,-109,104,117,2,-2
1/14 10:58:22 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,8.0,-109,-8.0,-121,104,117,2,-2
1/14 10:58:20 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,7.5,100,-7.5,-132,104,117,2,-2
1/14 10:58:16 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,7.5,-106,-7.5,-125,104,117,2,-2
1/14 10:58:13 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,7.5,-112,-7.5,-118,104,117,2,-2
1/14 10:58:08 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,8.0,-109,-8.0,-121,104,117,2,-2
1/14 10:57:38 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,8.0,-113,-8.0,-118,104,117,2,-2
1/14 10:57:31 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,9.0,-113,-9.0,-117,104,117,2,-2
1/14 10:57:17 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,8.0,-113,-8.0,-117,104,117,2,-2
1/14 10:56:52 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,7.5,-116,-7.5,-114,104,117,2,-2
1/14 10:56:38 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,8.0,-115,-8.0,-115,104,117,2,-2
1/14 10:56:11 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,7.5,-116,-7.5,-114,104,117,2,-2
1/14 10:56:01 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,7.5,-117,-7.5,-113,104,117,2,-2
1/14 10:55:59 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,7.5,-117,-7.5,-113,104,117,2,-2
1/14 10:57:44 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,8.0,-110,-8.0,-121,104,117,2,-2
1/14 10:55:46 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,8.0,-108,-8.0,-108,104,117,2,-2
1/14 10:55:29 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,8.0,-109,-8.0,-107,104,117,2,-2
1/14 10:54:34 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,8.0,-110,-8.0,-106,104,117,2,-2
1/14 10:54:04 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,8.0,-112,-8.0,-104,104,117,2,-2
1/14 10:53:47 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,8.0,-110,-8.0,-106,104,117,2,-2
1/14 10:53:34 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,8.0,-105,-8.0,-112,104,117,2,-2
1/14 10:53:20 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,8.0,-105,-8.0,-111,104,117,2,-2
1/14 10:53:13 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,7.5,-120,-7.5,-110,104,117,2,-2
1/14 10:53:09 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,7.5,-113,-7.5,-117,104,117,2,-2
1/14 10:53:02 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,7.5,-120,-7.5,-111,104,117,2,-2
1/14 10:52:50 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,8.5,-111,-8.5,-119,104,117,2,-2
1/14 10:52:41 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,9.5,-111,-9.5,-120,104,117,2,-2
1/14 10:52:37 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,9.5,-111,-9.5,-119,104,117,2,-2
1/14 10:52:35 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,10.0,-126,-10.0,-105,104,117,2,-2
1/14 10:52:32 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,10.0,-118,-10.0,-112,104,117,2,-2
1/14 10:52:26 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,10.0,-136,-10.0,103,104,117,2,-2
1/14 10:52:23 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,10.0,-126,-10.0,-105,104,117,2,-2
1/14 10:52:17 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,10.0,-117,-10.0,-113,104,117,2,-2
1/14 10:52:08 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,10.5,-113,-10.5,-117,104,117,2,-2
1/14 10:51:56 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,10.5,-116,-10.5,-114,104,117,2,-2
1/14 10:51:52 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,10.0,-125,-10.0,-106,104,117,2,-2
1/14 10:51:38 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,10.0,-118,-10.0,-112,104,117,2,-2
1/14 10:51:25 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,10.5,-117,-10.5,-113,104,117,2,-2
1/14 10:51:19 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,10.5,-114,-10.5,-116,104,117,2,-2
1/14 10:51:13 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,11.5,-127,-11.5,-104,104,117,2,-2
1/14 10:51:04 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,11.5,-119,-11.5,-112,104,117,2,-2
1/14 10:49:55 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,12.0,-121,-12.0,104,104,117,2,-2
1/14 10:49:31 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,12.0,-120,-12.0,103,104,117,2,-2
1/14 10:49:26 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,12.0,-118,-12.0,101,104,117,2,-2
1/14 10:49:17 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,12.0,-116,-12.0,-101,104,117,2,-2
1/14 10:49:10 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,12.0,-111,-12.0,-105,104,117,2,-2
1/14 10:48:59 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,12.0,-110,-12.0,-106,104,117,2,-2
1/14 10:48:40 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,12.0,-111,-12.0,-105,104,117,2,-2
1/14 10:48:32 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,12.0,-110,-12.0,-106,104,117,2,-2
1/14 10:48:25 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,11.5,-112,-11.5,-104,104,117,2,-2
1/14 10:48:16 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,11.0,-105,-11.0,-111,104,117,2,-2
1/14 10:48:13 am,Pinnacle,Oklahoma City Thunder,Minnesota Timberwolves,11.0,-112,-11.0,-118,104,117,2,-2
