Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/23 10:05:58 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,2.0,117,-2.0,-137,114,120,-2.5,2.5
1/23 10:05:49 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,2.0,115,-2.0,-135,114,120,-2.5,2.5
1/23 10:05:43 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,2.0,110,-2.0,-129,114,120,-2.5,2.5
1/23 10:05:37 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,2.0,111,-2.0,-130,114,120,-2.5,2.5
1/23 10:05:31 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,2.0,106,-2.0,-124,114,120,-2.5,2.5
1/23 10:05:28 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,2.0,-106,-2.0,-110,114,120,-2.5,2.5
1/23 10:05:10 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,2.0,-111,-2.0,-105,114,120,-2.5,2.5
1/23 9:57:52 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,4.0,-123,-4.0,-108,114,120,-2.5,2.5
1/23 9:57:42 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,5.0,-109,-5.0,-122,114,120,-2.5,2.5
1/23 9:57:25 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,5.0,-109,-5.0,-121,114,120,-2.5,2.5
1/23 9:57:10 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,6.0,-110,-6.0,-120,114,120,-2.5,2.5
1/23 9:56:28 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,6.0,-107,-6.0,-109,114,120,-2.5,2.5
1/23 9:54:58 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,6.0,-105,-6.0,-111,114,120,-2.5,2.5
1/23 9:54:34 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,6.0,-106,-6.0,-110,114,120,-2.5,2.5
1/23 9:54:28 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,6.0,-104,-6.0,-112,114,120,-2.5,2.5
1/23 9:54:23 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,6.0,-106,-6.0,-110,114,120,-2.5,2.5
1/23 9:54:17 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,6.0,-104,-6.0,-112,114,120,-2.5,2.5
1/23 9:54:04 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,6.0,-110,-6.0,-120,114,120,-2.5,2.5
1/23 9:54:00 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,6.5,-108,-6.5,-123,114,120,-2.5,2.5
1/23 9:53:55 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,8.0,-123,-8.0,-108,114,120,-2.5,2.5
1/23 9:53:39 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,7.0,-130,-7.0,-102,114,120,-2.5,2.5
1/23 9:53:33 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,7.0,-122,-7.0,-109,114,120,-2.5,2.5
1/23 9:53:10 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,6.0,-110,-6.0,-121,114,120,-2.5,2.5
1/23 9:53:04 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,6.5,-115,-6.5,-115,114,120,-2.5,2.5
1/23 9:52:57 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,6.5,-108,-6.5,-122,114,120,-2.5,2.5
1/23 9:52:56 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,8.0,-123,-8.0,-107,114,120,-2.5,2.5
1/23 9:52:45 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,6.5,-117,-6.5,-113,114,120,-2.5,2.5
1/23 9:52:43 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,6.5,-110,-6.5,-120,114,120,-2.5,2.5
1/23 9:52:25 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,7.0,-110,-7.0,-120,114,120,-2.5,2.5
1/23 9:52:10 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,7.0,-117,-7.0,-113,114,120,-2.5,2.5
1/23 9:52:08 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,7.5,-115,-7.5,-115,114,120,-2.5,2.5
1/23 9:52:04 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,7.5,-114,-7.5,-116,114,120,-2.5,2.5
1/23 9:51:52 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,8.5,-114,-8.5,-116,114,120,-2.5,2.5
1/23 9:51:49 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,7.5,-115,-7.5,-115,114,120,-2.5,2.5
1/23 9:51:27 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,8.0,-122,-8.0,-108,114,120,-2.5,2.5
1/23 9:51:10 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,8.0,-110,-8.0,-120,114,120,-2.5,2.5
1/23 9:51:01 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,8.5,-122,-8.5,-108,114,120,-2.5,2.5
1/23 9:50:40 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,8.5,-123,-8.5,-108,114,120,-2.5,2.5
1/23 9:50:26 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,7.5,-112,-7.5,-119,114,120,-2.5,2.5
1/23 9:50:10 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,8.0,-110,-8.0,-120,114,120,-2.5,2.5
1/23 9:50:07 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,7.5,-114,-7.5,-116,114,120,-2.5,2.5
1/23 9:49:55 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,7.5,-114,-7.5,-116,114,120,-2.5,2.5
1/23 9:49:43 am,Pinnacle,Oklahoma City Thunder,Orlando Magic,6.5,-115,-6.5,-115,114,120,-2.5,2.5
