Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/9 12:16:06 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,9.0,-122,-9.0,104,96,108,-3.5,3.5
12/9 12:15:45 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,9.0,-119,-9.0,102,96,108,-3.5,3.5
12/9 12:15:36 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,9.0,-118,-9.0,101,96,108,-3.5,3.5
12/9 12:15:27 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,9.0,-116,-9.0,-101,96,108,-3.5,3.5
12/9 12:15:24 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,9.0,-114,-9.0,-102,96,108,-3.5,3.5
12/9 12:15:17 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,9.0,-112,-9.0,-104,96,108,-3.5,3.5
12/9 12:15:15 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,9.0,-111,-9.0,-105,96,108,-3.5,3.5
12/9 12:09:57 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,3.5,-106,-3.5,-110,96,108,-3.5,3.5
12/9 12:09:18 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,3.5,-108,-3.5,-108,96,108,-3.5,3.5
12/9 12:09:03 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,3.5,-107,-3.5,-109,96,108,-3.5,3.5
12/9 12:08:57 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,3.5,-108,-3.5,-108,96,108,-3.5,3.5
12/9 12:05:51 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,4.0,-108,-4.0,-108,96,108,-3.5,3.5
12/9 12:05:11 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,4.0,-110,-4.0,-107,96,108,-3.5,3.5
12/9 12:05:09 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,4.0,-111,-4.0,-105,96,108,-3.5,3.5
12/9 12:04:09 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,4.0,-109,-4.0,-107,96,108,-3.5,3.5
12/9 12:03:45 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,4.0,-110,-4.0,-106,96,108,-3.5,3.5
12/9 12:03:03 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,4.0,103,-4.0,-137,96,108,-3.5,3.5
12/9 12:02:42 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,4.0,104,-4.0,-138,96,108,-3.5,3.5
12/9 12:02:39 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,4.0,-118,-4.0,-112,96,108,-3.5,3.5
12/9 12:02:30 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,4.0,-122,-4.0,-109,96,108,-3.5,3.5
12/9 12:02:23 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,5.0,-122,-5.0,-108,96,108,-3.5,3.5
12/9 12:02:03 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,3.5,-103,-3.5,-128,96,108,-3.5,3.5
12/9 12:01:57 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,3.5,-111,-3.5,-120,96,108,-3.5,3.5
12/9 12:01:18 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,3.0,102,-3.0,-135,96,108,-3.5,3.5
12/9 12:01:05 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,3.0,-104,-3.0,-127,96,108,-3.5,3.5
12/9 12:01:03 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,2.0,117,-2.0,-155,96,108,-3.5,3.5
12/9 12:00:56 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,2.0,-101,-2.0,-131,96,108,-3.5,3.5
12/9 12:00:54 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,2.0,-110,-2.0,-120,96,108,-3.5,3.5
12/9 12:00:44 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,3.0,-119,-3.0,-111,96,108,-3.5,3.5
12/9 12:00:39 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,3.0,-114,-3.0,-117,96,108,-3.5,3.5
12/9 12:00:27 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,3.5,-104,-3.5,-128,96,108,-3.5,3.5
12/9 12:00:21 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,3.5,-107,-3.5,-124,96,108,-3.5,3.5
12/9 12:00:14 pm,Pinnacle,Oklahoma City Thunder,Portland Trail Blazers,3.5,-109,-3.5,-122,96,108,-3.5,3.5
