Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/12 1:18:21 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,0.0,-200,0.0,169,94,93,-1.5,1.5
12/12 1:18:16 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,0.0,-193,0.0,163,94,93,-1.5,1.5
12/12 1:18:09 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,0.0,-189,0.0,160,94,93,-1.5,1.5
12/12 1:17:52 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,0.0,-185,0.0,157,94,93,-1.5,1.5
12/12 1:16:42 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,0.0,244,0.0,-297,94,93,-1.5,1.5
12/12 1:16:30 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,0.0,247,0.0,-301,94,93,-1.5,1.5
12/12 1:16:21 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,0.0,262,0.0,-320,94,93,-1.5,1.5
12/12 1:16:04 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,0.0,279,0.0,-344,94,93,-1.5,1.5
12/12 1:15:51 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,0.0,282,0.0,-348,94,93,-1.5,1.5
12/12 1:15:43 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,0.0,284,0.0,-351,94,93,-1.5,1.5
12/12 1:12:33 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,0.0,111,0.0,-130,94,93,-1.5,1.5
12/12 1:05:51 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,4.0,108,-4.0,-126,94,93,-1.5,1.5
12/12 1:05:48 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,4.0,-106,-4.0,-110,94,93,-1.5,1.5
12/12 1:05:39 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,4.0,-108,-4.0,-108,94,93,-1.5,1.5
12/12 1:02:30 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,7.5,-110,-7.5,-121,94,93,-1.5,1.5
12/12 1:02:28 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,8.5,-127,-8.5,-105,94,93,-1.5,1.5
12/12 1:02:09 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,8.5,-124,-8.5,-107,94,93,-1.5,1.5
12/12 1:02:06 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,7.0,107,-7.0,-142,94,93,-1.5,1.5
12/12 1:02:00 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,7.0,-105,-7.0,-126,94,93,-1.5,1.5
12/12 1:01:57 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,7.0,-112,-7.0,-118,94,93,-1.5,1.5
12/12 1:01:54 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,7.0,-121,-7.0,-109,94,93,-1.5,1.5
12/12 1:01:48 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,7.0,-122,-7.0,-108,94,93,-1.5,1.5
12/12 1:01:36 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,7.5,-115,-7.5,-115,94,93,-1.5,1.5
12/12 1:00:57 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,7.5,-108,-7.5,-108,94,93,-1.5,1.5
12/12 1:00:27 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,7.5,-109,-7.5,-107,94,93,-1.5,1.5
12/12 1:00:24 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,7.5,-110,-7.5,-106,94,93,-1.5,1.5
12/12 1:00:06 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,7.5,-109,-7.5,-107,94,93,-1.5,1.5
12/12 1:00:03 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,7.5,-108,-7.5,-108,94,93,-1.5,1.5
12/12 12:59:39 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,7.5,-106,-7.5,-110,94,93,-1.5,1.5
12/12 12:59:28 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,7.5,-107,-7.5,-109,94,93,-1.5,1.5
12/12 12:59:24 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,7.5,-108,-7.5,-108,94,93,-1.5,1.5
12/12 12:59:09 pm,Pinnacle,Oklahoma City Thunder,Sacramento Kings,7.5,-109,-7.5,-107,94,93,-1.5,1.5
