Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/10 12:13:19 pm,Pinnacle,Oklahoma City Thunder,Utah Jazz,18.5,-115,-18.5,-101,90,104,-8.5,8.5
12/10 12:13:16 pm,Pinnacle,Oklahoma City Thunder,Utah Jazz,18.5,-120,-18.5,103,90,104,-8.5,8.5
12/10 12:13:13 pm,Pinnacle,Oklahoma City Thunder,Utah Jazz,18.5,-122,-18.5,104,90,104,-8.5,8.5
12/10 12:13:10 pm,Pinnacle,Oklahoma City Thunder,Utah Jazz,18.5,-123,-18.5,105,90,104,-8.5,8.5
12/10 12:13:07 pm,Pinnacle,Oklahoma City Thunder,Utah Jazz,18.5,-124,-18.5,106,90,104,-8.5,8.5
12/10 12:13:05 pm,Pinnacle,Oklahoma City Thunder,Utah Jazz,18.5,-104,-18.5,-112,90,104,-8.5,8.5
12/10 12:12:58 pm,Pinnacle,Oklahoma City Thunder,Utah Jazz,18.5,-108,-18.5,-108,90,104,-8.5,8.5
12/10 12:12:55 pm,Pinnacle,Oklahoma City Thunder,Utah Jazz,18.5,-112,-18.5,-104,90,104,-8.5,8.5
12/10 12:12:49 pm,Pinnacle,Oklahoma City Thunder,Utah Jazz,18.5,-113,-18.5,-103,90,104,-8.5,8.5
12/10 12:12:47 pm,Pinnacle,Oklahoma City Thunder,Utah Jazz,18.5,-120,-18.5,103,90,104,-8.5,8.5
12/10 12:12:42 pm,Pinnacle,Oklahoma City Thunder,Utah Jazz,18.5,-124,-18.5,106,90,104,-8.5,8.5
12/10 12:12:17 pm,Pinnacle,Oklahoma City Thunder,Utah Jazz,18.5,-125,-18.5,107,90,104,-8.5,8.5
12/10 12:10:26 pm,Pinnacle,Oklahoma City Thunder,Utah Jazz,19.5,-125,-19.5,107,90,104,-8.5,8.5
12/10 12:10:24 pm,Pinnacle,Oklahoma City Thunder,Utah Jazz,19.5,-127,-19.5,109,90,104,-8.5,8.5
12/10 12:10:14 pm,Pinnacle,Oklahoma City Thunder,Utah Jazz,19.5,-133,-19.5,114,90,104,-8.5,8.5
12/10 12:10:11 pm,Pinnacle,Oklahoma City Thunder,Utah Jazz,19.5,-130,-19.5,111,90,104,-8.5,8.5
12/10 12:09:50 pm,Pinnacle,Oklahoma City Thunder,Utah Jazz,19.5,-131,-19.5,112,90,104,-8.5,8.5
12/10 12:09:46 pm,Pinnacle,Oklahoma City Thunder,Utah Jazz,19.5,-130,-19.5,111,90,104,-8.5,8.5
12/10 12:09:41 pm,Pinnacle,Oklahoma City Thunder,Utah Jazz,19.5,-139,-19.5,119,90,104,-8.5,8.5
12/10 12:09:32 pm,Pinnacle,Oklahoma City Thunder,Utah Jazz,19.5,-140,-19.5,120,90,104,-8.5,8.5
12/10 12:04:29 pm,Pinnacle,Oklahoma City Thunder,Utah Jazz,13.5,106,-13.5,-140,90,104,-8.5,8.5
