Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
10/27 9:52:27 am,Pinnacle,Orlando Magic,Atlanta Hawks,-4.5,-125,4.5,107,103,99,2.5,-2.5
10/27 9:51:55 am,Pinnacle,Orlando Magic,Atlanta Hawks,-4.5,-121,4.5,104,103,99,2.5,-2.5
10/27 9:51:51 am,Pinnacle,Orlando Magic,Atlanta Hawks,-4.5,-119,4.5,102,103,99,2.5,-2.5
10/27 9:51:46 am,Pinnacle,Orlando Magic,Atlanta Hawks,-4.5,-115,4.5,-101,103,99,2.5,-2.5
10/27 9:49:17 am,Pinnacle,Orlando Magic,Atlanta Hawks,0.0,-133,0.0,114,103,99,2.5,-2.5
10/27 9:48:51 am,Pinnacle,Orlando Magic,Atlanta Hawks,0.0,-130,0.0,111,103,99,2.5,-2.5
10/27 9:43:16 am,Pinnacle,Orlando Magic,Atlanta Hawks,0.0,108,0.0,-126,103,99,2.5,-2.5
10/27 9:43:12 am,Pinnacle,Orlando Magic,Atlanta Hawks,0.0,111,0.0,-130,103,99,2.5,-2.5
10/27 9:43:07 am,Pinnacle,Orlando Magic,Atlanta Hawks,0.0,-101,0.0,-116,103,99,2.5,-2.5
10/27 9:42:59 am,Pinnacle,Orlando Magic,Atlanta Hawks,0.0,104,0.0,-121,103,99,2.5,-2.5
10/27 9:42:54 am,Pinnacle,Orlando Magic,Atlanta Hawks,0.0,110,0.0,-129,103,99,2.5,-2.5
10/27 9:42:50 am,Pinnacle,Orlando Magic,Atlanta Hawks,0.0,117,0.0,-137,103,99,2.5,-2.5
10/27 9:42:39 am,Pinnacle,Orlando Magic,Atlanta Hawks,0.0,124,0.0,-145,103,99,2.5,-2.5
10/27 9:35:09 am,Pinnacle,Orlando Magic,Atlanta Hawks,4.5,101,-4.5,-118,103,99,2.5,-2.5
10/27 9:34:52 am,Pinnacle,Orlando Magic,Atlanta Hawks,4.5,-107,-4.5,-109,103,99,2.5,-2.5
10/27 9:34:10 am,Pinnacle,Orlando Magic,Atlanta Hawks,4.5,-121,-4.5,-129,103,99,2.5,-2.5
10/27 9:34:07 am,Pinnacle,Orlando Magic,Atlanta Hawks,5.0,-130,-5.0,-120,103,99,2.5,-2.5
10/27 9:33:55 am,Pinnacle,Orlando Magic,Atlanta Hawks,3.0,-126,-3.0,-124,103,99,2.5,-2.5
10/27 9:33:51 am,Pinnacle,Orlando Magic,Atlanta Hawks,3.5,-130,-3.5,-120,103,99,2.5,-2.5
10/27 9:33:46 am,Pinnacle,Orlando Magic,Atlanta Hawks,4.0,-130,-4.0,-120,103,99,2.5,-2.5
10/27 9:33:34 am,Pinnacle,Orlando Magic,Atlanta Hawks,3.0,-132,-3.0,-118,103,99,2.5,-2.5
10/27 9:33:24 am,Pinnacle,Orlando Magic,Atlanta Hawks,2.5,-121,-2.5,-129,103,99,2.5,-2.5
10/27 9:32:50 am,Pinnacle,Orlando Magic,Atlanta Hawks,2.5,-134,-2.5,-117,103,99,2.5,-2.5
10/27 9:32:42 am,Pinnacle,Orlando Magic,Atlanta Hawks,1.5,-125,-1.5,-125,103,99,2.5,-2.5
10/27 9:32:34 am,Pinnacle,Orlando Magic,Atlanta Hawks,2.5,-134,-2.5,-117,103,99,2.5,-2.5
10/27 9:32:17 am,Pinnacle,Orlando Magic,Atlanta Hawks,1.5,-132,-1.5,-118,103,99,2.5,-2.5
10/27 9:32:12 am,Pinnacle,Orlando Magic,Atlanta Hawks,1.0,-119,-1.0,-131,103,99,2.5,-2.5
10/27 9:31:49 am,Pinnacle,Orlando Magic,Atlanta Hawks,1.0,-133,-1.0,-118,103,99,2.5,-2.5
10/27 9:31:41 am,Pinnacle,Orlando Magic,Atlanta Hawks,1.0,-134,-1.0,-117,103,99,2.5,-2.5
10/27 9:31:27 am,Pinnacle,Orlando Magic,Atlanta Hawks,1.5,-123,-1.5,-127,103,99,2.5,-2.5
10/27 9:31:23 am,Pinnacle,Orlando Magic,Atlanta Hawks,1.5,-126,-1.5,-124,103,99,2.5,-2.5
10/27 9:31:19 am,Pinnacle,Orlando Magic,Atlanta Hawks,1.0,-133,-1.0,-117,103,99,2.5,-2.5
10/27 9:31:10 am,Pinnacle,Orlando Magic,Atlanta Hawks,1.0,-130,-1.0,-120,103,99,2.5,-2.5
10/27 9:31:02 am,Pinnacle,Orlando Magic,Atlanta Hawks,1.5,-122,-1.5,-128,103,99,2.5,-2.5
10/27 9:30:57 am,Pinnacle,Orlando Magic,Atlanta Hawks,2.5,-132,-2.5,-118,103,99,2.5,-2.5
10/27 9:30:29 am,Pinnacle,Orlando Magic,Atlanta Hawks,2.5,-131,-2.5,-119,103,99,2.5,-2.5
10/27 9:28:55 am,Pinnacle,Orlando Magic,Atlanta Hawks,2.5,-128,-2.5,-122,103,99,2.5,-2.5
10/27 9:28:42 am,Pinnacle,Orlando Magic,Atlanta Hawks,1.5,-119,-1.5,-131,103,99,2.5,-2.5
10/27 9:28:38 am,Pinnacle,Orlando Magic,Atlanta Hawks,2.5,-129,-2.5,-121,103,99,2.5,-2.5
10/27 9:28:25 am,Pinnacle,Orlando Magic,Atlanta Hawks,1.5,-120,-1.5,-130,103,99,2.5,-2.5
10/27 9:28:17 am,Pinnacle,Orlando Magic,Atlanta Hawks,2.5,-126,-2.5,-124,103,99,2.5,-2.5
10/27 9:28:04 am,Pinnacle,Orlando Magic,Atlanta Hawks,1.5,-120,-1.5,-130,103,99,2.5,-2.5
10/27 9:25:26 am,Pinnacle,Orlando Magic,Atlanta Hawks,1.5,-105,-1.5,-112,103,99,2.5,-2.5
