Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/25 10:37:58 am,RedZone,Orlando Magic,Brooklyn Nets,2.5,101,-2.5,-125,113,115,-4.5,4.5
2/25 10:36:23 am,RedZone,Orlando Magic,Brooklyn Nets,3.5,-108,-3.5,-115,113,115,-4.5,4.5
2/25 10:36:15 am,Pinnacle,Orlando Magic,Brooklyn Nets,0.0,388,0.0,-500,113,115,-4.5,4.5
2/25 10:35:32 am,RedZone,Orlando Magic,Brooklyn Nets,1.5,-103,-1.5,-121,113,115,-4.5,4.5
2/25 10:35:05 am,RedZone,Orlando Magic,Brooklyn Nets,2.5,-112,-2.5,-112,113,115,-4.5,4.5
2/25 10:34:56 am,RedZone,Orlando Magic,Brooklyn Nets,1.5,-106,-1.5,-117,113,115,-4.5,4.5
2/25 10:34:36 am,RedZone,Orlando Magic,Brooklyn Nets,1.5,-137,-1.5,109,113,115,-4.5,4.5
2/25 10:34:15 am,RedZone,Orlando Magic,Brooklyn Nets,-1.5,107,1.5,-134,113,115,-4.5,4.5
2/25 10:34:08 am,RedZone,Orlando Magic,Brooklyn Nets,1.5,-157,-1.5,124,113,115,-4.5,4.5
2/25 10:33:53 am,RedZone,Orlando Magic,Brooklyn Nets,1.5,-162,-1.5,128,113,115,-4.5,4.5
2/25 10:33:39 am,RedZone,Orlando Magic,Brooklyn Nets,-1.5,-108,1.5,-115,113,115,-4.5,4.5
2/25 10:33:32 am,RedZone,Orlando Magic,Brooklyn Nets,-2.5,101,2.5,-125,113,115,-4.5,4.5
2/25 10:32:42 am,Pinnacle,Orlando Magic,Brooklyn Nets,-2.0,-110,2.0,-106,113,115,-4.5,4.5
2/25 10:32:33 am,Pinnacle,Orlando Magic,Brooklyn Nets,-2.0,-109,2.0,-107,113,115,-4.5,4.5
2/25 10:32:30 am,Pinnacle,Orlando Magic,Brooklyn Nets,-2.0,-108,2.0,-108,113,115,-4.5,4.5
2/25 10:32:24 am,Pinnacle,Orlando Magic,Brooklyn Nets,-2.0,-108,2.0,-108,113,115,-4.5,4.5
2/25 10:32:21 am,Pinnacle,Orlando Magic,Brooklyn Nets,-2.0,-108,2.0,-108,113,115,-4.5,4.5
2/25 10:32:18 am,Pinnacle,Orlando Magic,Brooklyn Nets,-2.0,-103,2.0,-113,113,115,-4.5,4.5
2/25 10:31:55 am,RedZone,Orlando Magic,Brooklyn Nets,-2.5,-103,2.5,-121,113,115,-4.5,4.5
2/25 10:31:18 am,RedZone,Orlando Magic,Brooklyn Nets,-1.5,-115,1.5,-108,113,115,-4.5,4.5
2/25 10:31:13 am,RedZone,Orlando Magic,Brooklyn Nets,-2.5,-117,2.5,-106,113,115,-4.5,4.5
2/25 10:31:01 am,RedZone,Orlando Magic,Brooklyn Nets,-1.5,-115,1.5,-108,113,115,-4.5,4.5
2/25 10:30:45 am,RedZone,Orlando Magic,Brooklyn Nets,-2.5,101,2.5,-125,113,115,-4.5,4.5
2/25 10:30:25 am,RedZone,Orlando Magic,Brooklyn Nets,-1.5,-108,1.5,-115,113,115,-4.5,4.5
2/25 10:30:18 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.0,-110,1.0,-106,113,115,-4.5,4.5
2/25 10:30:16 am,RedZone,Orlando Magic,Brooklyn Nets,-1.5,-112,1.5,-112,113,115,-4.5,4.5
2/25 10:29:57 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.0,-110,1.0,-106,113,115,-4.5,4.5
2/25 10:29:42 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.0,-110,1.0,-106,113,115,-4.5,4.5
2/25 10:29:30 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.0,-110,1.0,-106,113,115,-4.5,4.5
2/25 10:29:18 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.0,-112,1.0,-104,113,115,-4.5,4.5
2/25 10:29:15 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.0,-110,1.0,-106,113,115,-4.5,4.5
2/25 10:29:06 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.0,-110,1.0,-106,113,115,-4.5,4.5
2/25 10:28:48 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.0,-110,1.0,-106,113,115,-4.5,4.5
2/25 10:28:45 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.0,-109,1.0,-107,113,115,-4.5,4.5
2/25 10:28:39 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.0,-109,1.0,-107,113,115,-4.5,4.5
2/25 10:28:26 am,RedZone,Orlando Magic,Brooklyn Nets,-1.5,-117,1.5,-106,113,115,-4.5,4.5
2/25 10:28:18 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.0,-109,1.0,-107,113,115,-4.5,4.5
2/25 10:28:00 am,RedZone,Orlando Magic,Brooklyn Nets,-1.5,101,1.5,-125,113,115,-4.5,4.5
2/25 10:27:40 am,RedZone,Orlando Magic,Brooklyn Nets,-1.5,-103,1.5,-121,113,115,-4.5,4.5
2/25 10:27:33 am,RedZone,Orlando Magic,Brooklyn Nets,-1.5,110,1.5,-139,113,115,-4.5,4.5
2/25 10:27:10 am,RedZone,Orlando Magic,Brooklyn Nets,-1.5,-117,1.5,-106,113,115,-4.5,4.5
2/25 10:26:58 am,RedZone,Orlando Magic,Brooklyn Nets,-2.5,-108,2.5,-115,113,115,-4.5,4.5
2/25 10:26:19 am,RedZone,Orlando Magic,Brooklyn Nets,-1.5,-121,1.5,-103,113,115,-4.5,4.5
2/25 10:26:07 am,RedZone,Orlando Magic,Brooklyn Nets,-1.5,-115,1.5,-108,113,115,-4.5,4.5
2/25 10:25:57 am,RedZone,Orlando Magic,Brooklyn Nets,-1.5,-103,1.5,-121,113,115,-4.5,4.5
2/25 10:25:49 am,RedZone,Orlando Magic,Brooklyn Nets,-1.5,-106,1.5,-117,113,115,-4.5,4.5
2/25 10:25:44 am,RedZone,Orlando Magic,Brooklyn Nets,1.5,-142,-1.5,113,113,115,-4.5,4.5
2/25 10:25:37 am,RedZone,Orlando Magic,Brooklyn Nets,1.5,-117,-1.5,-106,113,115,-4.5,4.5
2/25 10:25:27 am,RedZone,Orlando Magic,Brooklyn Nets,1.5,-121,-1.5,-103,113,115,-4.5,4.5
2/25 10:25:19 am,RedZone,Orlando Magic,Brooklyn Nets,2.5,-121,-2.5,-103,113,115,-4.5,4.5
2/25 10:25:08 am,RedZone,Orlando Magic,Brooklyn Nets,2.5,-125,-2.5,101,113,115,-4.5,4.5
2/25 10:24:40 am,RedZone,Orlando Magic,Brooklyn Nets,2.5,-121,-2.5,-103,113,115,-4.5,4.5
2/25 10:24:21 am,Pinnacle,Orlando Magic,Brooklyn Nets,1.0,-114,-1.0,-116,113,115,-4.5,4.5
2/25 10:24:18 am,Pinnacle,Orlando Magic,Brooklyn Nets,1.0,-114,-1.0,-116,113,115,-4.5,4.5
2/25 10:24:07 am,RedZone,Orlando Magic,Brooklyn Nets,2.5,-115,-2.5,-108,113,115,-4.5,4.5
2/25 10:23:54 am,RedZone,Orlando Magic,Brooklyn Nets,1.5,-112,-1.5,-112,113,115,-4.5,4.5
2/25 10:23:44 am,RedZone,Orlando Magic,Brooklyn Nets,1.5,-121,-1.5,-103,113,115,-4.5,4.5
2/25 10:23:25 am,RedZone,Orlando Magic,Brooklyn Nets,2.5,-106,-2.5,-117,113,115,-4.5,4.5
2/25 10:23:23 am,Pinnacle,Orlando Magic,Brooklyn Nets,2.5,-109,-2.5,-122,113,115,-4.5,4.5
2/25 10:23:03 am,Pinnacle,Orlando Magic,Brooklyn Nets,3.5,-108,-3.5,-122,113,115,-4.5,4.5
2/25 10:24:19 am,RedZone,Orlando Magic,Brooklyn Nets,1.5,101,-1.5,-125,113,115,-4.5,4.5
2/25 10:23:03 am,RedZone,Orlando Magic,Brooklyn Nets,3.5,-106,-3.5,-117,113,115,-4.5,4.5
2/25 10:22:54 am,Pinnacle,Orlando Magic,Brooklyn Nets,3.0,-120,-3.0,-110,113,115,-4.5,4.5
2/25 10:22:48 am,RedZone,Orlando Magic,Brooklyn Nets,3.5,-121,-3.5,-103,113,115,-4.5,4.5
2/25 10:22:39 am,Pinnacle,Orlando Magic,Brooklyn Nets,2.5,-110,-2.5,-121,113,115,-4.5,4.5
2/25 10:22:37 am,RedZone,Orlando Magic,Brooklyn Nets,2.5,-106,-2.5,-117,113,115,-4.5,4.5
2/25 10:22:24 am,Pinnacle,Orlando Magic,Brooklyn Nets,2.0,-115,-2.0,-115,113,115,-4.5,4.5
2/25 10:22:15 am,Pinnacle,Orlando Magic,Brooklyn Nets,1.0,-122,-1.0,-109,113,115,-4.5,4.5
2/25 10:22:09 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.0,-101,1.0,-131,113,115,-4.5,4.5
2/25 10:22:08 am,RedZone,Orlando Magic,Brooklyn Nets,1.5,-103,-1.5,-121,113,115,-4.5,4.5
2/25 10:22:06 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.0,-104,1.0,-127,113,115,-4.5,4.5
2/25 10:21:57 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.0,-107,1.0,-123,113,115,-4.5,4.5
2/25 10:21:42 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.0,-116,1.0,-114,113,115,-4.5,4.5
2/25 10:21:39 am,RedZone,Orlando Magic,Brooklyn Nets,1.5,-117,-1.5,-106,113,115,-4.5,4.5
2/25 10:21:38 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.0,-117,1.0,-113,113,115,-4.5,4.5
2/25 10:21:32 am,Pinnacle,Orlando Magic,Brooklyn Nets,-2.5,-119,2.5,-111,113,115,-4.5,4.5
2/25 10:21:27 am,RedZone,Orlando Magic,Brooklyn Nets,-1.5,-115,1.5,-108,113,115,-4.5,4.5
2/25 10:21:21 am,RedZone,Orlando Magic,Brooklyn Nets,-2.5,101,2.5,-125,113,115,-4.5,4.5
2/25 10:21:18 am,Pinnacle,Orlando Magic,Brooklyn Nets,-2.5,-120,2.5,-110,113,115,-4.5,4.5
2/25 10:21:15 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.0,-107,1.0,-123,113,115,-4.5,4.5
2/25 10:21:10 am,RedZone,Orlando Magic,Brooklyn Nets,1.5,-134,-1.5,107,113,115,-4.5,4.5
2/25 10:21:07 am,Pinnacle,Orlando Magic,Brooklyn Nets,1.0,-125,-1.0,-106,113,115,-4.5,4.5
2/25 10:21:02 am,Pinnacle,Orlando Magic,Brooklyn Nets,1.0,-110,-1.0,-120,113,115,-4.5,4.5
2/25 10:21:00 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.0,-121,1.0,-109,113,115,-4.5,4.5
2/25 10:20:48 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.0,-121,1.0,-110,113,115,-4.5,4.5
2/25 10:20:47 am,RedZone,Orlando Magic,Brooklyn Nets,-2.5,-103,2.5,-121,113,115,-4.5,4.5
2/25 10:20:42 am,Pinnacle,Orlando Magic,Brooklyn Nets,-2.5,-116,2.5,-115,113,115,-4.5,4.5
2/25 10:20:42 am,RedZone,Orlando Magic,Brooklyn Nets,-2.5,-115,2.5,-108,113,115,-4.5,4.5
2/25 10:20:38 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.0,-122,1.0,-109,113,115,-4.5,4.5
2/25 10:20:36 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.0,-122,1.0,-109,113,115,-4.5,4.5
2/25 10:20:33 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.0,-122,1.0,-109,113,115,-4.5,4.5
2/25 10:20:31 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.5,-109,1.5,-122,113,115,-4.5,4.5
2/25 10:20:30 am,RedZone,Orlando Magic,Brooklyn Nets,-2.5,-103,2.5,-121,113,115,-4.5,4.5
2/25 10:20:18 am,Pinnacle,Orlando Magic,Brooklyn Nets,-2.5,-116,2.5,-114,113,115,-4.5,4.5
2/25 10:20:15 am,Pinnacle,Orlando Magic,Brooklyn Nets,-4.0,-116,4.0,-114,113,115,-4.5,4.5
2/25 10:20:14 am,RedZone,Orlando Magic,Brooklyn Nets,-2.5,-117,2.5,-106,113,115,-4.5,4.5
2/25 10:20:03 am,Pinnacle,Orlando Magic,Brooklyn Nets,-4.0,-116,4.0,-114,113,115,-4.5,4.5
2/25 10:20:02 am,RedZone,Orlando Magic,Brooklyn Nets,-4.5,-115,4.5,-108,113,115,-4.5,4.5
2/25 10:20:00 am,Pinnacle,Orlando Magic,Brooklyn Nets,-2.5,-124,2.5,-107,113,115,-4.5,4.5
2/25 10:19:48 am,Pinnacle,Orlando Magic,Brooklyn Nets,-2.5,-117,2.5,-113,113,115,-4.5,4.5
2/25 10:19:46 am,RedZone,Orlando Magic,Brooklyn Nets,-2.5,-115,2.5,-108,113,115,-4.5,4.5
2/25 10:19:39 am,Pinnacle,Orlando Magic,Brooklyn Nets,-4.0,-109,4.0,-122,113,115,-4.5,4.5
2/25 10:19:36 am,Pinnacle,Orlando Magic,Brooklyn Nets,-3.5,-119,3.5,-112,113,115,-4.5,4.5
2/25 10:19:35 am,RedZone,Orlando Magic,Brooklyn Nets,-5.5,-103,5.5,-121,113,115,-4.5,4.5
2/25 10:19:33 am,Pinnacle,Orlando Magic,Brooklyn Nets,-3.0,-116,3.0,-114,113,115,-4.5,4.5
2/25 10:19:30 am,Pinnacle,Orlando Magic,Brooklyn Nets,-3.5,-113,3.5,-117,113,115,-4.5,4.5
2/25 10:19:29 am,RedZone,Orlando Magic,Brooklyn Nets,-3.5,-121,3.5,-103,113,115,-4.5,4.5
2/25 10:19:25 am,RedZone,Orlando Magic,Brooklyn Nets,-3.5,-112,3.5,-112,113,115,-4.5,4.5
2/25 10:19:14 am,Pinnacle,Orlando Magic,Brooklyn Nets,-3.0,-110,3.0,-120,113,115,-4.5,4.5
2/25 10:19:13 am,RedZone,Orlando Magic,Brooklyn Nets,-3.5,-121,3.5,-103,113,115,-4.5,4.5
2/25 10:19:06 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.5,-112,1.5,-118,113,115,-4.5,4.5
2/25 10:19:03 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.5,-111,1.5,-119,113,115,-4.5,4.5
2/25 10:19:00 am,RedZone,Orlando Magic,Brooklyn Nets,-2.5,-106,2.5,-117,113,115,-4.5,4.5
2/25 10:18:54 am,RedZone,Orlando Magic,Brooklyn Nets,-1.5,-117,1.5,-106,113,115,-4.5,4.5
2/25 10:18:48 am,Pinnacle,Orlando Magic,Brooklyn Nets,-2.0,-116,2.0,-114,113,115,-4.5,4.5
2/25 10:18:44 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.5,-118,1.5,-112,113,115,-4.5,4.5
2/25 10:18:42 am,RedZone,Orlando Magic,Brooklyn Nets,-2.5,-117,2.5,-106,113,115,-4.5,4.5
2/25 10:18:39 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.5,-116,1.5,-114,113,115,-4.5,4.5
2/25 10:18:32 am,RedZone,Orlando Magic,Brooklyn Nets,-1.5,-117,1.5,-106,113,115,-4.5,4.5
2/25 10:18:25 am,RedZone,Orlando Magic,Brooklyn Nets,-1.5,-108,1.5,-115,113,115,-4.5,4.5
2/25 10:18:24 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.0,-114,1.0,-116,113,115,-4.5,4.5
2/25 10:18:21 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.0,-118,1.0,-112,113,115,-4.5,4.5
2/25 10:18:11 am,RedZone,Orlando Magic,Brooklyn Nets,-2.5,-108,2.5,-115,113,115,-4.5,4.5
2/25 10:18:09 am,Pinnacle,Orlando Magic,Brooklyn Nets,-1.0,-118,1.0,-112,113,115,-4.5,4.5
2/25 10:17:51 am,Pinnacle,Orlando Magic,Brooklyn Nets,-2.5,-114,2.5,-116,113,115,-4.5,4.5
2/25 10:17:38 am,RedZone,Orlando Magic,Brooklyn Nets,-2.5,-121,2.5,-103,113,115,-4.5,4.5
