Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/26 10:09:06 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-12.5,-117,12.5,-100,103,88,-4.5,4.5
11/26 10:00:47 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 10:00:46 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
11/26 10:00:41 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 10:00:39 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
11/26 10:00:33 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 10:00:31 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
11/26 10:00:30 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 10:00:29 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
11/26 10:00:27 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 10:00:26 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
11/26 10:00:25 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 10:00:25 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
11/26 10:00:24 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 10:00:23 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
11/26 10:00:21 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 10:00:20 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
11/26 10:00:13 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 10:00:11 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
11/26 10:00:09 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 10:00:08 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
11/26 10:00:04 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 10:00:03 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
11/26 9:59:57 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 9:59:56 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
11/26 9:59:56 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 9:59:55 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
11/26 9:59:51 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 9:59:50 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
11/26 9:59:49 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 9:59:48 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
11/26 9:59:42 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 9:59:41 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
11/26 9:59:37 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 9:59:35 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
11/26 9:59:35 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 9:59:34 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
11/26 9:59:33 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 9:59:30 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
11/26 9:59:30 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 9:59:28 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
11/26 9:59:26 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 9:59:25 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
11/26 9:59:20 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 9:59:20 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
11/26 9:59:19 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 9:59:18 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
11/26 9:59:17 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 9:59:16 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
11/26 9:59:15 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 9:59:14 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
11/26 9:59:07 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,2.0,-194,-2.0,174,103,88,-4.5,4.5
11/26 9:59:06 am,Pinnacle,Orlando Magic,Cleveland Cavaliers,-10.0,-111,10.0,-105,103,88,-4.5,4.5
