Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/19 11:31:48 am,Pinnacle,Orlando Magic,Golden State Warriors,-4.5,-118,4.5,101,109,95,5.5,-5.5
1/19 11:31:42 am,Pinnacle,Orlando Magic,Golden State Warriors,-4.5,-115,4.5,-102,109,95,5.5,-5.5
1/19 11:31:28 am,Pinnacle,Orlando Magic,Golden State Warriors,-4.5,-113,4.5,-103,109,95,5.5,-5.5
1/19 11:31:21 am,Pinnacle,Orlando Magic,Golden State Warriors,-4.5,-108,4.5,-108,109,95,5.5,-5.5
1/19 11:31:15 am,Pinnacle,Orlando Magic,Golden State Warriors,-4.5,103,4.5,-120,109,95,5.5,-5.5
1/19 11:28:45 am,Pinnacle,Orlando Magic,Golden State Warriors,0.0,-120,0.0,103,109,95,5.5,-5.5
1/19 11:25:36 am,Pinnacle,Orlando Magic,Golden State Warriors,2.5,-100,-2.5,-116,109,95,5.5,-5.5
1/19 11:24:48 am,Pinnacle,Orlando Magic,Golden State Warriors,2.5,-107,-2.5,-109,109,95,5.5,-5.5
1/19 11:24:36 am,Pinnacle,Orlando Magic,Golden State Warriors,2.5,-109,-2.5,-107,109,95,5.5,-5.5
1/19 11:24:33 am,Pinnacle,Orlando Magic,Golden State Warriors,2.5,-114,-2.5,-103,109,95,5.5,-5.5
1/19 11:24:09 am,Pinnacle,Orlando Magic,Golden State Warriors,2.5,-115,-2.5,-101,109,95,5.5,-5.5
1/19 11:23:45 am,Pinnacle,Orlando Magic,Golden State Warriors,2.5,-119,-2.5,102,109,95,5.5,-5.5
1/19 11:23:42 am,Pinnacle,Orlando Magic,Golden State Warriors,2.5,-120,-2.5,103,109,95,5.5,-5.5
1/19 11:21:09 am,Pinnacle,Orlando Magic,Golden State Warriors,-1.0,-109,1.0,-121,109,95,5.5,-5.5
