Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/17 1:33:57 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-19.0,-128,19.0,109,122,95,-11,11
1/17 1:33:39 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-19.0,-129,19.0,110,122,95,-11,11
1/17 1:33:12 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-19.0,-130,19.0,111,122,95,-11,11
1/17 1:32:56 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-19.0,-132,19.0,113,122,95,-11,11
1/17 1:32:45 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-19.0,-133,19.0,114,122,95,-11,11
1/17 1:32:42 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-19.0,-124,19.0,106,122,95,-11,11
1/17 1:32:39 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-19.0,-122,19.0,104,122,95,-11,11
1/17 1:32:15 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-19.0,-123,19.0,105,122,95,-11,11
1/17 1:31:57 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-19.0,-108,19.0,-108,122,95,-11,11
1/17 1:31:54 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-19.5,-108,19.5,-108,122,95,-11,11
1/17 1:24:53 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-15.0,-110,15.0,-120,122,95,-11,11
1/17 1:24:45 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-15.5,-116,15.5,-114,122,95,-11,11
1/17 1:24:39 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-15.5,-120,15.5,-110,122,95,-11,11
1/17 1:24:36 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-15.5,-123,15.5,-108,122,95,-11,11
1/17 1:24:33 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-17.0,104,17.0,-138,122,95,-11,11
1/17 1:24:25 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-17.0,-110,17.0,-121,122,95,-11,11
1/17 1:24:15 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-17.5,-115,17.5,-115,122,95,-11,11
1/17 1:24:06 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-17.5,-116,17.5,-114,122,95,-11,11
1/17 1:24:03 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-17.5,-110,17.5,-120,122,95,-11,11
1/17 1:23:59 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-17.5,-116,17.5,-114,122,95,-11,11
1/17 1:23:57 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-19.0,100,19.0,-132,122,95,-11,11
1/17 1:23:53 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-19.0,-112,19.0,-118,122,95,-11,11
1/17 1:23:48 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-19.0,-116,19.0,-114,122,95,-11,11
1/17 1:23:44 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-18.5,108,18.5,-143,122,95,-11,11
1/17 1:23:42 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-18.5,100,18.5,-132,122,95,-11,11
1/17 1:23:39 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-18.5,-114,18.5,-116,122,95,-11,11
1/17 1:23:32 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-18.5,-114,18.5,-116,122,95,-11,11
1/17 1:23:25 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-18.5,-111,18.5,-120,122,95,-11,11
1/17 1:23:12 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-17.5,-122,17.5,-108,122,95,-11,11
1/17 1:23:09 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-17.5,-114,17.5,-116,122,95,-11,11
1/17 1:23:06 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-17.5,-109,17.5,-122,122,95,-11,11
1/17 1:23:03 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-17.5,-109,17.5,-122,122,95,-11,11
1/17 1:22:56 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-18.0,100,18.0,-117,122,95,-11,11
1/17 1:20:45 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-18.0,-102,18.0,-114,122,95,-11,11
1/17 1:20:02 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-17.5,-109,17.5,-122,122,95,-11,11
1/17 1:20:00 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-16.5,-120,16.5,-110,122,95,-11,11
1/17 1:19:56 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-15.5,-120,15.5,-111,122,95,-11,11
1/17 1:19:54 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-16.5,-118,16.5,-112,122,95,-11,11
1/17 1:19:51 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-17.0,-109,17.0,-121,122,95,-11,11
1/17 1:19:48 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-16.0,-115,16.0,-115,122,95,-11,11
1/17 1:20:09 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-17.5,-103,17.5,-114,122,95,-11,11
1/17 1:19:42 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-17.0,104,17.0,-138,122,95,-11,11
1/17 1:19:39 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-17.0,-115,17.0,-115,122,95,-11,11
1/17 1:19:30 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-16.0,-115,16.0,-115,122,95,-11,11
1/17 1:19:27 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-16.0,-107,16.0,-124,122,95,-11,11
1/17 1:19:24 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-16.0,-113,16.0,-117,122,95,-11,11
1/17 1:19:15 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-15.5,-111,15.5,-119,122,95,-11,11
1/17 1:19:12 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-15.5,-113,15.5,-117,122,95,-11,11
1/17 1:19:09 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-15.5,-107,15.5,-124,122,95,-11,11
1/17 1:18:54 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-15.5,-113,15.5,-117,122,95,-11,11
1/17 1:18:48 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-14.5,-112,14.5,-118,122,95,-11,11
1/17 1:18:41 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-15.5,-106,15.5,-125,122,95,-11,11
1/17 1:18:36 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-15.5,-114,15.5,-116,122,95,-11,11
1/17 1:18:30 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-15.5,-109,15.5,-121,122,95,-11,11
1/17 1:18:24 pm,Pinnacle,Orlando Magic,Los Angeles Clippers,-14.5,-124,14.5,-107,122,95,-11,11
