Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/29 11:29:50 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-13.0,-116,13.0,-101,111,100,-6,6
12/29 11:29:38 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-13.0,-111,13.0,-105,111,100,-6,6
12/29 11:29:32 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-13.0,-106,13.0,-110,111,100,-6,6
12/29 11:28:20 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-13.0,-114,13.0,-102,111,100,-6,6
12/29 11:26:59 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-11.0,-118,11.0,-112,111,100,-6,6
12/29 11:26:56 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-10.5,-121,10.5,-110,111,100,-6,6
12/29 11:26:50 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-10.0,-121,10.0,-110,111,100,-6,6
12/29 11:26:37 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-8.5,-122,8.5,-108,111,100,-6,6
12/29 11:26:29 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-8.5,-117,8.5,-113,111,100,-6,6
12/29 11:26:21 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-8.5,-116,8.5,-114,111,100,-6,6
12/29 11:26:16 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-9.5,-109,9.5,-122,111,100,-6,6
12/29 11:26:14 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-10.5,-108,10.5,-122,111,100,-6,6
12/29 11:26:42 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-10.0,-121,10.0,-109,111,100,-6,6
12/29 11:26:07 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-10.5,-108,10.5,-123,111,100,-6,6
12/29 11:25:59 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-11.0,-115,11.0,-115,111,100,-6,6
12/29 11:23:26 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-11.0,-108,11.0,-108,111,100,-6,6
12/29 11:22:56 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-11.0,-114,11.0,-116,111,100,-6,6
12/29 11:22:53 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-11.5,-112,11.5,-119,111,100,-6,6
12/29 11:22:40 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-9.5,-112,9.5,-119,111,100,-6,6
12/29 11:22:23 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-9.5,-113,9.5,-117,111,100,-6,6
12/29 11:22:19 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-9.0,-116,9.0,-114,111,100,-6,6
12/29 11:21:55 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-8.5,-116,8.5,-114,111,100,-6,6
12/29 11:21:49 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-8.5,-115,8.5,-115,111,100,-6,6
12/29 11:21:46 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-7.0,-129,7.0,-102,111,100,-6,6
12/29 11:21:43 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-7.0,-124,7.0,-106,111,100,-6,6
12/29 11:21:41 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-7.0,-113,7.0,-117,111,100,-6,6
12/29 11:21:37 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-6.5,-113,6.5,-117,111,100,-6,6
12/29 11:21:20 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-6.5,-125,6.5,-106,111,100,-6,6
12/29 11:20:43 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-7.0,-122,7.0,-108,111,100,-6,6
12/29 11:20:41 am,Pinnacle,Orlando Magic,Milwaukee Bucks,-8.0,-111,8.0,-119,111,100,-6,6
