Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/7 11:25:59 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,-237,-14.5,181,118,132,3.5,-3.5
3/7 11:25:54 am,RedZone,Orlando Magic,Minnesota Timberwolves,13.5,-142,-13.5,113,118,132,3.5,-3.5
3/7 11:25:32 am,RedZone,Orlando Magic,Minnesota Timberwolves,13.5,-168,-13.5,133,118,132,3.5,-3.5
3/7 11:25:17 am,RedZone,Orlando Magic,Minnesota Timberwolves,12.5,118,-12.5,-148,118,132,3.5,-3.5
3/7 11:25:11 am,RedZone,Orlando Magic,Minnesota Timberwolves,12.5,110,-12.5,-139,118,132,3.5,-3.5
3/7 11:24:54 am,RedZone,Orlando Magic,Minnesota Timberwolves,13.5,-174,-13.5,137,118,132,3.5,-3.5
3/7 11:22:43 am,RedZone,Orlando Magic,Minnesota Timberwolves,12.5,-155,-12.5,123,118,132,3.5,-3.5
3/7 11:22:29 am,RedZone,Orlando Magic,Minnesota Timberwolves,12.5,-150,-12.5,119,118,132,3.5,-3.5
3/7 11:20:59 am,RedZone,Orlando Magic,Minnesota Timberwolves,12.5,-159,-12.5,126,118,132,3.5,-3.5
3/7 11:20:54 am,RedZone,Orlando Magic,Minnesota Timberwolves,11.5,-121,-11.5,-103,118,132,3.5,-3.5
3/7 11:20:39 am,RedZone,Orlando Magic,Minnesota Timberwolves,11.5,-125,-11.5,101,118,132,3.5,-3.5
3/7 11:20:27 am,RedZone,Orlando Magic,Minnesota Timberwolves,11.5,-115,-11.5,-108,118,132,3.5,-3.5
3/7 11:20:16 am,RedZone,Orlando Magic,Minnesota Timberwolves,12.5,-134,-12.5,107,118,132,3.5,-3.5
3/7 11:19:49 am,RedZone,Orlando Magic,Minnesota Timberwolves,10.5,-103,-10.5,-121,118,132,3.5,-3.5
3/7 11:19:20 am,RedZone,Orlando Magic,Minnesota Timberwolves,10.5,-115,-10.5,-108,118,132,3.5,-3.5
3/7 11:17:57 am,RedZone,Orlando Magic,Minnesota Timberwolves,11.5,-142,-11.5,113,118,132,3.5,-3.5
3/7 11:17:48 am,RedZone,Orlando Magic,Minnesota Timberwolves,11.5,-139,-11.5,110,118,132,3.5,-3.5
3/7 11:17:22 am,RedZone,Orlando Magic,Minnesota Timberwolves,10.5,-125,-10.5,101,118,132,3.5,-3.5
3/7 11:17:07 am,RedZone,Orlando Magic,Minnesota Timberwolves,9.5,124,-9.5,-157,118,132,3.5,-3.5
3/7 11:16:36 am,RedZone,Orlando Magic,Minnesota Timberwolves,10.5,104,-10.5,-129,118,132,3.5,-3.5
3/7 11:16:09 am,RedZone,Orlando Magic,Minnesota Timberwolves,10.5,118,-10.5,-148,118,132,3.5,-3.5
3/7 11:15:55 am,RedZone,Orlando Magic,Minnesota Timberwolves,11.5,-108,-11.5,-115,118,132,3.5,-3.5
3/7 11:15:41 am,RedZone,Orlando Magic,Minnesota Timberwolves,11.5,104,-11.5,-129,118,132,3.5,-3.5
3/7 11:15:14 am,RedZone,Orlando Magic,Minnesota Timberwolves,12.5,107,-12.5,-134,118,132,3.5,-3.5
3/7 11:14:00 am,RedZone,Orlando Magic,Minnesota Timberwolves,13.5,-108,-13.5,-115,118,132,3.5,-3.5
3/7 11:13:40 am,RedZone,Orlando Magic,Minnesota Timberwolves,13.5,-112,-13.5,-112,118,132,3.5,-3.5
3/7 11:13:18 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,-129,-14.5,104,118,132,3.5,-3.5
3/7 11:13:08 am,RedZone,Orlando Magic,Minnesota Timberwolves,12.5,-103,-12.5,-121,118,132,3.5,-3.5
3/7 11:12:46 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,-134,-14.5,107,118,132,3.5,-3.5
3/7 11:12:43 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,-115,-14.5,-108,118,132,3.5,-3.5
3/7 11:12:14 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,101,-14.5,-125,118,132,3.5,-3.5
3/7 11:12:03 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,-125,-14.5,101,118,132,3.5,-3.5
3/7 11:10:29 am,RedZone,Orlando Magic,Minnesota Timberwolves,13.5,-106,-13.5,-117,118,132,3.5,-3.5
3/7 11:09:57 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,-115,-14.5,-108,118,132,3.5,-3.5
3/7 11:09:41 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,-112,-14.5,-112,118,132,3.5,-3.5
3/7 11:09:27 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,-103,-14.5,-121,118,132,3.5,-3.5
3/7 11:09:13 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,101,-14.5,-125,118,132,3.5,-3.5
3/7 11:08:59 am,RedZone,Orlando Magic,Minnesota Timberwolves,15.5,-117,-15.5,-106,118,132,3.5,-3.5
3/7 11:08:29 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,-108,-14.5,-115,118,132,3.5,-3.5
3/7 11:08:12 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,-115,-14.5,-108,118,132,3.5,-3.5
3/7 11:07:30 am,RedZone,Orlando Magic,Minnesota Timberwolves,13.5,107,-13.5,-134,118,132,3.5,-3.5
3/7 11:07:29 am,Pinnacle,Orlando Magic,Minnesota Timberwolves,14.5,-120,-14.5,103,118,132,3.5,-3.5
3/7 11:07:13 am,Pinnacle,Orlando Magic,Minnesota Timberwolves,14.5,-117,-14.5,100,118,132,3.5,-3.5
3/7 11:06:44 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,-106,-14.5,-117,118,132,3.5,-3.5
3/7 11:06:06 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,-103,-14.5,-121,118,132,3.5,-3.5
3/7 11:05:52 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,113,-14.5,-142,118,132,3.5,-3.5
3/7 11:05:38 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,-115,-14.5,-108,118,132,3.5,-3.5
3/7 11:05:30 am,RedZone,Orlando Magic,Minnesota Timberwolves,13.5,101,-13.5,-125,118,132,3.5,-3.5
3/7 11:05:17 am,RedZone,Orlando Magic,Minnesota Timberwolves,13.5,104,-13.5,-129,118,132,3.5,-3.5
3/7 11:05:02 am,RedZone,Orlando Magic,Minnesota Timberwolves,13.5,107,-13.5,-134,118,132,3.5,-3.5
3/7 11:04:48 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,-121,-14.5,-103,118,132,3.5,-3.5
3/7 11:04:27 am,RedZone,Orlando Magic,Minnesota Timberwolves,15.5,-125,-15.5,101,118,132,3.5,-3.5
3/7 11:04:14 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,104,-14.5,-129,118,132,3.5,-3.5
3/7 11:03:08 am,RedZone,Orlando Magic,Minnesota Timberwolves,16.5,-115,-16.5,-108,118,132,3.5,-3.5
3/7 11:02:50 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,-115,-14.5,-108,118,132,3.5,-3.5
3/7 11:02:20 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,113,-14.5,-142,118,132,3.5,-3.5
3/7 11:01:50 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,124,-14.5,-157,118,132,3.5,-3.5
3/7 11:01:41 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,118,-14.5,-148,118,132,3.5,-3.5
3/7 11:01:31 am,RedZone,Orlando Magic,Minnesota Timberwolves,15.5,110,-15.5,-139,118,132,3.5,-3.5
3/7 11:00:50 am,Pinnacle,Orlando Magic,Minnesota Timberwolves,16.0,-129,-16.0,110,118,132,3.5,-3.5
3/7 11:00:38 am,Pinnacle,Orlando Magic,Minnesota Timberwolves,16.0,-127,-16.0,109,118,132,3.5,-3.5
3/7 11:00:26 am,Pinnacle,Orlando Magic,Minnesota Timberwolves,16.0,-120,-16.0,103,118,132,3.5,-3.5
3/7 11:00:24 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,109,-14.5,-137,118,132,3.5,-3.5
3/7 11:00:14 am,Pinnacle,Orlando Magic,Minnesota Timberwolves,16.0,-117,-16.0,100,118,132,3.5,-3.5
3/7 11:00:05 am,Pinnacle,Orlando Magic,Minnesota Timberwolves,16.0,-115,-16.0,-102,118,132,3.5,-3.5
3/7 10:59:56 am,Pinnacle,Orlando Magic,Minnesota Timberwolves,16.0,-112,-16.0,-104,118,132,3.5,-3.5
3/7 10:59:40 am,Pinnacle,Orlando Magic,Minnesota Timberwolves,16.0,-117,-16.0,100,118,132,3.5,-3.5
3/7 10:59:40 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,104,-14.5,-129,118,132,3.5,-3.5
3/7 10:59:22 am,Pinnacle,Orlando Magic,Minnesota Timberwolves,16.0,-118,-16.0,101,118,132,3.5,-3.5
3/7 10:59:21 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,109,-14.5,-137,118,132,3.5,-3.5
3/7 10:59:15 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,123,-14.5,-155,118,132,3.5,-3.5
3/7 10:59:07 am,Pinnacle,Orlando Magic,Minnesota Timberwolves,16.0,-104,-16.0,-112,118,132,3.5,-3.5
3/7 10:58:47 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,128,-14.5,-162,118,132,3.5,-3.5
3/7 10:58:37 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,133,-14.5,-168,118,132,3.5,-3.5
3/7 10:58:19 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,128,-14.5,-162,118,132,3.5,-3.5
3/7 10:58:11 am,Pinnacle,Orlando Magic,Minnesota Timberwolves,15.5,-110,-15.5,-120,118,132,3.5,-3.5
3/7 10:58:07 am,RedZone,Orlando Magic,Minnesota Timberwolves,14.5,139,-14.5,-177,118,132,3.5,-3.5
3/7 10:58:05 am,Pinnacle,Orlando Magic,Minnesota Timberwolves,16.5,-121,-16.5,-109,118,132,3.5,-3.5
3/7 10:57:54 am,RedZone,Orlando Magic,Minnesota Timberwolves,16.5,144,-16.5,-183,118,132,3.5,-3.5
3/7 10:57:52 am,Pinnacle,Orlando Magic,Minnesota Timberwolves,17.5,-117,-17.5,-113,118,132,3.5,-3.5
3/7 10:57:34 am,Pinnacle,Orlando Magic,Minnesota Timberwolves,18.0,-113,-18.0,-117,118,132,3.5,-3.5
3/7 10:57:30 am,RedZone,Orlando Magic,Minnesota Timberwolves,17.5,126,-17.5,-159,118,132,3.5,-3.5
