Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/7 10:52:00 am,Pinnacle,Orlando Magic,New York Knicks,0.0,-500,0.0,388,105,103,3.5,-3.5
2/7 10:51:27 am,Pinnacle,Orlando Magic,New York Knicks,0.0,-475,0.0,371,105,103,3.5,-3.5
2/7 10:48:39 am,Pinnacle,Orlando Magic,New York Knicks,-6.0,-108,6.0,-108,105,103,3.5,-3.5
2/7 10:48:38 am,Pinnacle,Orlando Magic,New York Knicks,-6.0,-110,6.0,-106,105,103,3.5,-3.5
2/7 10:48:30 am,Pinnacle,Orlando Magic,New York Knicks,-6.0,-111,6.0,-105,105,103,3.5,-3.5
2/7 10:48:27 am,Pinnacle,Orlando Magic,New York Knicks,-6.0,-112,6.0,-104,105,103,3.5,-3.5
2/7 10:48:22 am,Pinnacle,Orlando Magic,New York Knicks,-6.0,-114,6.0,-102,105,103,3.5,-3.5
2/7 10:47:57 am,Pinnacle,Orlando Magic,New York Knicks,-6.0,-112,6.0,-104,105,103,3.5,-3.5
2/7 10:47:52 am,Pinnacle,Orlando Magic,New York Knicks,-6.0,-115,6.0,-102,105,103,3.5,-3.5
2/7 10:47:45 am,Pinnacle,Orlando Magic,New York Knicks,-6.0,-123,6.0,105,105,103,3.5,-3.5
2/7 10:47:39 am,Pinnacle,Orlando Magic,New York Knicks,-6.0,-127,6.0,108,105,103,3.5,-3.5
2/7 10:47:36 am,Pinnacle,Orlando Magic,New York Knicks,-6.0,-118,6.0,101,105,103,3.5,-3.5
2/7 10:47:24 am,Pinnacle,Orlando Magic,New York Knicks,-6.0,-108,6.0,-108,105,103,3.5,-3.5
2/7 10:41:48 am,Pinnacle,Orlando Magic,New York Knicks,-2.5,-140,2.5,120,105,103,3.5,-3.5
2/7 10:41:45 am,Pinnacle,Orlando Magic,New York Knicks,-2.5,-143,2.5,122,105,103,3.5,-3.5
