Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/21 1:08:55 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-16.5,-104,16.5,-112,118,103,-3.5,3.5
12/21 1:08:32 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-16.5,-105,16.5,-111,118,103,-3.5,3.5
12/21 1:07:46 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-16.5,-107,16.5,-109,118,103,-3.5,3.5
12/21 1:07:17 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-16.5,-109,16.5,-107,118,103,-3.5,3.5
12/21 1:06:34 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-16.5,-109,16.5,-122,118,103,-3.5,3.5
12/21 1:06:28 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-14.5,-117,14.5,-113,118,103,-3.5,3.5
12/21 1:06:22 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-13.5,-114,13.5,-116,118,103,-3.5,3.5
12/21 1:06:16 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-13.5,-116,13.5,-114,118,103,-3.5,3.5
12/21 1:06:05 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-12.5,-122,12.5,-109,118,103,-3.5,3.5
12/21 1:06:01 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-11.0,-116,11.0,-114,118,103,-3.5,3.5
12/21 1:05:55 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-11.0,-112,11.0,-118,118,103,-3.5,3.5
12/21 1:05:40 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-11.5,-124,11.5,-107,118,103,-3.5,3.5
12/21 1:05:22 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-11.5,-123,11.5,-108,118,103,-3.5,3.5
12/21 1:04:46 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-13.0,-106,13.0,-124,118,103,-3.5,3.5
12/21 1:04:29 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-13.0,-115,13.0,-115,118,103,-3.5,3.5
12/21 1:05:25 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-12.5,-121,12.5,-109,118,103,-3.5,3.5
12/21 1:04:10 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-13.5,-122,13.5,-109,118,103,-3.5,3.5
12/21 1:04:07 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-13.5,-116,13.5,-114,118,103,-3.5,3.5
12/21 1:04:01 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-13.5,-110,13.5,-120,118,103,-3.5,3.5
12/21 1:03:49 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-13.5,-112,13.5,-118,118,103,-3.5,3.5
12/21 1:03:46 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-11.5,-130,11.5,-102,118,103,-3.5,3.5
12/21 1:03:40 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-11.5,-124,11.5,-107,118,103,-3.5,3.5
12/21 1:03:31 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-11.0,-106,11.0,-125,118,103,-3.5,3.5
12/21 1:03:22 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-12.0,-111,12.0,-119,118,103,-3.5,3.5
12/21 1:03:10 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-12.5,-116,12.5,-114,118,103,-3.5,3.5
12/21 1:03:02 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-13.5,-112,13.5,-118,118,103,-3.5,3.5
12/21 1:02:49 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-14.5,-110,14.5,-120,118,103,-3.5,3.5
12/21 1:02:38 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-13.5,-109,13.5,-122,118,103,-3.5,3.5
12/21 1:02:34 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-14.0,-110,14.0,-120,118,103,-3.5,3.5
12/21 1:02:20 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-14.0,-114,14.0,-116,118,103,-3.5,3.5
12/21 1:02:01 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-14.5,-122,14.5,-108,118,103,-3.5,3.5
12/21 1:01:34 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-14.5,-109,14.5,-121,118,103,-3.5,3.5
12/21 1:01:10 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-13.5,-144,13.5,108,118,103,-3.5,3.5
12/21 1:01:07 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-13.5,-134,13.5,101,118,103,-3.5,3.5
12/21 1:00:59 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-13.5,-127,13.5,-104,118,103,-3.5,3.5
12/21 1:00:37 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-13.5,-109,13.5,-122,118,103,-3.5,3.5
12/21 1:00:34 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-14.0,-119,14.0,-111,118,103,-3.5,3.5
12/21 1:00:31 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-13.5,-116,13.5,-114,118,103,-3.5,3.5
12/21 1:00:28 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-16.5,-116,16.5,-114,118,103,-3.5,3.5
12/21 1:00:01 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-14.0,-119,14.0,-111,118,103,-3.5,3.5
12/21 1:00:00 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-14.5,-118,14.5,-112,118,103,-3.5,3.5
12/21 12:59:59 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-15.0,-118,15.0,-112,118,103,-3.5,3.5
12/21 12:59:58 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-14.5,-118,14.5,-112,118,103,-3.5,3.5
12/21 12:59:49 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-15.0,-118,15.0,-112,118,103,-3.5,3.5
12/21 12:59:35 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-15.0,-129,15.0,-102,118,103,-3.5,3.5
12/21 12:59:23 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-15.0,-120,15.0,-110,118,103,-3.5,3.5
12/21 12:59:19 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-14.0,-128,14.0,-104,118,103,-3.5,3.5
12/21 12:59:07 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-14.0,-118,14.0,-112,118,103,-3.5,3.5
12/21 12:59:04 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-15.0,-117,15.0,-113,118,103,-3.5,3.5
12/21 12:58:49 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-14.0,-110,14.0,-120,118,103,-3.5,3.5
12/21 12:58:43 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-13.5,-131,13.5,-101,118,103,-3.5,3.5
12/21 12:58:35 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-13.5,-122,13.5,-109,118,103,-3.5,3.5
12/21 12:58:22 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-13.5,-114,13.5,-116,118,103,-3.5,3.5
12/21 12:58:11 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-12.5,-133,12.5,100,118,103,-3.5,3.5
12/21 12:58:08 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-12.5,-124,12.5,-106,118,103,-3.5,3.5
12/21 12:57:49 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-12.5,-112,12.5,-118,118,103,-3.5,3.5
12/21 12:57:04 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-12.5,-116,12.5,-101,118,103,-3.5,3.5
12/21 12:56:16 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-12.5,-115,12.5,-101,118,103,-3.5,3.5
12/21 12:55:55 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-12.5,-116,12.5,-100,118,103,-3.5,3.5
12/21 12:55:34 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-12.5,-115,12.5,-101,118,103,-3.5,3.5
12/21 12:54:55 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-12.5,-115,12.5,-115,118,103,-3.5,3.5
12/21 12:54:50 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-12.5,-114,12.5,-116,118,103,-3.5,3.5
12/21 12:54:39 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-13.0,-120,13.0,-111,118,103,-3.5,3.5
12/21 12:54:28 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-14.0,-119,14.0,-111,118,103,-3.5,3.5
12/21 12:54:19 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-14.0,-120,14.0,-111,118,103,-3.5,3.5
12/21 12:54:01 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-15.0,-112,15.0,-118,118,103,-3.5,3.5
12/21 12:53:46 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-16.0,-110,16.0,-120,118,103,-3.5,3.5
12/21 12:53:19 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-15.0,-110,15.0,-120,118,103,-3.5,3.5
12/21 12:51:10 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-16.5,-116,16.5,-114,118,103,-3.5,3.5
12/21 12:50:19 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-16.5,-118,16.5,-112,118,103,-3.5,3.5
12/21 12:50:02 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-16.5,-124,16.5,-107,118,103,-3.5,3.5
12/21 12:49:59 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-16.5,-116,16.5,-114,118,103,-3.5,3.5
12/21 12:49:16 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-17.5,-115,17.5,-115,118,103,-3.5,3.5
12/21 12:49:10 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-17.5,-116,17.5,-114,118,103,-3.5,3.5
12/21 12:49:01 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-16.0,-104,16.0,-128,118,103,-3.5,3.5
12/21 12:48:55 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-16.0,-108,16.0,-123,118,103,-3.5,3.5
12/21 12:48:50 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-16.0,-108,16.0,-122,118,103,-3.5,3.5
12/21 12:48:39 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-16.5,-117,16.5,-113,118,103,-3.5,3.5
12/21 12:48:38 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-16.5,-116,16.5,-114,118,103,-3.5,3.5
12/21 12:48:37 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-16.5,-117,16.5,-113,118,103,-3.5,3.5
12/21 12:48:31 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-16.5,-116,16.5,-114,118,103,-3.5,3.5
12/21 12:48:28 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-16.5,-122,16.5,-108,118,103,-3.5,3.5
12/21 12:48:17 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-15.5,-122,15.5,-108,118,103,-3.5,3.5
12/21 12:47:19 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-16.0,-106,16.0,-110,118,103,-3.5,3.5
12/21 12:46:43 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-16.0,-107,16.0,-109,118,103,-3.5,3.5
12/21 12:46:19 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-16.0,-108,16.0,-108,118,103,-3.5,3.5
12/21 12:45:20 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-16.0,-112,16.0,-118,118,103,-3.5,3.5
12/21 12:45:16 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-15.0,-143,15.0,108,118,103,-3.5,3.5
12/21 12:45:14 pm,Pinnacle,Orlando Magic,Portland Trail Blazers,-15.0,-119,15.0,-111,118,103,-3.5,3.5
