Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/13 11:38:30 am,Pinnacle,Philadelphia 76ers,Boston Celtics,0.0,208,0.0,-250,109,115,-1,1
12/13 11:38:27 am,Pinnacle,Philadelphia 76ers,Boston Celtics,0.0,193,0.0,-230,109,115,-1,1
12/13 11:38:24 am,Pinnacle,Philadelphia 76ers,Boston Celtics,0.0,182,0.0,-216,109,115,-1,1
12/13 11:38:19 am,Pinnacle,Philadelphia 76ers,Boston Celtics,0.0,179,0.0,-213,109,115,-1,1
12/13 11:38:13 am,Pinnacle,Philadelphia 76ers,Boston Celtics,0.0,177,0.0,-210,109,115,-1,1
12/13 11:36:40 am,Pinnacle,Philadelphia 76ers,Boston Celtics,3.5,128,-3.5,-150,109,115,-1,1
12/13 11:36:33 am,Pinnacle,Philadelphia 76ers,Boston Celtics,3.5,146,-3.5,-172,109,115,-1,1
12/13 11:36:31 am,Pinnacle,Philadelphia 76ers,Boston Celtics,3.5,153,-3.5,-180,109,115,-1,1
12/13 11:32:43 am,Pinnacle,Philadelphia 76ers,Boston Celtics,0.0,276,0.0,-340,109,115,-1,1
12/13 11:32:37 am,Pinnacle,Philadelphia 76ers,Boston Celtics,0.0,289,0.0,-357,109,115,-1,1
12/13 11:32:28 am,Pinnacle,Philadelphia 76ers,Boston Celtics,0.0,291,0.0,-360,109,115,-1,1
12/13 11:32:22 am,Pinnacle,Philadelphia 76ers,Boston Celtics,0.0,298,0.0,-370,109,115,-1,1
12/13 11:32:13 am,Pinnacle,Philadelphia 76ers,Boston Celtics,0.0,305,0.0,-380,109,115,-1,1
12/13 11:27:27 am,Pinnacle,Philadelphia 76ers,Boston Celtics,5.0,-118,-5.0,101,109,115,-1,1
12/13 11:26:48 am,Pinnacle,Philadelphia 76ers,Boston Celtics,5.0,-120,-5.0,102,109,115,-1,1
12/13 11:26:39 am,Pinnacle,Philadelphia 76ers,Boston Celtics,5.0,-106,-5.0,-111,109,115,-1,1
12/13 11:23:49 am,Pinnacle,Philadelphia 76ers,Boston Celtics,6.5,-112,-6.5,-104,109,115,-1,1
12/13 11:23:13 am,Pinnacle,Philadelphia 76ers,Boston Celtics,6.5,-112,-6.5,-104,109,115,-1,1
12/13 11:23:07 am,Pinnacle,Philadelphia 76ers,Boston Celtics,6.5,-114,-6.5,-102,109,115,-1,1
12/13 11:17:06 am,Pinnacle,Philadelphia 76ers,Boston Celtics,2.5,-111,-2.5,-105,109,115,-1,1
12/13 11:13:09 am,Pinnacle,Philadelphia 76ers,Boston Celtics,3.0,-113,-3.0,-103,109,115,-1,1
12/13 11:13:04 am,Pinnacle,Philadelphia 76ers,Boston Celtics,3.0,-111,-3.0,-105,109,115,-1,1
12/13 11:12:28 am,Pinnacle,Philadelphia 76ers,Boston Celtics,3.0,-109,-3.0,-107,109,115,-1,1
