Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/12 11:39:49 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-18.5,-124,18.5,107,109,91,-2.5,2.5
1/12 11:39:34 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-18.5,-123,18.5,106,109,91,-2.5,2.5
1/12 11:36:19 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-13.0,-101,13.0,-116,109,91,-2.5,2.5
1/12 11:36:10 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-13.0,102,13.0,-119,109,91,-2.5,2.5
1/12 11:35:37 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-13.0,107,13.0,-125,109,91,-2.5,2.5
1/12 11:35:34 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-13.0,106,13.0,-124,109,91,-2.5,2.5
1/12 11:35:26 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-13.0,107,13.0,-125,109,91,-2.5,2.5
1/12 11:35:22 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-13.0,108,13.0,-127,109,91,-2.5,2.5
1/12 11:35:04 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-13.0,109,13.0,-128,109,91,-2.5,2.5
1/12 11:34:25 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-13.0,100,13.0,-117,109,91,-2.5,2.5
1/12 11:34:16 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-13.0,101,13.0,-118,109,91,-2.5,2.5
1/12 11:31:46 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-10.0,101,10.0,-134,109,91,-2.5,2.5
1/12 11:31:43 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-10.0,-120,10.0,-110,109,91,-2.5,2.5
1/12 11:31:22 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-11.0,-116,11.0,-114,109,91,-2.5,2.5
1/12 11:31:19 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-11.0,-112,11.0,-118,109,91,-2.5,2.5
1/12 11:31:16 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-11.0,-113,11.0,-117,109,91,-2.5,2.5
1/12 11:30:58 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-11.0,-114,11.0,-116,109,91,-2.5,2.5
1/12 11:31:37 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-10.0,-121,10.0,-109,109,91,-2.5,2.5
1/12 11:30:55 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-9.0,-115,9.0,-115,109,91,-2.5,2.5
1/12 11:30:52 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-9.0,-114,9.0,-116,109,91,-2.5,2.5
1/12 11:30:49 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-9.0,-132,9.0,100,109,91,-2.5,2.5
1/12 11:30:46 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-9.0,-112,9.0,-118,109,91,-2.5,2.5
1/12 11:30:43 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-9.0,-109,9.0,-122,109,91,-2.5,2.5
1/12 11:30:34 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-8.5,-127,8.5,-104,109,91,-2.5,2.5
1/12 11:30:28 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-8.5,-119,8.5,-111,109,91,-2.5,2.5
1/12 11:30:25 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-8.5,-112,8.5,-118,109,91,-2.5,2.5
1/12 11:30:15 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-8.5,-135,8.5,102,109,91,-2.5,2.5
1/12 11:30:13 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-8.5,-112,8.5,-118,109,91,-2.5,2.5
1/12 11:30:11 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-8.0,-124,8.0,-107,109,91,-2.5,2.5
1/12 11:30:01 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-8.0,-117,8.0,-113,109,91,-2.5,2.5
1/12 11:29:31 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-8.0,-120,8.0,-110,109,91,-2.5,2.5
1/12 11:29:23 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-8.0,-114,8.0,-116,109,91,-2.5,2.5
1/12 11:29:21 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-9.5,-116,9.5,-114,109,91,-2.5,2.5
1/12 11:29:19 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-8.0,-113,8.0,-117,109,91,-2.5,2.5
1/12 11:29:10 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-9.5,-116,9.5,-114,109,91,-2.5,2.5
1/12 11:29:07 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-8.0,-123,8.0,-108,109,91,-2.5,2.5
1/12 11:29:01 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-8.0,-131,8.0,-101,109,91,-2.5,2.5
1/12 11:28:52 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-8.0,-123,8.0,-107,109,91,-2.5,2.5
1/12 11:28:49 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-10.0,-106,10.0,-125,109,91,-2.5,2.5
1/12 11:28:43 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-10.0,-112,10.0,-118,109,91,-2.5,2.5
1/12 11:28:40 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-9.5,-110,9.5,-120,109,91,-2.5,2.5
1/12 11:28:34 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-8.0,-157,8.0,118,109,91,-2.5,2.5
1/12 11:28:31 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-8.0,-132,8.0,100,109,91,-2.5,2.5
1/12 11:28:25 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-8.0,-123,8.0,-108,109,91,-2.5,2.5
1/12 11:28:20 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-7.0,-123,7.0,-108,109,91,-2.5,2.5
1/12 11:28:10 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-7.5,-123,7.5,-108,109,91,-2.5,2.5
1/12 11:27:46 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-7.5,-119,7.5,-111,109,91,-2.5,2.5
1/12 11:27:37 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-8.5,-110,8.5,-120,109,91,-2.5,2.5
1/12 11:28:15 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-7.0,-121,7.0,-109,109,91,-2.5,2.5
1/12 11:26:52 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-8.5,-107,8.5,-124,109,91,-2.5,2.5
1/12 11:26:49 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-7.5,-119,7.5,-111,109,91,-2.5,2.5
1/12 11:26:46 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-7.5,-126,7.5,-105,109,91,-2.5,2.5
1/12 11:26:13 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-7.5,-112,7.5,-119,109,91,-2.5,2.5
1/12 11:25:55 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-7.5,-112,7.5,-118,109,91,-2.5,2.5
1/12 11:25:46 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-7.5,-111,7.5,-119,109,91,-2.5,2.5
1/12 11:25:43 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-7.5,-102,7.5,-115,109,91,-2.5,2.5
1/12 11:25:31 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-8.5,-103,8.5,-114,109,91,-2.5,2.5
1/12 11:25:16 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-8.5,-103,8.5,-113,109,91,-2.5,2.5
1/12 11:23:04 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-8.5,-105,8.5,-111,109,91,-2.5,2.5
1/12 11:23:01 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-7.5,-102,7.5,-115,109,91,-2.5,2.5
1/12 11:22:58 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-7.5,-103,7.5,-114,109,91,-2.5,2.5
1/12 11:22:49 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-7.5,-102,7.5,-114,109,91,-2.5,2.5
1/12 11:22:43 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-7.5,-110,7.5,-120,109,91,-2.5,2.5
1/12 11:22:40 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-7.0,-119,7.0,-111,109,91,-2.5,2.5
1/12 11:22:37 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-7.0,-113,7.0,-117,109,91,-2.5,2.5
1/12 11:22:34 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-6.0,-127,6.0,-104,109,91,-2.5,2.5
1/12 11:22:31 am,Pinnacle,Philadelphia 76ers,Dallas Mavericks,-6.0,-121,6.0,-110,109,91,-2.5,2.5
