Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/4 11:26:36 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-7.0,-111,7.0,-105,118,108,-4.5,4.5
1/4 11:25:56 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-7.0,-112,7.0,-105,118,108,-4.5,4.5
1/4 11:21:08 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-6.5,-111,6.5,-105,118,108,-4.5,4.5
1/4 11:20:30 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-6.5,-110,6.5,-106,118,108,-4.5,4.5
1/4 11:20:06 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-6.5,-111,6.5,-105,118,108,-4.5,4.5
1/4 11:20:02 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-6.5,-110,6.5,-106,118,108,-4.5,4.5
1/4 11:16:38 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-7.5,-131,7.5,-101,118,108,-4.5,4.5
1/4 11:16:35 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-7.5,-125,7.5,-106,118,108,-4.5,4.5
1/4 11:16:32 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-7.5,-117,7.5,-113,118,108,-4.5,4.5
1/4 11:16:30 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-7.5,-104,7.5,-127,118,108,-4.5,4.5
1/4 11:16:20 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-7.0,-127,7.0,-104,118,108,-4.5,4.5
1/4 11:16:11 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-7.5,-104,7.5,-128,118,108,-4.5,4.5
1/4 11:15:59 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-7.0,-127,7.0,-104,118,108,-4.5,4.5
1/4 11:15:56 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-8.0,-106,8.0,-125,118,108,-4.5,4.5
1/4 11:15:53 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-8.0,-116,8.0,-114,118,108,-4.5,4.5
1/4 11:15:47 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-8.0,-122,8.0,-108,118,108,-4.5,4.5
1/4 11:15:44 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-7.5,-122,7.5,-108,118,108,-4.5,4.5
1/4 11:15:41 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-8.5,-109,8.5,-121,118,108,-4.5,4.5
1/4 11:15:35 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-8.5,-113,8.5,-118,118,108,-4.5,4.5
1/4 11:15:32 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-8.5,-112,8.5,-118,118,108,-4.5,4.5
1/4 11:15:30 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-9.0,101,9.0,-134,118,108,-4.5,4.5
1/4 11:15:23 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-8.5,-119,8.5,-111,118,108,-4.5,4.5
1/4 11:15:17 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-9.0,-125,9.0,-106,118,108,-4.5,4.5
1/4 11:15:08 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-9.0,-117,9.0,-113,118,108,-4.5,4.5
1/4 11:15:02 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-8.5,-111,8.5,-119,118,108,-4.5,4.5
1/4 11:14:47 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-8.5,-120,8.5,-110,118,108,-4.5,4.5
1/4 11:14:41 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-9.5,-115,9.5,-115,118,108,-4.5,4.5
1/4 11:14:32 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-9.5,-115,9.5,-115,118,108,-4.5,4.5
1/4 11:14:30 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-10.0,-107,10.0,-124,118,108,-4.5,4.5
1/4 11:14:27 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-10.0,-122,10.0,-108,118,108,-4.5,4.5
1/4 11:14:24 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-9.5,-112,9.5,-118,118,108,-4.5,4.5
1/4 11:14:20 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-9.5,-111,9.5,-119,118,108,-4.5,4.5
1/4 11:14:12 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-9.5,-112,9.5,-119,118,108,-4.5,4.5
1/4 11:14:05 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-9.0,-122,9.0,-108,118,108,-4.5,4.5
1/4 11:13:59 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-9.0,-123,9.0,-108,118,108,-4.5,4.5
1/4 11:13:51 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-9.0,-122,9.0,-108,118,108,-4.5,4.5
1/4 11:13:26 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-9.0,-111,9.0,-119,118,108,-4.5,4.5
1/4 11:13:17 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-8.5,-123,8.5,-108,118,108,-4.5,4.5
1/4 11:13:14 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-8.0,-115,8.0,-115,118,108,-4.5,4.5
1/4 11:13:11 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-8.0,-109,8.0,-121,118,108,-4.5,4.5
1/4 11:13:05 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-8.5,-123,8.5,-108,118,108,-4.5,4.5
1/4 11:12:50 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-8.5,-124,8.5,-107,118,108,-4.5,4.5
1/4 11:12:32 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-9.0,-111,9.0,-119,118,108,-4.5,4.5
1/4 11:12:23 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-9.0,-111,9.0,-119,118,108,-4.5,4.5
1/4 11:12:20 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-8.0,-122,8.0,-108,118,108,-4.5,4.5
1/4 11:12:17 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-8.0,-110,8.0,-121,118,108,-4.5,4.5
1/4 11:12:14 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-8.5,-111,8.5,-119,118,108,-4.5,4.5
1/4 11:12:11 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-8.5,-120,8.5,-110,118,108,-4.5,4.5
1/4 11:12:08 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-8.5,-113,8.5,-117,118,108,-4.5,4.5
1/4 11:12:02 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-8.5,-113,8.5,-117,118,108,-4.5,4.5
1/4 11:11:59 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-8.5,-110,8.5,-120,118,108,-4.5,4.5
1/4 11:11:56 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-8.5,-110,8.5,-121,118,108,-4.5,4.5
1/4 11:11:53 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-8.5,-114,8.5,-116,118,108,-4.5,4.5
1/4 11:11:50 am,Pinnacle,Philadelphia 76ers,Houston Rockets,-8.5,-115,8.5,-115,118,108,-4.5,4.5
