Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/14 10:14:40 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-4.5,-190,4.5,161,101,95,-3.5,3.5
1/14 10:04:38 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,2.0,107,-2.0,-125,101,95,-3.5,3.5
1/14 10:04:35 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,2.0,108,-2.0,-126,101,95,-3.5,3.5
1/14 10:04:29 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,2.0,115,-2.0,-134,101,95,-3.5,3.5
1/14 10:04:23 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,2.0,109,-2.0,-127,101,95,-3.5,3.5
1/14 10:04:16 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,2.0,107,-2.0,-125,101,95,-3.5,3.5
1/14 10:04:15 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,2.0,107,-2.0,-124,101,95,-3.5,3.5
1/14 10:04:14 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,2.0,107,-2.0,-125,101,95,-3.5,3.5
1/14 10:04:08 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,2.0,107,-2.0,-124,101,95,-3.5,3.5
1/14 10:04:05 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,2.0,105,-2.0,-123,101,95,-3.5,3.5
1/14 10:03:59 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,2.0,100,-2.0,-117,101,95,-3.5,3.5
1/14 10:03:56 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,2.0,103,-2.0,-121,101,95,-3.5,3.5
1/14 10:03:50 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,2.0,102,-2.0,-119,101,95,-3.5,3.5
1/14 10:03:40 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,2.0,-101,-2.0,-116,101,95,-3.5,3.5
1/14 10:01:59 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,0.0,122,0.0,-142,101,95,-3.5,3.5
1/14 10:00:46 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,0.0,120,0.0,-140,101,95,-3.5,3.5
1/14 9:58:18 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-2.5,-104,2.5,-112,101,95,-3.5,3.5
1/14 9:57:29 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-2.5,100,2.5,-117,101,95,-3.5,3.5
1/14 9:57:08 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-2.5,-104,2.5,-112,101,95,-3.5,3.5
1/14 9:57:02 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-2.5,-101,2.5,-116,101,95,-3.5,3.5
1/14 9:56:50 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-2.5,100,2.5,-117,101,95,-3.5,3.5
1/14 9:54:08 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-2.5,-121,2.5,-109,101,95,-3.5,3.5
1/14 9:53:53 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-3.5,-108,3.5,-123,101,95,-3.5,3.5
1/14 9:53:50 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-4.0,-125,4.0,-106,101,95,-3.5,3.5
1/14 9:53:32 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-3.0,-123,3.0,-108,101,95,-3.5,3.5
1/14 9:53:29 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-3.0,-109,3.0,-121,101,95,-3.5,3.5
1/14 9:52:49 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-2.5,-122,2.5,-108,101,95,-3.5,3.5
1/14 9:52:47 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-1.5,-122,1.5,-108,101,95,-3.5,3.5
1/14 9:52:25 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-3.0,-108,3.0,-123,101,95,-3.5,3.5
1/14 9:52:20 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-3.0,-120,3.0,-110,101,95,-3.5,3.5
1/14 9:51:53 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-3.5,-109,3.5,-122,101,95,-3.5,3.5
1/14 9:51:20 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-4.5,-107,4.5,-124,101,95,-3.5,3.5
1/14 9:51:14 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-5.0,-113,5.0,-117,101,95,-3.5,3.5
1/14 9:51:11 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-5.5,-120,5.5,-110,101,95,-3.5,3.5
1/14 9:50:34 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-4.5,-107,4.5,-124,101,95,-3.5,3.5
1/14 9:50:29 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-3.5,-110,3.5,-121,101,95,-3.5,3.5
1/14 9:50:26 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-3.5,-112,3.5,-118,101,95,-3.5,3.5
1/14 9:50:20 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-3.5,-112,3.5,-118,101,95,-3.5,3.5
1/14 9:50:17 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-3.5,-113,3.5,-117,101,95,-3.5,3.5
1/14 9:50:13 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-4.5,-107,4.5,-124,101,95,-3.5,3.5
1/14 9:49:56 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-4.5,-113,4.5,-117,101,95,-3.5,3.5
1/14 9:49:43 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-3.5,-120,3.5,-110,101,95,-3.5,3.5
1/14 9:49:32 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-3.5,-115,3.5,-115,101,95,-3.5,3.5
1/14 9:49:05 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-3.5,-115,3.5,-115,101,95,-3.5,3.5
1/14 9:48:59 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-3.5,-115,3.5,-115,101,95,-3.5,3.5
1/14 9:48:53 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-4.5,-108,4.5,-122,101,95,-3.5,3.5
1/14 9:48:44 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-4.5,-114,4.5,-116,101,95,-3.5,3.5
1/14 9:48:35 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-3.5,-115,3.5,-115,101,95,-3.5,3.5
1/14 9:48:32 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-3.5,-108,3.5,-108,101,95,-3.5,3.5
1/14 9:47:25 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-3.5,-108,3.5,-108,101,95,-3.5,3.5
1/14 9:47:02 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-3.5,-109,3.5,-107,101,95,-3.5,3.5
1/14 9:46:26 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-3.5,-108,3.5,-108,101,95,-3.5,3.5
1/14 9:46:19 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-3.5,-102,3.5,-114,101,95,-3.5,3.5
1/14 9:45:35 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-3.5,-108,3.5,-108,101,95,-3.5,3.5
1/14 9:45:20 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-3.5,-115,3.5,-115,101,95,-3.5,3.5
1/14 9:45:11 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-2.0,-113,2.0,-117,101,95,-3.5,3.5
1/14 9:44:59 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,1.0,-121,-1.0,-109,101,95,-3.5,3.5
1/14 9:44:44 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-2.0,-112,2.0,-118,101,95,-3.5,3.5
1/14 9:44:38 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-1.5,-109,1.5,-121,101,95,-3.5,3.5
1/14 9:44:29 am,Pinnacle,Philadelphia 76ers,Indiana Pacers,-1.0,-118,1.0,-112,101,95,-3.5,3.5
