Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/2 7:05:08 am,RedZone,Philadelphia 76ers,Los Angeles Clippers,-7.5,-121,7.5,-103,136,130,-13.5,13.5
3/2 7:04:44 am,RedZone,Philadelphia 76ers,Los Angeles Clippers,-7.5,-125,7.5,101,136,130,-13.5,13.5
3/2 7:04:32 am,RedZone,Philadelphia 76ers,Los Angeles Clippers,-7.5,-103,7.5,-121,136,130,-13.5,13.5
3/2 7:04:14 am,RedZone,Philadelphia 76ers,Los Angeles Clippers,-7.5,-108,7.5,-115,136,130,-13.5,13.5
3/2 7:04:06 am,RedZone,Philadelphia 76ers,Los Angeles Clippers,-6.5,-129,6.5,104,136,130,-13.5,13.5
3/2 7:03:59 am,RedZone,Philadelphia 76ers,Los Angeles Clippers,-5.5,-134,5.5,107,136,130,-13.5,13.5
3/2 7:02:08 am,RedZone,Philadelphia 76ers,Los Angeles Clippers,-5.5,104,5.5,-129,136,130,-13.5,13.5
3/2 7:01:48 am,RedZone,Philadelphia 76ers,Los Angeles Clippers,-4.5,101,4.5,-125,136,130,-13.5,13.5
3/2 7:01:33 am,RedZone,Philadelphia 76ers,Los Angeles Clippers,-6.5,107,6.5,-134,136,130,-13.5,13.5
3/2 7:01:18 am,RedZone,Philadelphia 76ers,Los Angeles Clippers,-6.5,104,6.5,-129,136,130,-13.5,13.5
3/2 7:01:01 am,RedZone,Philadelphia 76ers,Los Angeles Clippers,-7.5,-112,7.5,-112,136,130,-13.5,13.5
3/2 7:00:48 am,RedZone,Philadelphia 76ers,Los Angeles Clippers,-6.5,-125,6.5,101,136,130,-13.5,13.5
3/2 7:00:40 am,RedZone,Philadelphia 76ers,Los Angeles Clippers,-6.5,-103,6.5,-121,136,130,-13.5,13.5
3/2 7:00:31 am,RedZone,Philadelphia 76ers,Los Angeles Clippers,-6.5,-117,6.5,-106,136,130,-13.5,13.5
3/2 7:00:17 am,RedZone,Philadelphia 76ers,Los Angeles Clippers,-8.5,104,8.5,-129,136,130,-13.5,13.5
3/2 7:00:02 am,RedZone,Philadelphia 76ers,Los Angeles Clippers,-8.5,-115,8.5,-108,136,130,-13.5,13.5
3/2 6:59:53 am,RedZone,Philadelphia 76ers,Los Angeles Clippers,-7.5,-112,7.5,-112,136,130,-13.5,13.5
3/2 6:59:43 am,RedZone,Philadelphia 76ers,Los Angeles Clippers,-8.5,-115,8.5,-108,136,130,-13.5,13.5
3/2 6:59:15 am,RedZone,Philadelphia 76ers,Los Angeles Clippers,-7.5,-118,7.5,-105,136,130,-13.5,13.5
3/2 6:59:00 am,RedZone,Philadelphia 76ers,Los Angeles Clippers,-6.5,-135,6.5,107,136,130,-13.5,13.5
3/2 6:58:50 am,RedZone,Philadelphia 76ers,Los Angeles Clippers,-6.5,-105,6.5,-118,136,130,-13.5,13.5
3/2 6:58:31 am,RedZone,Philadelphia 76ers,Los Angeles Clippers,-7.5,101,7.5,-126,136,130,-13.5,13.5
3/2 6:58:05 am,Pinnacle,Philadelphia 76ers,Los Angeles Clippers,-6.5,-122,6.5,104,136,130,-13.5,13.5
3/2 6:57:51 am,Pinnacle,Philadelphia 76ers,Los Angeles Clippers,-6.5,-123,6.5,105,136,130,-13.5,13.5
3/2 6:57:44 am,Pinnacle,Philadelphia 76ers,Los Angeles Clippers,-6.5,-126,6.5,108,136,130,-13.5,13.5
3/2 6:57:38 am,Pinnacle,Philadelphia 76ers,Los Angeles Clippers,-6.5,-125,6.5,107,136,130,-13.5,13.5
