Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/29 11:51:59 am,Pinnacle,Philadelphia 76ers,Miami Heat,0.0,-365,0.0,294,117,116,-1.5,1.5
12/29 11:51:53 am,Pinnacle,Philadelphia 76ers,Miami Heat,0.0,-352,0.0,285,117,116,-1.5,1.5
12/29 11:51:37 am,Pinnacle,Philadelphia 76ers,Miami Heat,0.0,-342,0.0,278,117,116,-1.5,1.5
12/29 11:51:04 am,Pinnacle,Philadelphia 76ers,Miami Heat,0.0,-392,0.0,314,117,116,-1.5,1.5
12/29 11:50:59 am,Pinnacle,Philadelphia 76ers,Miami Heat,0.0,-450,0.0,354,117,116,-1.5,1.5
12/29 11:49:11 am,Pinnacle,Philadelphia 76ers,Miami Heat,0.0,-202,0.0,170,117,116,-1.5,1.5
12/29 11:48:58 am,Pinnacle,Philadelphia 76ers,Miami Heat,0.0,-199,0.0,168,117,116,-1.5,1.5
12/29 11:48:56 am,Pinnacle,Philadelphia 76ers,Miami Heat,0.0,-191,0.0,162,117,116,-1.5,1.5
12/29 11:48:20 am,Pinnacle,Philadelphia 76ers,Miami Heat,0.0,-180,0.0,153,117,116,-1.5,1.5
12/29 11:48:13 am,Pinnacle,Philadelphia 76ers,Miami Heat,-180.0,-132,180.0,113,117,116,-1.5,1.5
12/29 11:46:58 am,Pinnacle,Philadelphia 76ers,Miami Heat,-2.0,-132,2.0,113,117,116,-1.5,1.5
12/29 11:46:55 am,Pinnacle,Philadelphia 76ers,Miami Heat,-2.0,-129,2.0,111,117,116,-1.5,1.5
12/29 11:46:49 am,Pinnacle,Philadelphia 76ers,Miami Heat,-2.0,-127,2.0,109,117,116,-1.5,1.5
12/29 11:46:47 am,Pinnacle,Philadelphia 76ers,Miami Heat,-2.0,-123,2.0,105,117,116,-1.5,1.5
12/29 11:46:40 am,Pinnacle,Philadelphia 76ers,Miami Heat,-2.0,-118,2.0,102,117,116,-1.5,1.5
12/29 11:46:35 am,Pinnacle,Philadelphia 76ers,Miami Heat,-2.0,-114,2.0,-102,117,116,-1.5,1.5
12/29 11:46:17 am,Pinnacle,Philadelphia 76ers,Miami Heat,-2.0,-110,2.0,-106,117,116,-1.5,1.5
12/29 11:39:20 am,Pinnacle,Philadelphia 76ers,Miami Heat,-1.0,-123,1.0,105,117,116,-1.5,1.5
12/29 11:38:56 am,Pinnacle,Philadelphia 76ers,Miami Heat,-1.0,-122,1.0,104,117,116,-1.5,1.5
12/29 11:38:14 am,Pinnacle,Philadelphia 76ers,Miami Heat,-1.0,-120,1.0,103,117,116,-1.5,1.5
12/29 11:38:07 am,Pinnacle,Philadelphia 76ers,Miami Heat,-1.0,-125,1.0,107,117,116,-1.5,1.5
12/29 11:38:04 am,Pinnacle,Philadelphia 76ers,Miami Heat,-1.0,-119,1.0,102,117,116,-1.5,1.5
12/29 11:37:53 am,Pinnacle,Philadelphia 76ers,Miami Heat,-1.0,-117,1.0,-100,117,116,-1.5,1.5
12/29 11:37:28 am,Pinnacle,Philadelphia 76ers,Miami Heat,-1.0,-115,1.0,-102,117,116,-1.5,1.5
12/29 11:37:10 am,Pinnacle,Philadelphia 76ers,Miami Heat,-1.0,-114,1.0,-103,117,116,-1.5,1.5
12/29 11:36:25 am,Pinnacle,Philadelphia 76ers,Miami Heat,-1.0,-106,1.0,-110,117,116,-1.5,1.5
12/29 11:23:35 am,Pinnacle,Philadelphia 76ers,Miami Heat,3.5,104,-3.5,-122,117,116,-1.5,1.5
12/29 11:23:31 am,Pinnacle,Philadelphia 76ers,Miami Heat,3.5,101,-3.5,-117,117,116,-1.5,1.5
12/29 11:23:23 am,Pinnacle,Philadelphia 76ers,Miami Heat,3.5,-104,-3.5,-113,117,116,-1.5,1.5
12/29 11:23:11 am,Pinnacle,Philadelphia 76ers,Miami Heat,3.5,-106,-3.5,-110,117,116,-1.5,1.5
12/29 11:17:47 am,Pinnacle,Philadelphia 76ers,Miami Heat,-1.5,-117,1.5,-100,117,116,-1.5,1.5
12/29 11:17:46 am,Pinnacle,Philadelphia 76ers,Miami Heat,-1.5,-115,1.5,-102,117,116,-1.5,1.5
12/29 11:17:14 am,Pinnacle,Philadelphia 76ers,Miami Heat,-1.5,-113,1.5,-103,117,116,-1.5,1.5
12/29 11:12:59 am,Pinnacle,Philadelphia 76ers,Miami Heat,-5.0,-122,5.0,104,117,116,-1.5,1.5
12/29 11:12:50 am,Pinnacle,Philadelphia 76ers,Miami Heat,-5.0,-121,5.0,104,117,116,-1.5,1.5
12/29 11:12:26 am,Pinnacle,Philadelphia 76ers,Miami Heat,-5.0,-119,5.0,102,117,116,-1.5,1.5
12/29 11:12:08 am,Pinnacle,Philadelphia 76ers,Miami Heat,-5.0,-117,5.0,101,117,116,-1.5,1.5
12/29 11:11:55 am,Pinnacle,Philadelphia 76ers,Miami Heat,-5.0,-115,5.0,-101,117,116,-1.5,1.5
12/29 11:11:46 am,Pinnacle,Philadelphia 76ers,Miami Heat,-5.0,-113,5.0,-103,117,116,-1.5,1.5
12/29 11:11:41 am,Pinnacle,Philadelphia 76ers,Miami Heat,-5.0,-111,5.0,-105,117,116,-1.5,1.5
12/29 11:11:26 am,Pinnacle,Philadelphia 76ers,Miami Heat,-5.0,-108,5.0,-108,117,116,-1.5,1.5
12/29 11:11:23 am,Pinnacle,Philadelphia 76ers,Miami Heat,-5.0,-106,5.0,-110,117,116,-1.5,1.5
12/29 11:11:14 am,Pinnacle,Philadelphia 76ers,Miami Heat,-5.0,-103,5.0,-113,117,116,-1.5,1.5
12/29 11:10:40 am,Pinnacle,Philadelphia 76ers,Miami Heat,-5.0,-107,5.0,-123,117,116,-1.5,1.5
12/29 11:10:11 am,Pinnacle,Philadelphia 76ers,Miami Heat,-3.5,-106,3.5,-125,117,116,-1.5,1.5
12/29 11:09:49 am,Pinnacle,Philadelphia 76ers,Miami Heat,-2.5,-115,2.5,-115,117,116,-1.5,1.5
12/29 11:09:44 am,Pinnacle,Philadelphia 76ers,Miami Heat,-2.5,-110,2.5,-121,117,116,-1.5,1.5
12/29 11:09:32 am,Pinnacle,Philadelphia 76ers,Miami Heat,-2.5,-109,2.5,-121,117,116,-1.5,1.5
12/29 11:09:23 am,Pinnacle,Philadelphia 76ers,Miami Heat,-1.5,-121,1.5,-109,117,116,-1.5,1.5
12/29 11:09:20 am,Pinnacle,Philadelphia 76ers,Miami Heat,-1.0,-116,1.0,-114,117,116,-1.5,1.5
12/29 11:09:07 am,Pinnacle,Philadelphia 76ers,Miami Heat,-1.0,-111,1.0,-119,117,116,-1.5,1.5
12/29 11:08:56 am,Pinnacle,Philadelphia 76ers,Miami Heat,-1.5,-122,1.5,-108,117,116,-1.5,1.5
12/29 11:08:53 am,Pinnacle,Philadelphia 76ers,Miami Heat,-1.5,-108,1.5,-123,117,116,-1.5,1.5
12/29 11:08:51 am,Pinnacle,Philadelphia 76ers,Miami Heat,-2.5,-108,2.5,-123,117,116,-1.5,1.5
12/29 11:08:34 am,Pinnacle,Philadelphia 76ers,Miami Heat,-3.0,-121,3.0,-109,117,116,-1.5,1.5
12/29 11:08:11 am,Pinnacle,Philadelphia 76ers,Miami Heat,-3.0,-112,3.0,-118,117,116,-1.5,1.5
12/29 11:08:09 am,Pinnacle,Philadelphia 76ers,Miami Heat,-2.5,-124,2.5,-107,117,116,-1.5,1.5
12/29 11:07:38 am,Pinnacle,Philadelphia 76ers,Miami Heat,-2.5,-118,2.5,-112,117,116,-1.5,1.5
12/29 11:06:40 am,Pinnacle,Philadelphia 76ers,Miami Heat,-2.5,-107,2.5,-109,117,116,-1.5,1.5
12/29 11:06:14 am,Pinnacle,Philadelphia 76ers,Miami Heat,-2.5,-106,2.5,-111,117,116,-1.5,1.5
12/29 11:04:38 am,Pinnacle,Philadelphia 76ers,Miami Heat,-2.5,-107,2.5,-123,117,116,-1.5,1.5
12/29 11:04:28 am,Pinnacle,Philadelphia 76ers,Miami Heat,-2.5,-106,2.5,-124,117,116,-1.5,1.5
12/29 11:04:20 am,Pinnacle,Philadelphia 76ers,Miami Heat,-4.0,-107,4.0,-124,117,116,-1.5,1.5
12/29 11:04:14 am,Pinnacle,Philadelphia 76ers,Miami Heat,-4.5,-120,4.5,-110,117,116,-1.5,1.5
12/29 11:03:50 am,Pinnacle,Philadelphia 76ers,Miami Heat,-4.5,-134,4.5,101,117,116,-1.5,1.5
12/29 11:03:48 am,Pinnacle,Philadelphia 76ers,Miami Heat,-4.5,-107,4.5,-123,117,116,-1.5,1.5
12/29 11:03:47 am,Pinnacle,Philadelphia 76ers,Miami Heat,-4.5,-121,4.5,-109,117,116,-1.5,1.5
12/29 11:03:43 am,Pinnacle,Philadelphia 76ers,Miami Heat,-4.5,-107,4.5,-123,117,116,-1.5,1.5
12/29 11:03:28 am,Pinnacle,Philadelphia 76ers,Miami Heat,-4.0,-130,4.0,-101,117,116,-1.5,1.5
12/29 11:03:22 am,Pinnacle,Philadelphia 76ers,Miami Heat,-4.0,-125,4.0,-106,117,116,-1.5,1.5
12/29 11:03:20 am,Pinnacle,Philadelphia 76ers,Miami Heat,-4.0,-118,4.0,-112,117,116,-1.5,1.5
12/29 11:03:14 am,Pinnacle,Philadelphia 76ers,Miami Heat,-4.0,-107,4.0,-123,117,116,-1.5,1.5
12/29 11:03:09 am,Pinnacle,Philadelphia 76ers,Miami Heat,-4.0,-134,4.0,101,117,116,-1.5,1.5
12/29 11:03:05 am,Pinnacle,Philadelphia 76ers,Miami Heat,-4.0,-116,4.0,-114,117,116,-1.5,1.5
