Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/7 11:18:57 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-14.5,-117,14.5,-100,112,101,-9,9
2/7 11:18:48 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-14.5,-116,14.5,-101,112,101,-9,9
2/7 11:18:31 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-14.5,-117,14.5,100,112,101,-9,9
2/7 11:15:52 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-13.5,-122,13.5,105,112,101,-9,9
2/7 11:15:48 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-13.5,-125,13.5,107,112,101,-9,9
2/7 11:15:42 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-13.5,-126,13.5,108,112,101,-9,9
2/7 11:15:33 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-13.5,-119,13.5,102,112,101,-9,9
2/7 11:10:15 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-11.0,-106,11.0,-125,112,101,-9,9
2/7 11:06:54 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-11.0,-100,11.0,-116,112,101,-9,9
2/7 11:06:45 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-10.5,-114,10.5,-103,112,101,-9,9
2/7 11:06:33 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-10.5,-135,10.5,102,112,101,-9,9
2/7 11:06:30 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-10.5,-121,10.5,-109,112,101,-9,9
2/7 11:06:27 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-10.0,-122,10.0,-108,112,101,-9,9
2/7 11:06:24 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-10.0,-117,10.0,-113,112,101,-9,9
2/7 11:06:21 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-10.0,-117,10.0,-113,112,101,-9,9
2/7 11:06:18 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-10.0,-116,10.0,-114,112,101,-9,9
2/7 11:06:10 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-9.5,-106,9.5,-125,112,101,-9,9
2/7 11:05:51 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-9.5,-106,9.5,-125,112,101,-9,9
2/7 11:05:39 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-8.0,-143,8.0,108,112,101,-9,9
2/7 11:05:36 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-8.0,-130,8.0,-102,112,101,-9,9
2/7 11:05:33 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-9.0,-113,9.0,-117,112,101,-9,9
2/7 11:05:30 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-9.0,-113,9.0,-117,112,101,-9,9
2/7 11:05:27 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-9.0,-122,9.0,-108,112,101,-9,9
2/7 11:05:24 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-9.0,-108,9.0,-123,112,101,-9,9
2/7 11:05:22 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-8.5,-117,8.5,-113,112,101,-9,9
2/7 11:05:18 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-8.5,-120,8.5,-110,112,101,-9,9
2/7 11:05:15 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-8.5,-130,8.5,-102,112,101,-9,9
2/7 11:05:10 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-8.5,-120,8.5,-110,112,101,-9,9
2/7 11:05:03 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-8.5,-114,8.5,-116,112,101,-9,9
2/7 11:04:57 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-9.0,-114,9.0,-116,112,101,-9,9
2/7 11:04:45 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-9.0,-115,9.0,-115,112,101,-9,9
2/7 11:04:39 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-9.0,-115,9.0,-115,112,101,-9,9
2/7 11:04:36 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-8.5,-120,8.5,-111,112,101,-9,9
2/7 11:04:33 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-7.5,-111,7.5,-119,112,101,-9,9
2/7 11:04:32 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-7.5,-109,7.5,-122,112,101,-9,9
2/7 11:04:13 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-8.0,-135,8.0,102,112,101,-9,9
2/7 11:04:09 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-7.0,-119,7.0,-111,112,101,-9,9
2/7 11:04:06 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-7.0,-154,7.0,116,112,101,-9,9
2/7 11:04:05 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-7.0,-150,7.0,113,112,101,-9,9
2/7 11:03:57 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-7.0,-125,7.0,-106,112,101,-9,9
2/7 11:03:54 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-7.0,-114,7.0,-116,112,101,-9,9
2/7 11:03:51 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-8.0,-122,8.0,-109,112,101,-9,9
2/7 11:03:48 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-8.0,-119,8.0,-111,112,101,-9,9
2/7 11:03:33 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-8.0,-126,8.0,-105,112,101,-9,9
2/7 11:03:24 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-7.5,-119,7.5,-111,112,101,-9,9
2/7 11:00:06 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-7.5,-112,7.5,-104,112,101,-9,9
2/7 10:59:54 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-7.5,-119,7.5,-111,112,101,-9,9
2/7 10:59:51 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-7.5,-119,7.5,-111,112,101,-9,9
2/7 10:59:48 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-9.0,-110,9.0,-121,112,101,-9,9
2/7 10:59:45 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-9.0,-117,9.0,-113,112,101,-9,9
2/7 10:59:42 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-9.0,-117,9.0,-113,112,101,-9,9
2/7 10:59:39 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-10.0,102,10.0,-135,112,101,-9,9
2/7 10:59:36 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-10.0,-107,10.0,-124,112,101,-9,9
2/7 10:59:33 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-10.0,-113,10.0,-117,112,101,-9,9
2/7 10:59:29 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-10.0,-120,10.0,-111,112,101,-9,9
2/7 10:59:13 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-10.5,-117,10.5,-113,112,101,-9,9
2/7 10:58:57 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-11.0,-111,11.0,-119,112,101,-9,9
2/7 10:58:45 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-11.0,-111,11.0,-119,112,101,-9,9
2/7 10:58:33 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-11.5,100,11.5,-132,112,101,-9,9
2/7 10:58:31 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-11.5,-121,11.5,-110,112,101,-9,9
2/7 10:58:15 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-11.5,-121,11.5,-109,112,101,-9,9
2/7 10:58:03 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-11.5,-122,11.5,-109,112,101,-9,9
2/7 10:58:00 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-11.5,-122,11.5,-109,112,101,-9,9
2/7 10:57:57 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-12.5,-115,12.5,-115,112,101,-9,9
2/7 10:57:52 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-12.5,-107,12.5,-124,112,101,-9,9
2/7 10:57:39 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-12.5,-104,12.5,-127,112,101,-9,9
2/7 10:57:33 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-12.5,-112,12.5,-119,112,101,-9,9
2/7 10:57:27 am,Pinnacle,Philadelphia 76ers,Milwaukee Bucks,-12.0,-120,12.0,-110,112,101,-9,9
