Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/30 11:03:00 am,Pinnacle,Philadelphia 76ers,New York Knicks,0.0,890,0.0,-1500,95,101,6.5,-6.5
11/30 11:02:59 am,Pinnacle,Philadelphia 76ers,New York Knicks,0.0,851,0.0,-1400,95,101,6.5,-6.5
11/30 11:02:58 am,Pinnacle,Philadelphia 76ers,New York Knicks,0.0,890,0.0,-1500,95,101,6.5,-6.5
11/30 11:02:37 am,Pinnacle,Philadelphia 76ers,New York Knicks,0.0,851,0.0,-1400,95,101,6.5,-6.5
11/30 10:55:37 am,Pinnacle,Philadelphia 76ers,New York Knicks,0.0,304,0.0,-378,95,101,6.5,-6.5
11/30 10:55:10 am,Pinnacle,Philadelphia 76ers,New York Knicks,0.0,294,0.0,-365,95,101,6.5,-6.5
11/30 10:54:46 am,Pinnacle,Philadelphia 76ers,New York Knicks,0.0,276,0.0,-340,95,101,6.5,-6.5
11/30 10:53:04 am,Pinnacle,Philadelphia 76ers,New York Knicks,3.0,-104,-3.0,-112,95,101,6.5,-6.5
11/30 10:52:43 am,Pinnacle,Philadelphia 76ers,New York Knicks,3.0,-103,-3.0,-113,95,101,6.5,-6.5
11/30 10:52:13 am,Pinnacle,Philadelphia 76ers,New York Knicks,3.0,-106,-3.0,-111,95,101,6.5,-6.5
11/30 10:51:49 am,Pinnacle,Philadelphia 76ers,New York Knicks,3.0,-104,-3.0,-113,95,101,6.5,-6.5
11/30 10:50:55 am,Pinnacle,Philadelphia 76ers,New York Knicks,3.0,-111,-3.0,-105,95,101,6.5,-6.5
11/30 10:50:43 am,Pinnacle,Philadelphia 76ers,New York Knicks,3.0,-110,-3.0,-106,95,101,6.5,-6.5
11/30 10:50:31 am,Pinnacle,Philadelphia 76ers,New York Knicks,3.0,-108,-3.0,-108,95,101,6.5,-6.5
11/30 10:42:47 am,Pinnacle,Philadelphia 76ers,New York Knicks,5.0,-119,-5.0,-111,95,101,6.5,-6.5
11/30 10:42:40 am,Pinnacle,Philadelphia 76ers,New York Knicks,5.0,-114,-5.0,-116,95,101,6.5,-6.5
11/30 10:42:34 am,Pinnacle,Philadelphia 76ers,New York Knicks,5.0,-113,-5.0,-117,95,101,6.5,-6.5
11/30 10:42:25 am,Pinnacle,Philadelphia 76ers,New York Knicks,5.0,-112,-5.0,-118,95,101,6.5,-6.5
11/30 10:42:22 am,Pinnacle,Philadelphia 76ers,New York Knicks,5.5,-123,-5.5,-108,95,101,6.5,-6.5
11/30 10:42:10 am,Pinnacle,Philadelphia 76ers,New York Knicks,4.5,-122,-4.5,-109,95,101,6.5,-6.5
11/30 10:42:04 am,Pinnacle,Philadelphia 76ers,New York Knicks,4.5,-119,-4.5,-111,95,101,6.5,-6.5
11/30 10:42:02 am,Pinnacle,Philadelphia 76ers,New York Knicks,5.0,-110,-5.0,-120,95,101,6.5,-6.5
11/30 10:41:58 am,Pinnacle,Philadelphia 76ers,New York Knicks,6.0,-108,-6.0,-122,95,101,6.5,-6.5
11/30 10:41:37 am,Pinnacle,Philadelphia 76ers,New York Knicks,7.0,-118,-7.0,-112,95,101,6.5,-6.5
11/30 10:41:19 am,Pinnacle,Philadelphia 76ers,New York Knicks,6.5,-121,-6.5,-109,95,101,6.5,-6.5
11/30 10:39:10 am,Pinnacle,Philadelphia 76ers,New York Knicks,6.0,-113,-6.0,-103,95,101,6.5,-6.5
11/30 10:38:52 am,Pinnacle,Philadelphia 76ers,New York Knicks,6.0,-108,-6.0,-108,95,101,6.5,-6.5
11/30 10:38:49 am,Pinnacle,Philadelphia 76ers,New York Knicks,6.0,-106,-6.0,-110,95,101,6.5,-6.5
11/30 10:38:43 am,Pinnacle,Philadelphia 76ers,New York Knicks,6.0,-104,-6.0,-112,95,101,6.5,-6.5
11/30 10:38:23 am,Pinnacle,Philadelphia 76ers,New York Knicks,6.5,-121,-6.5,-110,95,101,6.5,-6.5
11/30 10:38:20 am,Pinnacle,Philadelphia 76ers,New York Knicks,7.0,-122,-7.0,-109,95,101,6.5,-6.5
11/30 10:38:01 am,Pinnacle,Philadelphia 76ers,New York Knicks,7.0,-116,-7.0,-114,95,101,6.5,-6.5
11/30 10:37:58 am,Pinnacle,Philadelphia 76ers,New York Knicks,7.5,-112,-7.5,-118,95,101,6.5,-6.5
11/30 10:37:43 am,Pinnacle,Philadelphia 76ers,New York Knicks,7.5,-105,-7.5,-126,95,101,6.5,-6.5
11/30 10:37:40 am,Pinnacle,Philadelphia 76ers,New York Knicks,7.0,-111,-7.0,-120,95,101,6.5,-6.5
11/30 10:37:37 am,Pinnacle,Philadelphia 76ers,New York Knicks,7.0,-116,-7.0,-114,95,101,6.5,-6.5
11/30 10:37:34 am,Pinnacle,Philadelphia 76ers,New York Knicks,7.0,-119,-7.0,-111,95,101,6.5,-6.5
11/30 10:37:25 am,Pinnacle,Philadelphia 76ers,New York Knicks,7.0,-120,-7.0,-110,95,101,6.5,-6.5
11/30 10:37:16 am,Pinnacle,Philadelphia 76ers,New York Knicks,7.0,-115,-7.0,-115,95,101,6.5,-6.5
11/30 10:37:10 am,Pinnacle,Philadelphia 76ers,New York Knicks,8.0,-126,-8.0,-105,95,101,6.5,-6.5
11/30 10:36:55 am,Pinnacle,Philadelphia 76ers,New York Knicks,8.0,-125,-8.0,-106,95,101,6.5,-6.5
11/30 10:36:35 am,Pinnacle,Philadelphia 76ers,New York Knicks,8.0,-124,-8.0,-107,95,101,6.5,-6.5
