Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/16 11:41:24 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,-9.5,108,9.5,-126,127,119,3.5,-3.5
11/16 11:41:17 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,-9.5,109,9.5,-128,127,119,3.5,-3.5
11/16 11:41:15 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,-9.5,113,9.5,-132,127,119,3.5,-3.5
11/16 11:41:11 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,-9.5,111,9.5,-130,127,119,3.5,-3.5
11/16 11:41:05 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,-9.5,114,9.5,-133,127,119,3.5,-3.5
11/16 11:41:02 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,-9.5,112,9.5,-131,127,119,3.5,-3.5
11/16 11:40:56 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,-9.5,109,9.5,-127,127,119,3.5,-3.5
11/16 11:40:39 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,-9.5,107,9.5,-125,127,119,3.5,-3.5
11/16 11:39:03 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,-5.0,-127,5.0,109,127,119,3.5,-3.5
11/16 11:39:00 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,-5.0,-130,5.0,111,127,119,3.5,-3.5
11/16 11:38:53 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,-5.0,-124,5.0,107,127,119,3.5,-3.5
11/16 11:38:50 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,-5.0,-119,5.0,102,127,119,3.5,-3.5
11/16 11:38:47 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,-5.0,-121,5.0,103,127,119,3.5,-3.5
11/16 11:38:44 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,-5.0,-116,5.0,-101,127,119,3.5,-3.5
11/16 11:38:39 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,-5.0,-117,5.0,100,127,119,3.5,-3.5
11/16 11:38:32 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,-5.0,-112,5.0,-104,127,119,3.5,-3.5
11/16 11:38:29 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,-5.0,-116,5.0,-100,127,119,3.5,-3.5
11/16 11:38:23 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,-5.0,-106,5.0,-110,127,119,3.5,-3.5
11/16 11:38:21 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,-5.0,-100,5.0,-117,127,119,3.5,-3.5
11/16 11:38:11 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,-5.0,-103,5.0,-113,127,119,3.5,-3.5
11/16 11:38:05 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,-5.0,-104,5.0,-112,127,119,3.5,-3.5
11/16 11:32:35 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,1.5,-106,-1.5,-110,127,119,3.5,-3.5
11/16 11:32:23 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,1.5,-108,-1.5,-108,127,119,3.5,-3.5
11/16 11:31:59 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,1.5,-109,-1.5,-107,127,119,3.5,-3.5
11/16 11:31:56 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,1.5,-104,-1.5,-112,127,119,3.5,-3.5
11/16 11:31:53 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,1.5,-103,-1.5,-113,127,119,3.5,-3.5
11/16 11:31:44 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,1.5,-105,-1.5,-111,127,119,3.5,-3.5
11/16 11:31:42 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,1.5,-107,-1.5,-109,127,119,3.5,-3.5
11/16 11:31:35 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,1.5,-106,-1.5,-110,127,119,3.5,-3.5
11/16 11:31:23 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,1.5,-108,-1.5,-108,127,119,3.5,-3.5
11/16 11:31:20 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,1.5,-114,-1.5,-103,127,119,3.5,-3.5
11/16 11:31:14 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,1.5,-113,-1.5,-103,127,119,3.5,-3.5
11/16 11:30:56 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,1.5,-102,-1.5,-114,127,119,3.5,-3.5
11/16 11:30:50 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,1.5,-104,-1.5,-112,127,119,3.5,-3.5
11/16 11:30:44 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,1.5,103,-1.5,-120,127,119,3.5,-3.5
11/16 11:20:38 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,0.0,129,0.0,-151,127,119,3.5,-3.5
11/16 11:20:29 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,0.0,136,0.0,-160,127,119,3.5,-3.5
11/16 11:17:11 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,0.0,107,0.0,-125,127,119,3.5,-3.5
11/16 11:16:56 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,0.0,109,0.0,-127,127,119,3.5,-3.5
11/16 11:16:54 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,0.0,111,0.0,-129,127,119,3.5,-3.5
11/16 11:16:35 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,0.0,-104,0.0,-112,127,119,3.5,-3.5
11/16 11:10:32 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,5.0,-102,-5.0,-114,127,119,3.5,-3.5
11/16 11:10:14 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,5.0,-106,-5.0,-110,127,119,3.5,-3.5
11/16 11:08:35 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,5.0,-108,-5.0,-108,127,119,3.5,-3.5
11/16 11:07:54 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,4.5,-117,-4.5,-113,127,119,3.5,-3.5
11/16 11:07:53 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,4.5,-124,-4.5,-107,127,119,3.5,-3.5
11/16 11:07:52 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,5.5,-124,-5.5,-107,127,119,3.5,-3.5
11/16 11:07:50 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,4.5,-124,-4.5,-107,127,119,3.5,-3.5
11/16 11:07:46 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,5.5,-124,-5.5,-107,127,119,3.5,-3.5
11/16 11:07:45 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,6.0,-119,-6.0,-112,127,119,3.5,-3.5
11/16 11:07:44 am,Pinnacle,Philadelphia 76ers,Oklahoma City Thunder,5.5,-124,-5.5,-107,127,119,3.5,-3.5
