Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/28 10:08:55 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-9.5,107,9.5,-125,98,97,3.5,-3.5
12/28 10:08:34 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-9.5,106,9.5,-124,98,97,3.5,-3.5
12/28 10:08:23 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-9.5,114,9.5,-133,98,97,3.5,-3.5
12/28 10:08:16 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-9.5,117,9.5,-136,98,97,3.5,-3.5
12/28 10:07:53 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-9.5,122,9.5,-143,98,97,3.5,-3.5
12/28 10:02:19 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-3.5,106,3.5,-124,98,97,3.5,-3.5
12/28 10:02:14 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-3.5,104,3.5,-122,98,97,3.5,-3.5
12/28 10:02:04 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-3.5,103,3.5,-120,98,97,3.5,-3.5
12/28 10:01:49 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-3.5,104,3.5,-122,98,97,3.5,-3.5
12/28 10:01:41 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-3.5,106,3.5,-123,98,97,3.5,-3.5
12/28 10:00:40 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-3.5,107,3.5,-125,98,97,3.5,-3.5
12/28 10:00:22 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-3.5,101,3.5,-118,98,97,3.5,-3.5
12/28 9:55:32 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-2.5,107,2.5,-125,98,97,3.5,-3.5
12/28 9:55:05 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-2.5,112,2.5,-131,98,97,3.5,-3.5
12/28 9:54:58 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-2.5,113,2.5,-132,98,97,3.5,-3.5
12/28 9:54:52 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-2.5,103,2.5,-120,98,97,3.5,-3.5
12/28 9:54:44 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-2.5,109,2.5,-127,98,97,3.5,-3.5
12/28 9:54:40 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-2.5,-104,2.5,-112,98,97,3.5,-3.5
12/28 9:54:29 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-2.5,100,2.5,-117,98,97,3.5,-3.5
12/28 9:53:31 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-2.0,-117,2.0,-113,98,97,3.5,-3.5
12/28 9:53:22 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-2.0,-119,2.0,-112,98,97,3.5,-3.5
12/28 9:53:19 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-2.0,-105,2.0,-125,98,97,3.5,-3.5
12/28 9:53:05 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-1.5,-105,1.5,-125,98,97,3.5,-3.5
12/28 9:53:01 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-2.0,-116,2.0,-114,98,97,3.5,-3.5
12/28 9:52:50 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-2.0,106,2.0,-140,98,97,3.5,-3.5
12/28 9:52:46 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-2.0,102,2.0,-135,98,97,3.5,-3.5
12/28 9:52:43 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-2.0,-108,2.0,-123,98,97,3.5,-3.5
12/28 9:52:35 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-2.0,-116,2.0,-114,98,97,3.5,-3.5
12/28 9:52:32 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-1.0,-140,1.0,106,98,97,3.5,-3.5
12/28 9:52:11 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-1.0,-123,1.0,-107,98,97,3.5,-3.5
12/28 9:51:59 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-1.0,104,1.0,-138,98,97,3.5,-3.5
12/28 9:51:55 am,Pinnacle,Philadelphia 76ers,Orlando Magic,1.0,-132,-1.0,100,98,97,3.5,-3.5
12/28 9:51:25 am,Pinnacle,Philadelphia 76ers,Orlando Magic,1.0,-133,-1.0,101,98,97,3.5,-3.5
12/28 9:51:22 am,Pinnacle,Philadelphia 76ers,Orlando Magic,1.0,-132,-1.0,-100,98,97,3.5,-3.5
12/28 9:50:43 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-1.0,-115,1.0,-115,98,97,3.5,-3.5
12/28 9:50:40 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-2.0,109,2.0,-145,98,97,3.5,-3.5
12/28 9:50:28 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-2.0,-107,2.0,-123,98,97,3.5,-3.5
12/28 9:50:25 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-1.0,-114,1.0,-116,98,97,3.5,-3.5
12/28 9:50:14 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-2.0,-116,2.0,-114,98,97,3.5,-3.5
12/28 9:50:02 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-2.0,-121,2.0,-109,98,97,3.5,-3.5
12/28 9:49:46 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-2.5,-118,2.5,-112,98,97,3.5,-3.5
12/28 9:49:34 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-2.5,-110,2.5,-120,98,97,3.5,-3.5
12/28 9:49:28 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-3.0,-115,3.0,-115,98,97,3.5,-3.5
12/28 9:49:11 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-3.0,-124,3.0,-107,98,97,3.5,-3.5
12/28 9:49:08 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-4.0,-108,4.0,-123,98,97,3.5,-3.5
12/28 9:48:49 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-4.0,-114,4.0,-116,98,97,3.5,-3.5
12/28 9:48:47 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-5.0,-112,5.0,-118,98,97,3.5,-3.5
12/28 9:48:26 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-4.0,-110,4.0,-120,98,97,3.5,-3.5
12/28 9:48:22 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-3.5,-120,3.5,-110,98,97,3.5,-3.5
12/28 9:47:47 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-3.5,-114,3.5,-116,98,97,3.5,-3.5
12/28 9:47:14 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-3.5,-108,3.5,-123,98,97,3.5,-3.5
12/28 9:47:11 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-3.5,-108,3.5,-122,98,97,3.5,-3.5
12/28 9:46:46 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-4.0,-138,4.0,104,98,97,3.5,-3.5
12/28 9:46:37 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-4.0,-115,4.0,-115,98,97,3.5,-3.5
12/28 9:46:34 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-4.0,-113,4.0,-117,98,97,3.5,-3.5
12/28 9:46:29 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-3.0,-122,3.0,-108,98,97,3.5,-3.5
12/28 9:46:20 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-2.5,-116,2.5,-114,98,97,3.5,-3.5
12/28 9:46:07 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-2.5,-108,2.5,-122,98,97,3.5,-3.5
12/28 9:46:05 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-2.5,-109,2.5,-121,98,97,3.5,-3.5
12/28 9:45:49 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-1.5,-119,1.5,-111,98,97,3.5,-3.5
12/28 9:45:28 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-1.0,-109,1.0,-121,98,97,3.5,-3.5
12/28 9:45:26 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-1.0,-109,1.0,-122,98,97,3.5,-3.5
12/28 9:45:17 am,Pinnacle,Philadelphia 76ers,Orlando Magic,0.0,-120,0.0,103,98,97,3.5,-3.5
12/28 9:45:11 am,Pinnacle,Philadelphia 76ers,Orlando Magic,0.0,-122,0.0,105,98,97,3.5,-3.5
12/28 9:44:20 am,Pinnacle,Philadelphia 76ers,Orlando Magic,0.0,-117,0.0,100,98,97,3.5,-3.5
12/28 9:44:11 am,Pinnacle,Philadelphia 76ers,Orlando Magic,0.0,-115,0.0,-101,98,97,3.5,-3.5
12/28 9:44:07 am,Pinnacle,Philadelphia 76ers,Orlando Magic,0.0,-113,0.0,-104,98,97,3.5,-3.5
12/28 9:43:52 am,Pinnacle,Philadelphia 76ers,Orlando Magic,0.0,-114,0.0,-102,98,97,3.5,-3.5
12/28 9:43:37 am,Pinnacle,Philadelphia 76ers,Orlando Magic,0.0,-113,0.0,-103,98,97,3.5,-3.5
12/28 9:43:28 am,Pinnacle,Philadelphia 76ers,Orlando Magic,0.0,-114,0.0,-102,98,97,3.5,-3.5
12/28 9:43:23 am,Pinnacle,Philadelphia 76ers,Orlando Magic,0.0,-116,0.0,-101,98,97,3.5,-3.5
12/28 9:43:11 am,Pinnacle,Philadelphia 76ers,Orlando Magic,0.0,-117,0.0,100,98,97,3.5,-3.5
12/28 9:42:29 am,Pinnacle,Philadelphia 76ers,Orlando Magic,1.0,-115,-1.0,-115,98,97,3.5,-3.5
12/28 9:42:10 am,Pinnacle,Philadelphia 76ers,Orlando Magic,1.0,-133,-1.0,100,98,97,3.5,-3.5
12/28 9:41:46 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-1.0,-110,1.0,-121,98,97,3.5,-3.5
12/28 9:41:43 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-1.0,-108,1.0,-122,98,97,3.5,-3.5
12/28 9:41:40 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-1.0,104,1.0,-138,98,97,3.5,-3.5
12/28 9:41:37 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-1.5,-115,1.5,-115,98,97,3.5,-3.5
12/28 9:41:31 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-2.0,-115,2.0,-115,98,97,3.5,-3.5
12/28 9:41:29 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-1.5,-112,1.5,-118,98,97,3.5,-3.5
12/28 9:41:16 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-1.0,-112,1.0,-118,98,97,3.5,-3.5
12/28 9:41:13 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-1.0,-117,1.0,-113,98,97,3.5,-3.5
12/28 9:41:11 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-1.0,-105,1.0,-126,98,97,3.5,-3.5
12/28 9:41:04 am,Pinnacle,Philadelphia 76ers,Orlando Magic,1.5,-122,-1.5,-108,98,97,3.5,-3.5
12/28 9:40:59 am,Pinnacle,Philadelphia 76ers,Orlando Magic,1.5,-120,-1.5,-110,98,97,3.5,-3.5
12/28 9:40:56 am,Pinnacle,Philadelphia 76ers,Orlando Magic,2.0,-125,-2.0,-106,98,97,3.5,-3.5
12/28 9:40:47 am,Pinnacle,Philadelphia 76ers,Orlando Magic,1.0,-125,-1.0,-106,98,97,3.5,-3.5
12/28 9:40:43 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-1.0,-103,1.0,-128,98,97,3.5,-3.5
12/28 9:40:41 am,Pinnacle,Philadelphia 76ers,Orlando Magic,-1.0,-119,1.0,-111,98,97,3.5,-3.5
12/28 9:40:23 am,Pinnacle,Philadelphia 76ers,Orlando Magic,1.0,-120,-1.0,-110,98,97,3.5,-3.5
12/28 9:40:16 am,Pinnacle,Philadelphia 76ers,Orlando Magic,1.0,-114,-1.0,-116,98,97,3.5,-3.5
12/28 9:40:10 am,Pinnacle,Philadelphia 76ers,Orlando Magic,1.5,-125,-1.5,-106,98,97,3.5,-3.5
12/28 9:40:05 am,Pinnacle,Philadelphia 76ers,Orlando Magic,1.5,-126,-1.5,-105,98,97,3.5,-3.5
12/28 9:39:14 am,Pinnacle,Philadelphia 76ers,Orlando Magic,1.5,-121,-1.5,-109,98,97,3.5,-3.5
12/28 9:38:40 am,Pinnacle,Philadelphia 76ers,Orlando Magic,1.5,-122,-1.5,-108,98,97,3.5,-3.5
12/28 9:38:37 am,Pinnacle,Philadelphia 76ers,Orlando Magic,1.5,-113,-1.5,-117,98,97,3.5,-3.5
12/28 9:38:17 am,Pinnacle,Philadelphia 76ers,Orlando Magic,2.0,-113,-2.0,-117,98,97,3.5,-3.5
12/28 9:38:14 am,Pinnacle,Philadelphia 76ers,Orlando Magic,2.0,-120,-2.0,-110,98,97,3.5,-3.5
12/28 9:37:08 am,Pinnacle,Philadelphia 76ers,Orlando Magic,2.0,-110,-2.0,-120,98,97,3.5,-3.5
12/28 9:37:04 am,Pinnacle,Philadelphia 76ers,Orlando Magic,2.0,-111,-2.0,-120,98,97,3.5,-3.5
12/28 9:37:02 am,Pinnacle,Philadelphia 76ers,Orlando Magic,2.0,-121,-2.0,-109,98,97,3.5,-3.5
12/28 9:36:46 am,Pinnacle,Philadelphia 76ers,Orlando Magic,3.0,-121,-3.0,-109,98,97,3.5,-3.5
12/28 9:36:31 am,Pinnacle,Philadelphia 76ers,Orlando Magic,3.5,-111,-3.5,-119,98,97,3.5,-3.5
12/28 9:37:47 am,Pinnacle,Philadelphia 76ers,Orlando Magic,1.5,-120,-1.5,-110,98,97,3.5,-3.5
12/28 9:36:04 am,Pinnacle,Philadelphia 76ers,Orlando Magic,3.5,-104,-3.5,-112,98,97,3.5,-3.5
12/28 9:35:40 am,Pinnacle,Philadelphia 76ers,Orlando Magic,3.5,-102,-3.5,-115,98,97,3.5,-3.5
12/28 9:35:29 am,Pinnacle,Philadelphia 76ers,Orlando Magic,3.5,-101,-3.5,-116,98,97,3.5,-3.5
12/28 9:34:55 am,Pinnacle,Philadelphia 76ers,Orlando Magic,3.5,-103,-3.5,-114,98,97,3.5,-3.5
12/28 9:34:01 am,Pinnacle,Philadelphia 76ers,Orlando Magic,3.5,-108,-3.5,-108,98,97,3.5,-3.5
12/28 9:33:22 am,Pinnacle,Philadelphia 76ers,Orlando Magic,4.0,-122,-4.0,-108,98,97,3.5,-3.5
12/28 9:33:05 am,Pinnacle,Philadelphia 76ers,Orlando Magic,3.0,-115,-3.0,-115,98,97,3.5,-3.5
12/28 9:33:01 am,Pinnacle,Philadelphia 76ers,Orlando Magic,4.0,-143,-4.0,108,98,97,3.5,-3.5
12/28 9:32:23 am,Pinnacle,Philadelphia 76ers,Orlando Magic,4.0,-121,-4.0,-109,98,97,3.5,-3.5
12/28 9:31:55 am,Pinnacle,Philadelphia 76ers,Orlando Magic,3.0,-115,-3.0,-115,98,97,3.5,-3.5
12/28 9:31:52 am,Pinnacle,Philadelphia 76ers,Orlando Magic,3.0,-114,-3.0,-116,98,97,3.5,-3.5
12/28 9:31:43 am,Pinnacle,Philadelphia 76ers,Orlando Magic,2.5,-117,-2.5,-113,98,97,3.5,-3.5
12/28 9:31:22 am,Pinnacle,Philadelphia 76ers,Orlando Magic,2.0,-123,-2.0,-108,98,97,3.5,-3.5
12/28 9:31:19 am,Pinnacle,Philadelphia 76ers,Orlando Magic,2.0,-116,-2.0,-114,98,97,3.5,-3.5
