Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/5 12:31:09 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.5,-250,5.5,208,114,109,1,-1
11/5 12:31:00 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.5,-232,5.5,194,114,109,1,-1
11/5 12:30:54 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.5,-220,5.5,185,114,109,1,-1
11/5 12:30:45 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.5,-206,5.5,174,114,109,1,-1
11/5 12:30:43 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.5,-213,5.5,179,114,109,1,-1
11/5 12:30:27 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.5,-201,5.5,170,114,109,1,-1
11/5 12:30:18 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.5,-220,5.5,185,114,109,1,-1
11/5 12:26:18 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.0,-177,5.0,150,114,109,1,-1
11/5 12:25:57 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.0,-165,5.0,140,114,109,1,-1
11/5 12:25:54 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.0,-163,5.0,139,114,109,1,-1
11/5 12:25:39 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.0,-152,5.0,130,114,109,1,-1
11/5 12:25:33 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.0,-140,5.0,120,114,109,1,-1
11/5 12:25:12 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.0,-141,5.0,120,114,109,1,-1
11/5 12:25:09 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.0,-140,5.0,120,114,109,1,-1
11/5 12:25:06 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.0,-150,5.0,128,114,109,1,-1
11/5 12:25:03 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.0,-165,5.0,140,114,109,1,-1
11/5 12:25:00 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.0,-147,5.0,125,114,109,1,-1
11/5 12:24:57 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.0,-129,5.0,110,114,109,1,-1
11/5 12:24:54 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.0,-125,5.0,107,114,109,1,-1
11/5 12:24:51 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.0,-108,5.0,-108,114,109,1,-1
11/5 12:24:48 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.0,-104,5.0,-112,114,109,1,-1
11/5 12:20:42 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-1.5,-128,1.5,110,114,109,1,-1
11/5 12:20:36 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-1.5,-125,1.5,107,114,109,1,-1
11/5 12:20:27 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-1.5,-124,1.5,106,114,109,1,-1
11/5 12:20:21 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-1.5,-119,1.5,102,114,109,1,-1
11/5 12:19:57 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-1.5,-116,1.5,-101,114,109,1,-1
11/5 12:15:46 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,0.0,-108,0.0,-108,114,109,1,-1
11/5 12:15:27 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,0.0,-105,0.0,-111,114,109,1,-1
11/5 12:15:21 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,0.0,-106,0.0,-110,114,109,1,-1
11/5 12:15:15 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,0.0,-109,0.0,-107,114,109,1,-1
11/5 12:15:12 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,0.0,-108,0.0,-108,114,109,1,-1
11/5 12:15:09 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,0.0,-112,0.0,-104,114,109,1,-1
11/5 12:14:54 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,0.0,-117,0.0,100,114,109,1,-1
11/5 12:11:03 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.5,-106,5.5,-110,114,109,1,-1
11/5 12:10:48 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.5,-105,5.5,-111,114,109,1,-1
11/5 12:10:32 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.5,-107,5.5,-109,114,109,1,-1
11/5 12:10:06 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.5,-109,5.5,-107,114,109,1,-1
11/5 12:09:54 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.5,-111,5.5,-105,114,109,1,-1
11/5 12:09:27 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-5.5,-113,5.5,-103,114,109,1,-1
11/5 12:08:33 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-4.0,-126,4.0,-105,114,109,1,-1
11/5 12:08:30 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-4.5,-121,4.5,-109,114,109,1,-1
11/5 12:08:27 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-2.5,-123,2.5,-108,114,109,1,-1
11/5 12:08:25 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-2.5,-115,2.5,-115,114,109,1,-1
11/5 12:08:21 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-2.0,-129,2.0,-102,114,109,1,-1
11/5 12:08:12 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-2.0,-125,2.0,-105,114,109,1,-1
11/5 12:08:09 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-2.0,-125,2.0,-106,114,109,1,-1
11/5 12:08:06 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-3.0,-112,3.0,-118,114,109,1,-1
11/5 12:08:03 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-3.0,-114,3.0,-116,114,109,1,-1
11/5 12:08:00 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-4.0,118,4.0,-157,114,109,1,-1
11/5 12:07:57 pm,Pinnacle,Philadelphia 76ers,Phoenix Suns,-4.0,101,4.0,-134,114,109,1,-1
