Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/26 10:48:57 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,2.5,111,-2.5,-130,101,96,1.5,-1.5
11/26 10:39:00 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,4.5,-110,-4.5,-106,101,96,1.5,-1.5
11/26 10:38:48 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,4.5,-109,-4.5,-107,101,96,1.5,-1.5
11/26 10:38:45 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,4.5,-113,-4.5,-103,101,96,1.5,-1.5
11/26 10:38:39 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,4.5,-115,-4.5,-102,101,96,1.5,-1.5
11/26 10:38:24 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,4.5,-114,-4.5,-103,101,96,1.5,-1.5
11/26 10:38:22 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,4.5,-113,-4.5,-103,101,96,1.5,-1.5
11/26 10:37:36 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,4.5,-115,-4.5,-102,101,96,1.5,-1.5
11/26 10:35:21 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,2.0,-106,-2.0,-110,101,96,1.5,-1.5
11/26 10:35:06 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,2.0,-107,-2.0,-109,101,96,1.5,-1.5
11/26 10:35:03 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,2.0,-108,-2.0,-108,101,96,1.5,-1.5
11/26 10:34:30 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,2.0,-103,-2.0,-113,101,96,1.5,-1.5
11/26 10:34:28 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,2.0,-104,-2.0,-112,101,96,1.5,-1.5
11/26 10:33:52 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,2.0,-106,-2.0,-110,101,96,1.5,-1.5
11/26 10:33:17 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,2.0,-110,-2.0,-120,101,96,1.5,-1.5
11/26 10:33:16 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,2.0,-108,-2.0,-123,101,96,1.5,-1.5
11/26 10:33:15 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,2.0,-110,-2.0,-120,101,96,1.5,-1.5
11/26 10:33:07 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,2.0,-111,-2.0,-119,101,96,1.5,-1.5
11/26 10:32:51 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,2.0,-113,-2.0,-117,101,96,1.5,-1.5
11/26 10:32:39 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,3.0,-116,-3.0,-114,101,96,1.5,-1.5
11/26 10:32:36 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,2.5,-110,-2.5,-120,101,96,1.5,-1.5
11/26 10:32:24 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,2.0,-110,-2.0,-120,101,96,1.5,-1.5
11/26 10:32:18 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,2.0,-108,-2.0,-122,101,96,1.5,-1.5
11/26 10:32:09 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,1.0,-127,-1.0,-104,101,96,1.5,-1.5
11/26 10:32:06 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,1.0,-125,-1.0,-106,101,96,1.5,-1.5
11/26 10:32:00 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,1.5,-120,-1.5,-111,101,96,1.5,-1.5
11/26 10:31:01 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,1.5,-119,-1.5,-111,101,96,1.5,-1.5
11/26 10:30:46 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,1.5,-121,-1.5,-110,101,96,1.5,-1.5
11/26 10:30:36 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,2.0,-107,-2.0,-124,101,96,1.5,-1.5
11/26 10:30:15 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,2.0,-116,-2.0,-114,101,96,1.5,-1.5
11/26 10:30:01 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,2.5,-115,-2.5,-115,101,96,1.5,-1.5
11/26 10:29:57 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,3.0,-112,-3.0,-118,101,96,1.5,-1.5
11/26 10:29:21 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,2.0,-106,-2.0,-124,101,96,1.5,-1.5
11/26 10:29:01 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,2.0,-107,-2.0,-123,101,96,1.5,-1.5
11/26 10:28:57 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,3.0,-123,-3.0,-108,101,96,1.5,-1.5
11/26 10:28:54 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,-1.0,-101,1.0,-131,101,96,1.5,-1.5
11/26 10:27:06 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,2.0,-106,-2.0,-125,101,96,1.5,-1.5
11/26 10:26:18 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,2.5,-124,-2.5,-107,101,96,1.5,-1.5
11/26 10:26:15 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,2.0,-118,-2.0,-113,101,96,1.5,-1.5
11/26 10:25:57 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,3.0,-118,-3.0,-113,101,96,1.5,-1.5
11/26 10:25:45 am,Pinnacle,Philadelphia 76ers,Toronto Raptors,3.0,-116,-3.0,-114,101,96,1.5,-1.5
