Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/4 10:46:21 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-18.5,-134,18.5,115,119,97,-2,2
2/4 10:45:51 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-18.5,-140,18.5,120,119,97,-2,2
2/4 10:45:24 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-18.5,-120,18.5,103,119,97,-2,2
2/4 10:45:22 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-18.5,-112,18.5,-104,119,97,-2,2
2/4 10:44:58 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-18.5,-108,18.5,-108,119,97,-2,2
2/4 10:37:42 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-14.5,-119,14.5,-111,119,97,-2,2
2/4 10:37:36 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-14.5,-117,14.5,-113,119,97,-2,2
2/4 10:37:27 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-13.5,-116,13.5,-114,119,97,-2,2
2/4 10:37:24 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-13.5,-118,13.5,-112,119,97,-2,2
2/4 10:37:12 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-14.5,-117,14.5,-113,119,97,-2,2
2/4 10:37:06 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-13.5,-117,13.5,-113,119,97,-2,2
2/4 10:37:03 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-13.5,-115,13.5,-115,119,97,-2,2
2/4 10:36:57 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-13.5,-115,13.5,-115,119,97,-2,2
2/4 10:36:36 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-13.5,-113,13.5,-118,119,97,-2,2
2/4 10:36:33 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-13.5,-116,13.5,-114,119,97,-2,2
2/4 10:36:27 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-13.0,-109,13.0,-121,119,97,-2,2
2/4 10:36:22 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-14.0,-124,14.0,-107,119,97,-2,2
2/4 10:36:06 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-14.5,-124,14.5,-107,119,97,-2,2
2/4 10:36:00 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-15.5,102,15.5,-135,119,97,-2,2
2/4 10:35:54 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-15.5,-123,15.5,-108,119,97,-2,2
2/4 10:35:36 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-15.5,-123,15.5,-108,119,97,-2,2
2/4 10:35:33 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-15.5,-116,15.5,-114,119,97,-2,2
2/4 10:35:27 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-15.5,-113,15.5,-117,119,97,-2,2
2/4 10:35:21 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-14.0,-136,14.0,103,119,97,-2,2
2/4 10:35:18 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-14.0,-126,14.0,-105,119,97,-2,2
2/4 10:35:00 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-14.0,-123,14.0,-108,119,97,-2,2
2/4 10:34:52 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-14.5,-110,14.5,-120,119,97,-2,2
2/4 10:34:48 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-15.5,-108,15.5,-122,119,97,-2,2
2/4 10:34:33 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-15.5,-111,15.5,-119,119,97,-2,2
2/4 10:33:39 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-15.0,-105,15.0,-111,119,97,-2,2
2/4 10:33:12 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-15.0,-107,15.0,-109,119,97,-2,2
2/4 10:32:33 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-15.0,-110,15.0,-106,119,97,-2,2
2/4 10:32:22 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-15.0,100,15.0,-117,119,97,-2,2
2/4 10:31:40 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-14.5,-102,14.5,-114,119,97,-2,2
2/4 10:31:33 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-14.5,-109,14.5,-122,119,97,-2,2
2/4 10:31:07 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-15.5,-113,15.5,-117,119,97,-2,2
2/4 10:31:03 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-15.0,-115,15.0,-116,119,97,-2,2
2/4 10:30:55 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-15.0,-120,15.0,-111,119,97,-2,2
2/4 10:30:42 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-15.0,-119,15.0,-111,119,97,-2,2
2/4 10:30:30 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-16.0,-111,16.0,-119,119,97,-2,2
2/4 10:30:22 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-16.0,-120,16.0,-111,119,97,-2,2
2/4 10:30:09 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-16.5,-113,16.5,-117,119,97,-2,2
2/4 10:30:06 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-18.0,-113,18.0,-117,119,97,-2,2
2/4 10:29:39 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-18.0,-112,18.0,-119,119,97,-2,2
2/4 10:29:36 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-16.5,-112,16.5,-119,119,97,-2,2
2/4 10:29:30 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-16.5,-112,16.5,-119,119,97,-2,2
2/4 10:29:18 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-15.5,-109,15.5,-122,119,97,-2,2
2/4 10:29:06 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-15.5,-108,15.5,-122,119,97,-2,2
2/4 10:28:39 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-16.5,-110,16.5,-120,119,97,-2,2
2/4 10:28:33 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-17.0,-115,17.0,-115,119,97,-2,2
2/4 10:28:31 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-18.0,-107,18.0,-124,119,97,-2,2
2/4 10:28:15 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-18.0,-117,18.0,-113,119,97,-2,2
2/4 10:27:54 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-18.5,-118,18.5,-112,119,97,-2,2
2/4 10:27:52 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-18.0,-114,18.0,-116,119,97,-2,2
2/4 10:27:36 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-18.0,-115,18.0,-115,119,97,-2,2
2/4 10:27:25 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-18.0,-114,18.0,-116,119,97,-2,2
2/4 10:27:18 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-18.5,-115,18.5,-115,119,97,-2,2
2/4 10:27:01 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-18.5,-116,18.5,-114,119,97,-2,2
2/4 10:26:39 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-17.0,-117,17.0,-113,119,97,-2,2
2/4 10:26:36 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-18.5,-103,18.5,-129,119,97,-2,2
2/4 10:26:24 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-18.5,-113,18.5,-117,119,97,-2,2
2/4 10:26:22 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-18.5,-113,18.5,-117,119,97,-2,2
2/4 10:26:18 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-19.5,-115,19.5,-115,119,97,-2,2
2/4 10:25:54 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-18.5,-112,18.5,-119,119,97,-2,2
2/4 10:25:45 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-18.0,-116,18.0,-114,119,97,-2,2
2/4 10:25:22 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-18.0,-111,18.0,-119,119,97,-2,2
2/4 10:25:18 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-18.0,-110,18.0,-120,119,97,-2,2
2/4 10:25:09 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-17.5,-121,17.5,-109,119,97,-2,2
2/4 10:24:42 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-16.5,-117,16.5,-113,119,97,-2,2
2/4 10:24:18 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-15.0,-119,15.0,-111,119,97,-2,2
2/4 10:23:48 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-14.0,-118,14.0,101,119,97,-2,2
2/4 10:23:06 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-14.0,-117,14.0,100,119,97,-2,2
2/4 10:22:42 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-14.0,-117,14.0,101,119,97,-2,2
2/4 10:22:36 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-14.0,-104,14.0,-112,119,97,-2,2
2/4 10:22:24 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-13.5,-109,13.5,-107,119,97,-2,2
2/4 10:21:41 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-14.0,-109,14.0,-107,119,97,-2,2
2/4 10:21:33 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-14.0,-117,14.0,-113,119,97,-2,2
2/4 10:21:18 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-13.5,-115,13.5,-115,119,97,-2,2
2/4 10:21:12 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-13.0,-119,13.0,-111,119,97,-2,2
2/4 10:20:48 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-12.5,-114,12.5,-116,119,97,-2,2
2/4 10:20:36 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-13.0,-115,13.0,-115,119,97,-2,2
2/4 10:19:27 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-12.0,-106,12.0,-110,119,97,-2,2
2/4 10:18:52 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-12.0,-113,12.0,-117,119,97,-2,2
2/4 10:18:38 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-12.0,-115,12.0,-115,119,97,-2,2
2/4 10:18:30 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-13.0,-115,13.0,-115,119,97,-2,2
2/4 10:18:21 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-13.0,-112,13.0,-118,119,97,-2,2
2/4 10:18:12 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-12.0,-111,12.0,-120,119,97,-2,2
2/4 10:17:54 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-11.5,-111,11.5,-120,119,97,-2,2
2/4 10:17:48 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-12.0,-110,12.0,-120,119,97,-2,2
2/4 10:17:45 am,Pinnacle,Phoenix Suns,Brooklyn Nets,-12.0,-110,12.0,-121,119,97,-2,2
