Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/23 11:27:11 am,RedZone,Phoenix Suns,Chicago Bulls,8.5,-125,-8.5,101,104,112,3.5,-3.5
2/23 11:27:01 am,RedZone,Phoenix Suns,Chicago Bulls,8.5,-183,-8.5,144,104,112,3.5,-3.5
2/23 11:26:52 am,RedZone,Phoenix Suns,Chicago Bulls,8.5,101,-8.5,-125,104,112,3.5,-3.5
2/23 11:24:55 am,RedZone,Phoenix Suns,Chicago Bulls,9.5,144,-9.5,-183,104,112,3.5,-3.5
2/23 11:24:45 am,RedZone,Phoenix Suns,Chicago Bulls,9.5,137,-9.5,-174,104,112,3.5,-3.5
2/23 11:24:32 am,RedZone,Phoenix Suns,Chicago Bulls,9.5,128,-9.5,-162,104,112,3.5,-3.5
2/23 11:24:25 am,RedZone,Phoenix Suns,Chicago Bulls,10.5,-162,-10.5,128,104,112,3.5,-3.5
2/23 11:24:20 am,RedZone,Phoenix Suns,Chicago Bulls,10.5,119,-10.5,-150,104,112,3.5,-3.5
2/23 11:24:10 am,RedZone,Phoenix Suns,Chicago Bulls,10.5,-115,-10.5,-108,104,112,3.5,-3.5
2/23 11:23:53 am,RedZone,Phoenix Suns,Chicago Bulls,10.5,-134,-10.5,107,104,112,3.5,-3.5
2/23 11:23:46 am,RedZone,Phoenix Suns,Chicago Bulls,9.5,-112,-9.5,-112,104,112,3.5,-3.5
2/23 11:23:36 am,RedZone,Phoenix Suns,Chicago Bulls,9.5,-103,-9.5,-121,104,112,3.5,-3.5
2/23 11:23:25 am,RedZone,Phoenix Suns,Chicago Bulls,9.5,-121,-9.5,-103,104,112,3.5,-3.5
2/23 11:23:12 am,RedZone,Phoenix Suns,Chicago Bulls,9.5,101,-9.5,-125,104,112,3.5,-3.5
2/23 11:23:02 am,RedZone,Phoenix Suns,Chicago Bulls,8.5,107,-8.5,-134,104,112,3.5,-3.5
2/23 11:22:26 am,RedZone,Phoenix Suns,Chicago Bulls,8.5,101,-8.5,-125,104,112,3.5,-3.5
2/23 11:21:54 am,RedZone,Phoenix Suns,Chicago Bulls,7.5,107,-7.5,-134,104,112,3.5,-3.5
2/23 11:21:49 am,RedZone,Phoenix Suns,Chicago Bulls,7.5,104,-7.5,-129,104,112,3.5,-3.5
2/23 11:21:36 am,RedZone,Phoenix Suns,Chicago Bulls,7.5,-106,-7.5,-117,104,112,3.5,-3.5
2/23 11:21:16 am,RedZone,Phoenix Suns,Chicago Bulls,7.5,-103,-7.5,-121,104,112,3.5,-3.5
2/23 11:18:58 am,RedZone,Phoenix Suns,Chicago Bulls,6.5,-117,-6.5,-106,104,112,3.5,-3.5
2/23 11:18:34 am,RedZone,Phoenix Suns,Chicago Bulls,6.5,-121,-6.5,-103,104,112,3.5,-3.5
2/23 11:18:25 am,RedZone,Phoenix Suns,Chicago Bulls,7.5,-134,-7.5,107,104,112,3.5,-3.5
2/23 11:18:14 am,RedZone,Phoenix Suns,Chicago Bulls,6.5,107,-6.5,-134,104,112,3.5,-3.5
2/23 11:17:52 am,RedZone,Phoenix Suns,Chicago Bulls,6.5,-121,-6.5,-103,104,112,3.5,-3.5
2/23 11:17:46 am,RedZone,Phoenix Suns,Chicago Bulls,6.5,107,-6.5,-134,104,112,3.5,-3.5
2/23 11:17:36 am,RedZone,Phoenix Suns,Chicago Bulls,6.5,104,-6.5,-129,104,112,3.5,-3.5
2/23 11:16:57 am,RedZone,Phoenix Suns,Chicago Bulls,7.5,-103,-7.5,-121,104,112,3.5,-3.5
2/23 11:16:51 am,RedZone,Phoenix Suns,Chicago Bulls,8.5,-129,-8.5,104,104,112,3.5,-3.5
2/23 11:16:15 am,RedZone,Phoenix Suns,Chicago Bulls,7.5,-108,-7.5,-115,104,112,3.5,-3.5
2/23 11:15:56 am,Pinnacle,Phoenix Suns,Chicago Bulls,7.5,-120,-7.5,103,104,112,3.5,-3.5
2/23 11:15:41 am,Pinnacle,Phoenix Suns,Chicago Bulls,7.5,-120,-7.5,103,104,112,3.5,-3.5
2/23 11:15:32 am,Pinnacle,Phoenix Suns,Chicago Bulls,7.0,103,-7.0,-120,104,112,3.5,-3.5
2/23 11:15:17 am,Pinnacle,Phoenix Suns,Chicago Bulls,7.0,103,-7.0,-120,104,112,3.5,-3.5
2/23 11:15:07 am,Pinnacle,Phoenix Suns,Chicago Bulls,7.0,103,-7.0,-120,104,112,3.5,-3.5
2/23 11:15:01 am,Pinnacle,Phoenix Suns,Chicago Bulls,7.0,103,-7.0,-120,104,112,3.5,-3.5
2/23 11:14:25 am,RedZone,Phoenix Suns,Chicago Bulls,6.5,104,-6.5,-129,104,112,3.5,-3.5
2/23 11:14:16 am,RedZone,Phoenix Suns,Chicago Bulls,5.5,-112,-5.5,-112,104,112,3.5,-3.5
2/23 11:13:40 am,Pinnacle,Phoenix Suns,Chicago Bulls,6.5,100,-6.5,-117,104,112,3.5,-3.5
2/23 11:13:01 am,Pinnacle,Phoenix Suns,Chicago Bulls,6.5,-100,-6.5,-116,104,112,3.5,-3.5
2/23 11:12:48 am,Pinnacle,Phoenix Suns,Chicago Bulls,6.5,100,-6.5,-117,104,112,3.5,-3.5
2/23 11:12:37 am,Pinnacle,Phoenix Suns,Chicago Bulls,6.5,100,-6.5,-117,104,112,3.5,-3.5
2/23 11:12:31 am,Pinnacle,Phoenix Suns,Chicago Bulls,6.5,-107,-6.5,-109,104,112,3.5,-3.5
2/23 11:12:28 am,Pinnacle,Phoenix Suns,Chicago Bulls,6.5,-107,-6.5,-109,104,112,3.5,-3.5
2/23 11:12:24 am,Pinnacle,Phoenix Suns,Chicago Bulls,6.5,-108,-6.5,-108,104,112,3.5,-3.5
2/23 11:12:19 am,Pinnacle,Phoenix Suns,Chicago Bulls,6.5,-112,-6.5,-104,104,112,3.5,-3.5
2/23 11:12:11 am,Pinnacle,Phoenix Suns,Chicago Bulls,6.5,-113,-6.5,-103,104,112,3.5,-3.5
2/23 11:11:58 am,Pinnacle,Phoenix Suns,Chicago Bulls,6.0,-103,-6.0,-114,104,112,3.5,-3.5
