Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
10/26 11:24:39 am,Pinnacle,Phoenix Suns,Denver Nuggets,-4.5,-171,4.5,145,108,107,-11,11
10/26 11:18:05 am,Pinnacle,Phoenix Suns,Denver Nuggets,-7.5,-109,7.5,-107,108,107,-11,11
10/26 11:16:59 am,Pinnacle,Phoenix Suns,Denver Nuggets,-7.5,-108,7.5,-108,108,107,-11,11
10/26 11:15:53 am,Pinnacle,Phoenix Suns,Denver Nuggets,-8.0,100,8.0,-117,108,107,-11,11
10/26 11:07:09 am,Pinnacle,Phoenix Suns,Denver Nuggets,-6.5,-104,6.5,-112,108,107,-11,11
10/26 11:06:04 am,Pinnacle,Phoenix Suns,Denver Nuggets,-6.5,-116,6.5,-101,108,107,-11,11
10/26 11:04:58 am,Pinnacle,Phoenix Suns,Denver Nuggets,-7.0,-127,7.0,-123,108,107,-11,11
10/26 11:03:53 am,Pinnacle,Phoenix Suns,Denver Nuggets,-7.5,-129,7.5,-121,108,107,-11,11
10/26 11:02:47 am,Pinnacle,Phoenix Suns,Denver Nuggets,-5.5,-109,5.5,-121,108,107,-11,11
10/26 11:01:33 am,Pinnacle,Phoenix Suns,Denver Nuggets,-4.0,-116,4.0,-134,108,107,-11,11
10/26 11:00:27 am,Pinnacle,Phoenix Suns,Denver Nuggets,-4.5,-126,4.5,-124,108,107,-11,11
10/26 10:59:23 am,Pinnacle,Phoenix Suns,Denver Nuggets,-4.5,-120,4.5,-131,108,107,-11,11
10/26 10:58:19 am,Pinnacle,Phoenix Suns,Denver Nuggets,-4.5,-112,4.5,-104,108,107,-11,11
10/26 10:57:14 am,Pinnacle,Phoenix Suns,Denver Nuggets,-4.5,-115,4.5,-102,108,107,-11,11
10/26 10:55:04 am,Pinnacle,Phoenix Suns,Denver Nuggets,-3.5,-130,3.5,-120,108,107,-11,11
10/26 10:53:59 am,Pinnacle,Phoenix Suns,Denver Nuggets,-5.5,104,5.5,-138,108,107,-11,11
10/26 10:52:54 am,Pinnacle,Phoenix Suns,Denver Nuggets,-6.0,100,6.0,-133,108,107,-11,11
10/26 10:51:49 am,Pinnacle,Phoenix Suns,Denver Nuggets,-6.5,-136,6.5,-115,108,107,-11,11
10/26 10:50:44 am,Pinnacle,Phoenix Suns,Denver Nuggets,-6.0,-117,6.0,100,108,107,-11,11
10/26 10:49:39 am,Pinnacle,Phoenix Suns,Denver Nuggets,-6.0,-106,6.0,-110,108,107,-11,11
10/26 10:48:34 am,Pinnacle,Phoenix Suns,Denver Nuggets,-7.5,111,7.5,-148,108,107,-11,11
10/26 10:47:30 am,Pinnacle,Phoenix Suns,Denver Nuggets,-7.5,-111,7.5,-130,108,107,-11,11
10/26 10:46:24 am,Pinnacle,Phoenix Suns,Denver Nuggets,-9.0,-112,9.0,-128,108,107,-11,11
10/26 10:45:17 am,Pinnacle,Phoenix Suns,Denver Nuggets,-7.5,-104,7.5,-112,108,107,-11,11
10/26 10:44:11 am,Pinnacle,Phoenix Suns,Denver Nuggets,-7.5,-101,7.5,-116,108,107,-11,11
10/26 10:41:54 am,Pinnacle,Phoenix Suns,Denver Nuggets,-7.5,-126,7.5,-114,108,107,-11,11
10/26 10:40:47 am,Pinnacle,Phoenix Suns,Denver Nuggets,-8.0,-113,8.0,-128,108,107,-11,11
10/26 10:39:30 am,Pinnacle,Phoenix Suns,Denver Nuggets,-6.5,-122,6.5,-108,108,107,-11,11
10/26 10:38:25 am,Pinnacle,Phoenix Suns,Denver Nuggets,-5.0,-119,5.0,-121,108,107,-11,11
10/26 10:37:20 am,Pinnacle,Phoenix Suns,Denver Nuggets,-4.5,-121,4.5,-119,108,107,-11,11
10/26 10:36:15 am,Pinnacle,Phoenix Suns,Denver Nuggets,-6.0,-122,6.0,-109,108,107,-11,11
10/26 10:36:10 am,Pinnacle,Phoenix Suns,Denver Nuggets,-6.0,-114,6.0,-116,108,107,-11,11
10/26 10:36:08 am,Pinnacle,Phoenix Suns,Denver Nuggets,-6.0,-126,6.0,-114,108,107,-11,11
10/26 10:35:03 am,Pinnacle,Phoenix Suns,Denver Nuggets,-5.0,-119,5.0,102,108,107,-11,11
10/26 10:33:58 am,Pinnacle,Phoenix Suns,Denver Nuggets,-5.0,-117,5.0,100,108,107,-11,11
10/26 10:32:51 am,Pinnacle,Phoenix Suns,Denver Nuggets,-5.0,-105,5.0,-111,108,107,-11,11
10/26 10:31:46 am,Pinnacle,Phoenix Suns,Denver Nuggets,-5.0,-116,5.0,-124,108,107,-11,11
10/26 10:30:39 am,Pinnacle,Phoenix Suns,Denver Nuggets,-6.0,-124,6.0,-116,108,107,-11,11
10/26 10:29:33 am,Pinnacle,Phoenix Suns,Denver Nuggets,-5.5,-116,5.5,-125,108,107,-11,11
10/26 10:28:27 am,Pinnacle,Phoenix Suns,Denver Nuggets,-4.0,-123,4.0,-107,108,107,-11,11
10/26 10:27:21 am,Pinnacle,Phoenix Suns,Denver Nuggets,-5.0,-118,5.0,-122,108,107,-11,11
10/26 10:26:15 am,Pinnacle,Phoenix Suns,Denver Nuggets,-6.5,-118,6.5,-122,108,107,-11,11
10/26 10:25:11 am,Pinnacle,Phoenix Suns,Denver Nuggets,-5.5,-117,5.5,-123,108,107,-11,11
10/26 10:23:00 am,Pinnacle,Phoenix Suns,Denver Nuggets,-4.5,-102,4.5,-108,108,107,-11,11
10/26 10:20:49 am,Pinnacle,Phoenix Suns,Denver Nuggets,-4.5,-105,4.5,-105,108,107,-11,11
10/26 10:18:37 am,Pinnacle,Phoenix Suns,Denver Nuggets,-4.5,-101,4.5,-109,108,107,-11,11
10/26 10:16:40 am,Pinnacle,Phoenix Suns,Denver Nuggets,-4.0,-113,4.0,102,108,107,-11,11
10/26 10:15:21 am,Pinnacle,Phoenix Suns,Denver Nuggets,-4.0,-108,4.0,-102,108,107,-11,11
10/26 10:24:05 am,Pinnacle,Phoenix Suns,Denver Nuggets,-5.0,-120,5.0,-120,108,107,-11,11
10/26 10:12:04 am,Pinnacle,Phoenix Suns,Denver Nuggets,-4.0,-107,4.0,-103,108,107,-11,11
10/26 10:11:00 am,Pinnacle,Phoenix Suns,Denver Nuggets,-4.0,-108,4.0,-102,108,107,-11,11
10/26 10:09:54 am,Pinnacle,Phoenix Suns,Denver Nuggets,-4.5,-100,4.5,-110,108,107,-11,11
10/26 10:08:50 am,Pinnacle,Phoenix Suns,Denver Nuggets,-4.0,-101,4.0,-109,108,107,-11,11
10/26 10:06:40 am,Pinnacle,Phoenix Suns,Denver Nuggets,-3.5,-118,3.5,-112,108,107,-11,11
10/26 10:05:34 am,Pinnacle,Phoenix Suns,Denver Nuggets,-2.0,-122,2.0,-109,108,107,-11,11
10/26 10:04:30 am,Pinnacle,Phoenix Suns,Denver Nuggets,-1.5,-109,1.5,-122,108,107,-11,11
10/26 10:03:09 am,Pinnacle,Phoenix Suns,Denver Nuggets,-2.5,-114,2.5,-116,108,107,-11,11
10/26 10:02:54 am,Pinnacle,Phoenix Suns,Denver Nuggets,-3.0,-119,3.0,-111,108,107,-11,11
10/26 10:02:48 am,Pinnacle,Phoenix Suns,Denver Nuggets,-3.0,-115,3.0,-115,108,107,-11,11
10/26 10:01:42 am,Pinnacle,Phoenix Suns,Denver Nuggets,-2.0,-114,2.0,-116,108,107,-11,11
10/26 9:59:30 am,Pinnacle,Phoenix Suns,Denver Nuggets,-2.5,-122,2.5,105,108,107,-11,11
10/26 9:58:27 am,Pinnacle,Phoenix Suns,Denver Nuggets,-2.5,-113,2.5,-117,108,107,-11,11
10/26 9:57:21 am,Pinnacle,Phoenix Suns,Denver Nuggets,-2.5,-117,2.5,-113,108,107,-11,11
10/26 9:56:16 am,Pinnacle,Phoenix Suns,Denver Nuggets,-2.0,-121,2.0,-109,108,107,-11,11
10/26 9:55:12 am,Pinnacle,Phoenix Suns,Denver Nuggets,-1.5,-117,1.5,-113,108,107,-11,11
10/26 9:54:07 am,Pinnacle,Phoenix Suns,Denver Nuggets,-2.0,-112,2.0,-118,108,107,-11,11
10/26 9:53:03 am,Pinnacle,Phoenix Suns,Denver Nuggets,-2.0,-114,2.0,-116,108,107,-11,11
10/26 9:51:59 am,Pinnacle,Phoenix Suns,Denver Nuggets,-1.5,-115,1.5,-115,108,107,-11,11
10/26 9:50:55 am,Pinnacle,Phoenix Suns,Denver Nuggets,-3.5,-116,3.5,-114,108,107,-11,11
10/26 9:49:50 am,Pinnacle,Phoenix Suns,Denver Nuggets,-3.5,-113,3.5,-103,108,107,-11,11
10/26 9:48:44 am,Pinnacle,Phoenix Suns,Denver Nuggets,-3.5,-117,3.5,100,108,107,-11,11
10/26 9:47:39 am,Pinnacle,Phoenix Suns,Denver Nuggets,-5.0,-113,5.0,-117,108,107,-11,11
10/26 9:46:33 am,Pinnacle,Phoenix Suns,Denver Nuggets,-5.5,-119,5.5,-111,108,107,-11,11
10/26 9:45:28 am,Pinnacle,Phoenix Suns,Denver Nuggets,-5.5,-113,5.5,-117,108,107,-11,11
10/26 9:44:22 am,Pinnacle,Phoenix Suns,Denver Nuggets,-7.0,-110,7.0,-120,108,107,-11,11
10/26 9:43:17 am,Pinnacle,Phoenix Suns,Denver Nuggets,-6.0,-114,6.0,-116,108,107,-11,11
10/26 9:42:13 am,Pinnacle,Phoenix Suns,Denver Nuggets,-6.5,-113,6.5,-117,108,107,-11,11
10/26 9:41:07 am,Pinnacle,Phoenix Suns,Denver Nuggets,-6.5,-118,6.5,-112,108,107,-11,11
10/26 9:38:59 am,Pinnacle,Phoenix Suns,Denver Nuggets,-7.5,100,7.5,-117,108,107,-11,11
10/26 9:37:54 am,Pinnacle,Phoenix Suns,Denver Nuggets,-7.5,-111,7.5,-105,108,107,-11,11
10/26 9:36:50 am,Pinnacle,Phoenix Suns,Denver Nuggets,-7.0,-117,7.0,-113,108,107,-11,11
10/26 9:35:45 am,Pinnacle,Phoenix Suns,Denver Nuggets,-8.5,-116,8.5,-114,108,107,-11,11
10/26 9:34:40 am,Pinnacle,Phoenix Suns,Denver Nuggets,-8.0,-110,8.0,-121,108,107,-11,11
10/26 9:33:34 am,Pinnacle,Phoenix Suns,Denver Nuggets,-7.5,-108,7.5,-123,108,107,-11,11
10/26 9:32:29 am,Pinnacle,Phoenix Suns,Denver Nuggets,-7.5,-115,7.5,-115,108,107,-11,11
10/26 9:30:04 am,Pinnacle,Phoenix Suns,Denver Nuggets,-9.5,-109,9.5,-107,108,107,-11,11
10/26 9:28:55 am,Pinnacle,Phoenix Suns,Denver Nuggets,-9.5,-118,9.5,-112,108,107,-11,11
10/26 9:27:40 am,Pinnacle,Phoenix Suns,Denver Nuggets,-11.5,-115,11.5,-115,108,107,-11,11
10/26 9:25:59 am,Pinnacle,Phoenix Suns,Denver Nuggets,-11.0,-115,11.0,-115,108,107,-11,11
