Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/8 11:19:01 am,Pinnacle,Phoenix Suns,Houston Rockets,-9.0,-126,9.0,108,115,109,-11.5,11.5
12/8 11:18:56 am,Pinnacle,Phoenix Suns,Houston Rockets,-9.0,-127,9.0,108,115,109,-11.5,11.5
12/8 11:18:29 am,Pinnacle,Phoenix Suns,Houston Rockets,-9.0,-126,9.0,108,115,109,-11.5,11.5
12/8 11:18:23 am,Pinnacle,Phoenix Suns,Houston Rockets,-9.0,-129,9.0,110,115,109,-11.5,11.5
12/8 11:18:22 am,Pinnacle,Phoenix Suns,Houston Rockets,-9.0,-127,9.0,109,115,109,-11.5,11.5
12/8 11:18:21 am,Pinnacle,Phoenix Suns,Houston Rockets,-9.0,-129,9.0,110,115,109,-11.5,11.5
12/8 11:18:19 am,Pinnacle,Phoenix Suns,Houston Rockets,-9.0,-127,9.0,109,115,109,-11.5,11.5
12/8 11:18:18 am,Pinnacle,Phoenix Suns,Houston Rockets,-9.0,-130,9.0,111,115,109,-11.5,11.5
12/8 11:18:13 am,Pinnacle,Phoenix Suns,Houston Rockets,-9.0,-125,9.0,107,115,109,-11.5,11.5
12/8 11:18:13 am,Pinnacle,Phoenix Suns,Houston Rockets,-9.0,-108,9.0,-108,115,109,-11.5,11.5
12/8 11:18:12 am,Pinnacle,Phoenix Suns,Houston Rockets,-9.0,-125,9.0,107,115,109,-11.5,11.5
12/8 11:18:07 am,Pinnacle,Phoenix Suns,Houston Rockets,-9.0,-108,9.0,-108,115,109,-11.5,11.5
12/8 11:08:54 am,Pinnacle,Phoenix Suns,Houston Rockets,-6.5,-124,6.5,106,115,109,-11.5,11.5
12/8 11:08:53 am,Pinnacle,Phoenix Suns,Houston Rockets,-6.5,-125,6.5,107,115,109,-11.5,11.5
12/8 11:08:53 am,Pinnacle,Phoenix Suns,Houston Rockets,-6.5,-124,6.5,106,115,109,-11.5,11.5
12/8 11:08:50 am,Pinnacle,Phoenix Suns,Houston Rockets,-6.5,-125,6.5,107,115,109,-11.5,11.5
12/8 11:08:49 am,Pinnacle,Phoenix Suns,Houston Rockets,-6.5,-117,6.5,100,115,109,-11.5,11.5
12/8 11:08:48 am,Pinnacle,Phoenix Suns,Houston Rockets,-6.5,-125,6.5,107,115,109,-11.5,11.5
12/8 11:08:25 am,Pinnacle,Phoenix Suns,Houston Rockets,-6.5,-117,6.5,100,115,109,-11.5,11.5
12/8 11:07:56 am,Pinnacle,Phoenix Suns,Houston Rockets,-6.5,-105,6.5,-111,115,109,-11.5,11.5
12/8 11:07:55 am,Pinnacle,Phoenix Suns,Houston Rockets,-6.0,-125,6.0,107,115,109,-11.5,11.5
12/8 11:07:54 am,Pinnacle,Phoenix Suns,Houston Rockets,-6.5,-105,6.5,-111,115,109,-11.5,11.5
12/8 11:07:33 am,Pinnacle,Phoenix Suns,Houston Rockets,-6.0,-125,6.0,107,115,109,-11.5,11.5
12/8 11:07:32 am,Pinnacle,Phoenix Suns,Houston Rockets,-6.0,-121,6.0,103,115,109,-11.5,11.5
12/8 11:07:23 am,Pinnacle,Phoenix Suns,Houston Rockets,-6.0,-120,6.0,103,115,109,-11.5,11.5
12/8 11:07:23 am,Pinnacle,Phoenix Suns,Houston Rockets,-6.0,-117,6.0,100,115,109,-11.5,11.5
12/8 11:07:22 am,Pinnacle,Phoenix Suns,Houston Rockets,-6.0,-120,6.0,103,115,109,-11.5,11.5
12/8 11:07:19 am,Pinnacle,Phoenix Suns,Houston Rockets,-6.0,-117,6.0,100,115,109,-11.5,11.5
