Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/27 9:37:39 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-4.5,-174,4.5,148,114,109,-2.5,2.5
1/27 9:37:33 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-4.5,-175,4.5,149,114,109,-2.5,2.5
1/27 9:37:27 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-4.5,-190,4.5,161,114,109,-2.5,2.5
1/27 9:37:21 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-4.5,-195,4.5,165,114,109,-2.5,2.5
1/27 9:36:27 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-4.5,-200,4.5,169,114,109,-2.5,2.5
1/27 9:18:49 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-4.0,-116,4.0,-101,114,109,-2.5,2.5
1/27 9:18:31 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-4.0,-114,4.0,-102,114,109,-2.5,2.5
1/27 9:18:16 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-4.0,-104,4.0,-112,114,109,-2.5,2.5
1/27 9:18:23 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-4.0,-101,4.0,-116,114,109,-2.5,2.5
1/27 9:11:58 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-5.0,-111,5.0,-119,114,109,-2.5,2.5
1/27 9:11:47 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-5.0,-109,5.0,-121,114,109,-2.5,2.5
1/27 9:11:28 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-3.5,-119,3.5,-111,114,109,-2.5,2.5
1/27 9:11:16 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-2.0,-110,2.0,-120,114,109,-2.5,2.5
1/27 9:11:14 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-2.0,-104,2.0,-113,114,109,-2.5,2.5
1/27 9:11:02 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-3.0,-112,3.0,-105,114,109,-2.5,2.5
1/27 9:10:52 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-2.5,-112,2.5,-105,114,109,-2.5,2.5
1/27 9:10:32 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-2.5,-115,2.5,-101,114,109,-2.5,2.5
1/27 9:09:26 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-2.0,-129,2.0,111,114,109,-2.5,2.5
1/27 9:09:04 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-2.0,-124,2.0,106,114,109,-2.5,2.5
1/27 9:08:46 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-2.0,-110,2.0,-106,114,109,-2.5,2.5
1/27 9:07:56 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-2.5,-115,2.5,-101,114,109,-2.5,2.5
1/27 9:07:31 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-2.5,-123,2.5,-108,114,109,-2.5,2.5
1/27 9:07:10 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-4.0,-113,4.0,-118,114,109,-2.5,2.5
1/27 9:06:58 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-4.5,-117,4.5,-113,114,109,-2.5,2.5
1/27 9:06:55 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-5.5,-123,5.5,-108,114,109,-2.5,2.5
1/27 9:06:41 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-4.5,-115,4.5,-115,114,109,-2.5,2.5
1/27 9:06:28 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-4.0,-118,4.0,-112,114,109,-2.5,2.5
1/27 9:06:08 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-4.0,-114,4.0,-116,114,109,-2.5,2.5
1/27 9:05:50 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-4.0,-114,4.0,-116,114,109,-2.5,2.5
1/27 9:05:32 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-3.0,-109,3.0,-121,114,109,-2.5,2.5
1/27 9:05:20 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-2.0,-121,2.0,-109,114,109,-2.5,2.5
1/27 9:05:16 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-1.0,-116,1.0,-114,114,109,-2.5,2.5
1/27 9:04:52 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-2.5,-110,2.5,-121,114,109,-2.5,2.5
1/27 9:04:49 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-2.5,-120,2.5,-110,114,109,-2.5,2.5
1/27 9:04:28 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-3.0,-110,3.0,-121,114,109,-2.5,2.5
1/27 9:03:58 am,Pinnacle,Phoenix Suns,Memphis Grizzlies,-3.0,-110,3.0,-120,114,109,-2.5,2.5
