Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/3 5:14:10 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-13.5,-105,13.5,-111,129,108,-13,13
2/3 5:14:02 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-13.5,-108,13.5,-108,129,108,-13,13
2/3 5:11:47 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-13.5,-111,13.5,-106,129,108,-13,13
2/3 5:06:37 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-18.5,-121,18.5,-109,129,108,-13,13
2/3 5:06:32 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-19.5,-108,19.5,-122,129,108,-13,13
2/3 5:06:29 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-19.5,101,19.5,-134,129,108,-13,13
2/3 5:06:26 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-19.5,-108,19.5,-122,129,108,-13,13
2/3 5:06:23 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-19.5,-108,19.5,-122,129,108,-13,13
2/3 5:06:19 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-18.5,-117,18.5,-113,129,108,-13,13
2/3 5:06:16 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-18.5,-117,18.5,-113,129,108,-13,13
2/3 5:06:07 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-17.5,-127,17.5,-104,129,108,-13,13
2/3 5:05:58 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-17.5,-112,17.5,-118,129,108,-13,13
2/3 5:05:56 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-17.0,-112,17.0,-118,129,108,-13,13
2/3 5:05:53 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-16.5,-126,16.5,-105,129,108,-13,13
2/3 5:05:31 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-16.5,-118,16.5,-112,129,108,-13,13
2/3 5:05:19 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.5,-111,15.5,-120,129,108,-13,13
2/3 5:05:16 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.5,-105,15.5,-111,129,108,-13,13
2/3 5:04:31 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.5,-108,15.5,-108,129,108,-13,13
2/3 5:03:10 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.5,-110,15.5,-106,129,108,-13,13
2/3 5:03:01 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.5,-107,15.5,-109,129,108,-13,13
2/3 5:02:19 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.5,-105,15.5,-111,129,108,-13,13
2/3 5:02:05 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.5,-111,15.5,-119,129,108,-13,13
2/3 5:01:55 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.5,-112,15.5,-118,129,108,-13,13
2/3 5:01:43 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-14.5,-131,14.5,-101,129,108,-13,13
2/3 5:01:40 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-14.5,-121,14.5,-110,129,108,-13,13
2/3 5:01:31 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.5,-107,15.5,-124,129,108,-13,13
2/3 5:01:25 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.5,-115,15.5,-115,129,108,-13,13
2/3 5:01:23 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-14.5,-122,14.5,-109,129,108,-13,13
2/3 5:01:07 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.5,-117,15.5,-113,129,108,-13,13
2/3 5:01:02 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.0,-123,15.0,-107,129,108,-13,13
2/3 5:00:40 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.5,-109,15.5,-121,129,108,-13,13
2/3 5:00:38 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.0,-123,15.0,-108,129,108,-13,13
2/3 5:00:31 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.0,-125,15.0,-106,129,108,-13,13
2/3 5:00:19 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.0,-118,15.0,-112,129,108,-13,13
2/3 4:59:58 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-16.0,-114,16.0,-116,129,108,-13,13
2/3 4:59:55 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-16.0,-108,16.0,-122,129,108,-13,13
2/3 4:59:53 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-16.0,-116,16.0,-114,129,108,-13,13
2/3 4:59:46 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.0,-112,15.0,-118,129,108,-13,13
2/3 4:59:26 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.0,-121,15.0,-109,129,108,-13,13
2/3 4:59:19 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.0,-122,15.0,-109,129,108,-13,13
2/3 4:58:55 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.0,-122,15.0,-108,129,108,-13,13
2/3 4:58:49 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-16.0,-118,16.0,-112,129,108,-13,13
2/3 4:58:43 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.0,-123,15.0,-108,129,108,-13,13
2/3 4:58:37 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-16.0,-118,16.0,-112,129,108,-13,13
2/3 4:58:34 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.0,-123,15.0,-107,129,108,-13,13
2/3 4:58:28 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.0,-124,15.0,-107,129,108,-13,13
2/3 4:58:22 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.5,-111,15.5,-119,129,108,-13,13
2/3 4:58:18 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.5,-106,15.5,-125,129,108,-13,13
2/3 4:58:16 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.0,-108,15.0,-122,129,108,-13,13
2/3 4:57:59 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.0,-109,15.0,-121,129,108,-13,13
2/3 4:57:56 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-17.0,-114,17.0,-116,129,108,-13,13
2/3 4:57:53 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-17.0,-113,17.0,-117,129,108,-13,13
2/3 4:57:37 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-17.0,-114,17.0,-116,129,108,-13,13
2/3 4:57:26 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-16.5,-119,16.5,-111,129,108,-13,13
2/3 4:57:10 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-16.5,-119,16.5,-111,129,108,-13,13
2/3 4:57:04 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-16.5,-110,16.5,-120,129,108,-13,13
2/3 4:56:47 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-16.0,-122,16.0,-108,129,108,-13,13
2/3 4:56:31 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-16.0,-122,16.0,-108,129,108,-13,13
2/3 4:56:22 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-17.0,-109,17.0,-121,129,108,-13,13
2/3 4:56:10 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-17.0,-109,17.0,-121,129,108,-13,13
2/3 4:56:07 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.5,-110,15.5,-120,129,108,-13,13
2/3 4:55:43 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-17.0,-109,17.0,-121,129,108,-13,13
2/3 4:55:38 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-16.5,-108,16.5,-122,129,108,-13,13
2/3 4:55:32 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.5,-111,15.5,-119,129,108,-13,13
2/3 4:55:25 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.5,-118,15.5,-112,129,108,-13,13
2/3 4:55:22 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-15.5,-120,15.5,-111,129,108,-13,13
2/3 4:55:16 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-17.0,-111,17.0,-119,129,108,-13,13
2/3 4:55:05 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-17.0,-120,17.0,-111,129,108,-13,13
2/3 4:54:53 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-16.5,-119,16.5,-111,129,108,-13,13
2/3 4:54:46 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-17.0,-121,17.0,-110,129,108,-13,13
2/3 4:54:40 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-18.0,-121,18.0,-109,129,108,-13,13
2/3 4:54:34 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-18.0,-121,18.0,-109,129,108,-13,13
2/3 4:54:20 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-19.0,-109,19.0,-121,129,108,-13,13
2/3 4:54:16 am,Pinnacle,Phoenix Suns,Milwaukee Bucks,-17.5,-115,17.5,-115,129,108,-13,13
