Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/24 8:09:19 am,Pinnacle,Phoenix Suns,Minnesota Timberwolves,3.0,-110,-3.0,-106,98,100,-5,5
11/24 8:09:16 am,Pinnacle,Phoenix Suns,Minnesota Timberwolves,3.0,-108,-3.0,-108,98,100,-5,5
11/24 8:09:07 am,Pinnacle,Phoenix Suns,Minnesota Timberwolves,3.0,-110,-3.0,-106,98,100,-5,5
11/24 8:09:01 am,Pinnacle,Phoenix Suns,Minnesota Timberwolves,3.0,-108,-3.0,-108,98,100,-5,5
11/24 8:06:13 am,Pinnacle,Phoenix Suns,Minnesota Timberwolves,3.5,-116,-3.5,-100,98,100,-5,5
11/24 8:04:19 am,Pinnacle,Phoenix Suns,Minnesota Timberwolves,3.5,-113,-3.5,-103,98,100,-5,5
11/24 8:03:47 am,Pinnacle,Phoenix Suns,Minnesota Timberwolves,3.5,-113,-3.5,-117,98,100,-5,5
11/24 8:03:41 am,Pinnacle,Phoenix Suns,Minnesota Timberwolves,3.5,-121,-3.5,-110,98,100,-5,5
11/24 8:03:34 am,Pinnacle,Phoenix Suns,Minnesota Timberwolves,4.0,-111,-4.0,-119,98,100,-5,5
11/24 8:03:19 am,Pinnacle,Phoenix Suns,Minnesota Timberwolves,4.0,-117,-4.0,-113,98,100,-5,5
11/24 8:03:17 am,Pinnacle,Phoenix Suns,Minnesota Timberwolves,4.5,-125,-4.5,-105,98,100,-5,5
11/24 8:03:02 am,Pinnacle,Phoenix Suns,Minnesota Timberwolves,3.5,-125,-3.5,-105,98,100,-5,5
11/24 8:02:37 am,Pinnacle,Phoenix Suns,Minnesota Timberwolves,4.0,-115,-4.0,-115,98,100,-5,5
11/24 8:02:34 am,Pinnacle,Phoenix Suns,Minnesota Timberwolves,4.0,-122,-4.0,-108,98,100,-5,5
11/24 8:02:16 am,Pinnacle,Phoenix Suns,Minnesota Timberwolves,5.0,-114,-5.0,-116,98,100,-5,5
11/24 8:02:10 am,Pinnacle,Phoenix Suns,Minnesota Timberwolves,5.0,-123,-5.0,-107,98,100,-5,5
11/24 8:01:58 am,Pinnacle,Phoenix Suns,Minnesota Timberwolves,4.5,-111,-4.5,-119,98,100,-5,5
11/24 8:00:49 am,Pinnacle,Phoenix Suns,Minnesota Timberwolves,4.5,-107,-4.5,-124,98,100,-5,5
