Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/6 11:29:20 am,Pinnacle,Phoenix Suns,New Orleans Pelicans,-2.5,116,2.5,-136,132,139,-4,4
12/6 11:27:40 am,Pinnacle,Phoenix Suns,New Orleans Pelicans,-2.5,-101,2.5,-116,132,139,-4,4
12/6 11:26:00 am,Pinnacle,Phoenix Suns,New Orleans Pelicans,0.0,-230,0.0,193,132,139,-4,4
12/6 11:24:13 am,Pinnacle,Phoenix Suns,New Orleans Pelicans,0.0,118,0.0,-138,132,139,-4,4
12/6 11:23:55 am,Pinnacle,Phoenix Suns,New Orleans Pelicans,0.0,121,0.0,-141,132,139,-4,4
12/6 11:15:35 am,Pinnacle,Phoenix Suns,New Orleans Pelicans,5.5,-112,-5.5,-104,132,139,-4,4
12/6 11:10:06 am,Pinnacle,Phoenix Suns,New Orleans Pelicans,5.5,-102,-5.5,-115,132,139,-4,4
12/6 11:05:05 am,Pinnacle,Phoenix Suns,New Orleans Pelicans,7.0,-119,-7.0,-111,132,139,-4,4
12/6 11:03:26 am,Pinnacle,Phoenix Suns,New Orleans Pelicans,8.5,-142,-8.5,107,132,139,-4,4
12/6 11:01:45 am,Pinnacle,Phoenix Suns,New Orleans Pelicans,6.5,104,-6.5,-139,132,139,-4,4
12/6 10:59:39 am,Pinnacle,Phoenix Suns,New Orleans Pelicans,8.5,-120,-8.5,103,132,139,-4,4
12/6 10:59:27 am,Pinnacle,Phoenix Suns,New Orleans Pelicans,8.5,-116,-8.5,-101,132,139,-4,4
12/6 10:59:14 am,Pinnacle,Phoenix Suns,New Orleans Pelicans,8.5,-115,-8.5,-101,132,139,-4,4
12/6 10:58:34 am,Pinnacle,Phoenix Suns,New Orleans Pelicans,8.5,-110,-8.5,-106,132,139,-4,4
12/6 10:58:15 am,Pinnacle,Phoenix Suns,New Orleans Pelicans,9.0,-132,-9.0,100,132,139,-4,4
12/6 10:58:09 am,Pinnacle,Phoenix Suns,New Orleans Pelicans,9.0,-134,-9.0,102,132,139,-4,4
