Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/17 10:35:40 am,Pinnacle,Phoenix Suns,New York Knicks,13.5,-116,-13.5,-114,98,121,2,-2
1/17 10:35:38 am,Pinnacle,Phoenix Suns,New York Knicks,13.5,-113,-13.5,-117,98,121,2,-2
1/17 10:35:29 am,Pinnacle,Phoenix Suns,New York Knicks,13.5,-116,-13.5,-114,98,121,2,-2
1/17 10:35:19 am,Pinnacle,Phoenix Suns,New York Knicks,13.0,-119,-13.0,-111,98,121,2,-2
1/17 10:32:10 am,Pinnacle,Phoenix Suns,New York Knicks,12.5,-106,-12.5,-110,98,121,2,-2
1/17 10:32:07 am,Pinnacle,Phoenix Suns,New York Knicks,12.5,-108,-12.5,-108,98,121,2,-2
1/17 10:31:52 am,Pinnacle,Phoenix Suns,New York Knicks,12.5,-111,-12.5,-106,98,121,2,-2
1/17 10:31:43 am,Pinnacle,Phoenix Suns,New York Knicks,12.5,-112,-12.5,-104,98,121,2,-2
1/17 10:31:28 am,Pinnacle,Phoenix Suns,New York Knicks,12.5,-116,-12.5,-100,98,121,2,-2
1/17 10:31:13 am,Pinnacle,Phoenix Suns,New York Knicks,13.0,-112,-13.0,-104,98,121,2,-2
1/17 10:31:04 am,Pinnacle,Phoenix Suns,New York Knicks,13.0,-119,-13.0,-111,98,121,2,-2
1/17 10:30:55 am,Pinnacle,Phoenix Suns,New York Knicks,13.0,-119,-13.0,-111,98,121,2,-2
1/17 10:30:52 am,Pinnacle,Phoenix Suns,New York Knicks,12.5,-119,-12.5,-111,98,121,2,-2
1/17 10:30:49 am,Pinnacle,Phoenix Suns,New York Knicks,12.5,-111,-12.5,-119,98,121,2,-2
1/17 10:30:46 am,Pinnacle,Phoenix Suns,New York Knicks,11.5,-113,-11.5,-117,98,121,2,-2
1/17 10:30:40 am,Pinnacle,Phoenix Suns,New York Knicks,11.5,-106,-11.5,-125,98,121,2,-2
1/17 10:30:31 am,Pinnacle,Phoenix Suns,New York Knicks,12.5,-107,-12.5,-124,98,121,2,-2
1/17 10:30:19 am,Pinnacle,Phoenix Suns,New York Knicks,12.5,-112,-12.5,-118,98,121,2,-2
1/17 10:30:13 am,Pinnacle,Phoenix Suns,New York Knicks,13.0,-110,-13.0,-120,98,121,2,-2
1/17 10:30:09 am,Pinnacle,Phoenix Suns,New York Knicks,13.0,-110,-13.0,-120,98,121,2,-2
1/17 10:30:04 am,Pinnacle,Phoenix Suns,New York Knicks,13.0,-111,-13.0,-120,98,121,2,-2
1/17 10:29:43 am,Pinnacle,Phoenix Suns,New York Knicks,13.0,-111,-13.0,-119,98,121,2,-2
1/17 10:29:40 am,Pinnacle,Phoenix Suns,New York Knicks,13.0,-105,-13.0,-111,98,121,2,-2
1/17 10:29:05 am,Pinnacle,Phoenix Suns,New York Knicks,13.5,-106,-13.5,-110,98,121,2,-2
1/17 10:27:40 am,Pinnacle,Phoenix Suns,New York Knicks,13.5,-110,-13.5,-106,98,121,2,-2
1/17 10:26:37 am,Pinnacle,Phoenix Suns,New York Knicks,13.0,-105,-13.0,-111,98,121,2,-2
1/17 10:26:28 am,Pinnacle,Phoenix Suns,New York Knicks,13.0,-111,-13.0,-119,98,121,2,-2
1/17 10:26:25 am,Pinnacle,Phoenix Suns,New York Knicks,11.5,-108,-11.5,-122,98,121,2,-2
1/17 10:26:04 am,Pinnacle,Phoenix Suns,New York Knicks,11.5,-109,-11.5,-121,98,121,2,-2
1/17 10:25:58 am,Pinnacle,Phoenix Suns,New York Knicks,11.5,-110,-11.5,-121,98,121,2,-2
1/17 10:25:52 am,Pinnacle,Phoenix Suns,New York Knicks,10.5,-105,-10.5,-126,98,121,2,-2
1/17 10:27:14 am,Pinnacle,Phoenix Suns,New York Knicks,13.5,-114,-13.5,-102,98,121,2,-2
1/17 10:25:37 am,Pinnacle,Phoenix Suns,New York Knicks,10.5,-111,-10.5,-119,98,121,2,-2
1/17 10:25:13 am,Pinnacle,Phoenix Suns,New York Knicks,10.0,-110,-10.0,-120,98,121,2,-2
1/17 10:25:11 am,Pinnacle,Phoenix Suns,New York Knicks,9.0,-110,-9.0,-120,98,121,2,-2
1/17 10:25:07 am,Pinnacle,Phoenix Suns,New York Knicks,9.0,-101,-9.0,-131,98,121,2,-2
1/17 10:25:06 am,Pinnacle,Phoenix Suns,New York Knicks,9.0,-109,-9.0,-122,98,121,2,-2
1/17 10:25:05 am,Pinnacle,Phoenix Suns,New York Knicks,9.0,-101,-9.0,-131,98,121,2,-2
1/17 10:24:52 am,Pinnacle,Phoenix Suns,New York Knicks,9.0,-109,-9.0,-122,98,121,2,-2
1/17 10:24:40 am,Pinnacle,Phoenix Suns,New York Knicks,10.5,-123,-10.5,-108,98,121,2,-2
1/17 10:24:34 am,Pinnacle,Phoenix Suns,New York Knicks,10.5,-120,-10.5,-110,98,121,2,-2
1/17 10:24:31 am,Pinnacle,Phoenix Suns,New York Knicks,10.5,-122,-10.5,-108,98,121,2,-2
1/17 10:24:20 am,Pinnacle,Phoenix Suns,New York Knicks,10.5,-120,-10.5,-110,98,121,2,-2
1/17 10:24:13 am,Pinnacle,Phoenix Suns,New York Knicks,11.0,-125,-11.0,-106,98,121,2,-2
