Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/21 11:16:28 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-16.0,-110,16.0,-106,126,108,-3,3
12/21 11:16:11 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-16.0,-111,16.0,-105,126,108,-3,3
12/21 11:15:43 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-16.0,-106,16.0,-110,126,108,-3,3
12/21 11:11:35 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-16.0,-108,16.0,-123,126,108,-3,3
12/21 11:11:25 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-16.0,-105,16.0,-127,126,108,-3,3
12/21 11:11:20 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-16.5,-116,16.5,-114,126,108,-3,3
12/21 11:11:07 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-17.5,-121,17.5,-110,126,108,-3,3
12/21 11:10:43 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-16.5,-115,16.5,-115,126,108,-3,3
12/21 11:10:40 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-16.5,-121,16.5,-109,126,108,-3,3
12/21 11:10:38 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-16.5,-115,16.5,-115,126,108,-3,3
12/21 11:10:35 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-17.5,-106,17.5,-125,126,108,-3,3
12/21 11:10:31 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-17.5,-111,17.5,-119,126,108,-3,3
12/21 11:10:25 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-17.5,-117,17.5,-113,126,108,-3,3
12/21 11:10:58 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-17.5,-121,17.5,-109,126,108,-3,3
12/21 11:10:16 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-16.5,-115,16.5,-115,126,108,-3,3
12/21 11:09:58 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-16.5,-112,16.5,-119,126,108,-3,3
12/21 11:09:52 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-16.5,-112,16.5,-118,126,108,-3,3
12/21 11:09:40 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-14.5,-124,14.5,-107,126,108,-3,3
12/21 11:09:34 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-13.5,-120,13.5,-110,126,108,-3,3
12/21 11:09:28 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-14.5,-124,14.5,-107,126,108,-3,3
12/21 11:08:16 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-14.5,-111,14.5,-105,126,108,-3,3
12/21 11:06:48 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-14.5,-113,14.5,-103,126,108,-3,3
12/21 11:06:31 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-14.5,-122,14.5,-108,126,108,-3,3
12/21 11:06:28 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-13.5,-120,13.5,-110,126,108,-3,3
12/21 11:06:22 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-13.5,-124,13.5,-107,126,108,-3,3
12/21 11:06:13 am,Pinnacle,Phoenix Suns,Oklahoma City Thunder,-13.5,-120,13.5,-111,126,108,-3,3
