Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/31 1:12:53 pm,Pinnacle,Phoenix Suns,Portland Trail Blazers,5.5,-108,-5.5,-108,116,122,-4,4
12/31 1:06:26 pm,Pinnacle,Phoenix Suns,Portland Trail Blazers,-2.0,-142,2.0,121,116,122,-4,4
12/31 1:06:20 pm,Pinnacle,Phoenix Suns,Portland Trail Blazers,-2.0,-140,2.0,120,116,122,-4,4
12/31 1:05:47 pm,Pinnacle,Phoenix Suns,Portland Trail Blazers,-2.0,-139,2.0,119,116,122,-4,4
12/31 1:05:41 pm,Pinnacle,Phoenix Suns,Portland Trail Blazers,-2.0,-132,2.0,113,116,122,-4,4
12/31 1:05:35 pm,Pinnacle,Phoenix Suns,Portland Trail Blazers,-2.0,-119,2.0,102,116,122,-4,4
12/31 1:02:51 pm,Pinnacle,Phoenix Suns,Portland Trail Blazers,-3.0,-144,3.0,123,116,122,-4,4
12/31 1:01:48 pm,Pinnacle,Phoenix Suns,Portland Trail Blazers,-3.0,-139,3.0,119,116,122,-4,4
12/31 1:01:14 pm,Pinnacle,Phoenix Suns,Portland Trail Blazers,-3.0,-143,3.0,122,116,122,-4,4
12/31 1:01:08 pm,Pinnacle,Phoenix Suns,Portland Trail Blazers,-3.0,-138,3.0,118,116,122,-4,4
12/31 1:01:00 pm,Pinnacle,Phoenix Suns,Portland Trail Blazers,-3.0,-130,3.0,111,116,122,-4,4
12/31 1:00:53 pm,Pinnacle,Phoenix Suns,Portland Trail Blazers,-3.0,-115,3.0,-101,116,122,-4,4
12/31 12:59:15 pm,Pinnacle,Phoenix Suns,Portland Trail Blazers,-3.0,-134,3.0,101,116,122,-4,4
12/31 12:59:12 pm,Pinnacle,Phoenix Suns,Portland Trail Blazers,-3.0,-124,3.0,-107,116,122,-4,4
12/31 12:59:09 pm,Pinnacle,Phoenix Suns,Portland Trail Blazers,-3.0,-122,3.0,-108,116,122,-4,4
12/31 12:59:05 pm,Pinnacle,Phoenix Suns,Portland Trail Blazers,-3.5,-126,3.5,-105,116,122,-4,4
