Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/20 1:17:07 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-9.0,-142,9.0,122,120,116,-3,3
11/20 1:17:04 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-9.0,-133,9.0,114,120,116,-3,3
11/20 1:16:55 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-9.0,-136,9.0,116,120,116,-3,3
11/20 1:16:47 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-9.0,-132,9.0,113,120,116,-3,3
11/20 1:16:37 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-9.0,-136,9.0,116,120,116,-3,3
11/20 1:16:34 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-9.0,-131,9.0,112,120,116,-3,3
11/20 1:16:31 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-9.0,-119,9.0,102,120,116,-3,3
11/20 1:16:22 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-9.0,-108,9.0,-108,120,116,-3,3
11/20 1:10:58 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-11.5,-117,11.5,-100,120,116,-3,3
11/20 1:10:43 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-11.5,-101,11.5,-116,120,116,-3,3
11/20 1:04:22 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-15.0,-110,15.0,-120,120,116,-3,3
11/20 1:04:19 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-14.0,-111,14.0,-119,120,116,-3,3
11/20 1:03:57 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-14.0,119,14.0,-139,120,116,-3,3
11/20 1:02:37 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-14.0,122,14.0,-143,120,116,-3,3
11/20 1:02:13 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-14.0,123,14.0,-144,120,116,-3,3
11/20 1:02:10 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-14.0,118,14.0,-137,120,116,-3,3
11/20 1:02:07 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-14.0,104,14.0,-122,120,116,-3,3
11/20 1:02:01 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-14.0,102,14.0,-119,120,116,-3,3
11/20 1:01:52 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-14.0,-101,14.0,-115,120,116,-3,3
11/20 1:01:12 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-13.0,-120,13.0,-110,120,116,-3,3
11/20 1:01:01 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-12.0,-117,12.0,-113,120,116,-3,3
11/20 1:00:49 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-11.5,-110,11.5,-121,120,116,-3,3
11/20 1:00:46 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-10.5,-111,10.5,-120,120,116,-3,3
11/20 1:00:43 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-11.5,-105,11.5,-126,120,116,-3,3
11/20 1:00:32 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-11.5,-117,11.5,-113,120,116,-3,3
11/20 1:00:10 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-12.0,-105,12.0,-125,120,116,-3,3
11/20 1:00:07 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-12.0,-107,12.0,-124,120,116,-3,3
11/20 1:00:04 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-12.0,-108,12.0,-123,120,116,-3,3
11/20 1:00:01 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-12.0,-116,12.0,-114,120,116,-3,3
11/20 12:59:55 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-12.0,-117,12.0,-113,120,116,-3,3
11/20 12:59:52 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-13.0,114,13.0,-151,120,116,-3,3
11/20 12:59:49 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-13.0,113,13.0,-150,120,116,-3,3
11/20 12:59:46 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-13.0,-112,13.0,-118,120,116,-3,3
11/20 12:59:37 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-13.0,-115,13.0,-115,120,116,-3,3
11/20 12:59:34 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-12.5,-114,12.5,-116,120,116,-3,3
11/20 12:59:25 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-12.0,-114,12.0,-116,120,116,-3,3
11/20 12:58:55 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-12.0,118,12.0,-157,120,116,-3,3
11/20 12:58:52 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-12.0,-106,12.0,-125,120,116,-3,3
11/20 12:58:49 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-12.0,-112,12.0,-118,120,116,-3,3
11/20 12:58:46 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-12.0,-116,12.0,-114,120,116,-3,3
11/20 12:58:43 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-12.0,-108,12.0,-123,120,116,-3,3
11/20 12:58:37 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-12.0,-110,12.0,-120,120,116,-3,3
11/20 12:58:32 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-12.0,-114,12.0,-116,120,116,-3,3
11/20 12:58:28 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-11.5,-105,11.5,-126,120,116,-3,3
11/20 12:58:22 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-11.5,-107,11.5,-124,120,116,-3,3
11/20 12:58:13 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-11.5,-108,11.5,-122,120,116,-3,3
11/20 12:58:10 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-11.0,-108,11.0,-122,120,116,-3,3
11/20 12:58:04 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-10.5,-108,10.5,-122,120,116,-3,3
11/20 12:57:55 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-10.0,-121,10.0,104,120,116,-3,3
11/20 12:57:28 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-10.0,-111,10.0,-105,120,116,-3,3
11/20 12:57:25 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-10.0,-117,10.0,100,120,116,-3,3
11/20 12:56:43 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-10.0,-115,10.0,-102,120,116,-3,3
11/20 12:55:37 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-10.0,-106,10.0,-110,120,116,-3,3
11/20 12:55:07 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-10.0,-114,10.0,-116,120,116,-3,3
11/20 12:55:00 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-10.0,-115,10.0,-115,120,116,-3,3
11/20 12:54:58 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-11.0,-111,11.0,-119,120,116,-3,3
11/20 12:54:55 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-11.0,-112,11.0,-118,120,116,-3,3
11/20 12:54:52 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-11.0,-113,11.0,-117,120,116,-3,3
11/20 12:54:40 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-10.0,-115,10.0,-115,120,116,-3,3
11/20 12:54:34 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-10.0,-113,10.0,-117,120,116,-3,3
11/20 12:54:31 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-10.0,-111,10.0,-119,120,116,-3,3
11/20 12:54:28 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-10.0,-113,10.0,-117,120,116,-3,3
11/20 12:54:22 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-8.5,-111,8.5,-119,120,116,-3,3
11/20 12:54:19 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-8.0,-117,8.0,-113,120,116,-3,3
11/20 12:54:13 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-7.5,-117,7.5,-113,120,116,-3,3
11/20 12:53:49 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-7.5,-118,7.5,-112,120,116,-3,3
11/20 12:53:46 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-8.5,-107,8.5,-123,120,116,-3,3
11/20 12:53:43 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-8.5,-109,8.5,-121,120,116,-3,3
11/20 12:53:37 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-8.5,-113,8.5,-117,120,116,-3,3
11/20 12:53:25 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-9.0,-118,9.0,-112,120,116,-3,3
11/20 12:53:22 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-10.0,-113,10.0,-117,120,116,-3,3
11/20 12:53:20 pm,Pinnacle,Phoenix Suns,Sacramento Kings,-10.0,-117,10.0,-113,120,116,-3,3
