Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/1 10:53:25 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-11.5,-121,11.5,-103,129,117,-2.5,2.5
3/1 10:53:09 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-12.5,107,12.5,-134,129,117,-2.5,2.5
3/1 10:53:02 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-13.5,-121,13.5,-103,129,117,-2.5,2.5
3/1 10:51:55 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-13.5,-139,13.5,110,129,117,-2.5,2.5
3/1 10:51:35 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-15.5,104,15.5,-129,129,117,-2.5,2.5
3/1 10:51:02 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-15.5,-118,15.5,-105,129,117,-2.5,2.5
3/1 10:50:31 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-14.5,-115,14.5,-108,129,117,-2.5,2.5
3/1 10:50:15 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-13.5,-117,13.5,-106,129,117,-2.5,2.5
3/1 10:48:51 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-14.5,104,14.5,-129,129,117,-2.5,2.5
3/1 10:48:16 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-14.5,-118,14.5,-105,129,117,-2.5,2.5
3/1 10:47:40 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-14.5,-115,14.5,-108,129,117,-2.5,2.5
3/1 10:47:21 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-11.5,-118,11.5,-105,129,117,-2.5,2.5
3/1 10:46:54 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-10.5,107,10.5,-135,129,117,-2.5,2.5
3/1 10:46:11 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-11.5,-118,11.5,-105,129,117,-2.5,2.5
3/1 10:45:58 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-10.5,-118,10.5,-105,129,117,-2.5,2.5
3/1 10:45:31 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-9.5,-130,9.5,104,129,117,-2.5,2.5
3/1 10:45:13 am,Pinnacle,Portland Trail Blazers,Atlanta Hawks,-11.0,-117,11.0,100,129,117,-2.5,2.5
3/1 10:45:06 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-11.5,-115,11.5,-108,129,117,-2.5,2.5
3/1 10:45:00 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-11.5,-105,11.5,-118,129,117,-2.5,2.5
3/1 10:44:58 am,Pinnacle,Portland Trail Blazers,Atlanta Hawks,-11.5,-101,11.5,-115,129,117,-2.5,2.5
3/1 10:44:49 am,Pinnacle,Portland Trail Blazers,Atlanta Hawks,-11.5,-104,11.5,-113,129,117,-2.5,2.5
3/1 10:44:28 am,Pinnacle,Portland Trail Blazers,Atlanta Hawks,-11.5,-106,11.5,-110,129,117,-2.5,2.5
3/1 10:44:01 am,Pinnacle,Portland Trail Blazers,Atlanta Hawks,-11.5,-108,11.5,-108,129,117,-2.5,2.5
3/1 10:43:43 am,Pinnacle,Portland Trail Blazers,Atlanta Hawks,-11.5,-110,11.5,-106,129,117,-2.5,2.5
3/1 10:43:16 am,Pinnacle,Portland Trail Blazers,Atlanta Hawks,-11.5,-114,11.5,-102,129,117,-2.5,2.5
3/1 10:42:12 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-10.5,-118,10.5,-105,129,117,-2.5,2.5
3/1 10:42:10 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-11.5,-112,11.5,-112,129,117,-2.5,2.5
3/1 10:41:32 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-13.5,101,13.5,-126,129,117,-2.5,2.5
3/1 10:41:13 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-12.5,-105,12.5,-118,129,117,-2.5,2.5
3/1 10:40:56 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-12.5,-112,12.5,-112,129,117,-2.5,2.5
3/1 10:40:40 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-13.5,-126,13.5,101,129,117,-2.5,2.5
3/1 10:40:24 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-14.5,-126,14.5,101,129,117,-2.5,2.5
3/1 10:40:00 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-14.5,101,14.5,-126,129,117,-2.5,2.5
3/1 10:39:54 am,RedZone,Portland Trail Blazers,Atlanta Hawks,-14.5,-105,14.5,-118,129,117,-2.5,2.5
