Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/18 12:48:30 pm,Pinnacle,Portland Trail Blazers,Dallas Mavericks,-6.0,-141,6.0,106,120,112,-8,8
1/18 12:48:26 pm,Pinnacle,Portland Trail Blazers,Dallas Mavericks,-6.0,-116,6.0,-114,120,112,-8,8
1/18 12:48:11 pm,Pinnacle,Portland Trail Blazers,Dallas Mavericks,-6.0,-119,6.0,-111,120,112,-8,8
1/18 12:47:54 pm,Pinnacle,Portland Trail Blazers,Dallas Mavericks,-6.0,-115,6.0,-115,120,112,-8,8
1/18 12:47:48 pm,Pinnacle,Portland Trail Blazers,Dallas Mavericks,-6.5,-115,6.5,-115,120,112,-8,8
1/18 12:47:33 pm,Pinnacle,Portland Trail Blazers,Dallas Mavericks,-6.5,-115,6.5,-115,120,112,-8,8
1/18 12:47:23 pm,Pinnacle,Portland Trail Blazers,Dallas Mavericks,-6.0,-130,6.0,-102,120,112,-8,8
1/18 12:47:17 pm,Pinnacle,Portland Trail Blazers,Dallas Mavericks,-6.0,-123,6.0,-108,120,112,-8,8
1/18 12:47:08 pm,Pinnacle,Portland Trail Blazers,Dallas Mavericks,-6.0,-118,6.0,-112,120,112,-8,8
1/18 12:47:06 pm,Pinnacle,Portland Trail Blazers,Dallas Mavericks,-6.0,-127,6.0,-104,120,112,-8,8
1/18 12:46:41 pm,Pinnacle,Portland Trail Blazers,Dallas Mavericks,-6.0,-120,6.0,-110,120,112,-8,8
1/18 12:46:38 pm,Pinnacle,Portland Trail Blazers,Dallas Mavericks,-6.0,-131,6.0,-101,120,112,-8,8
1/18 12:46:36 pm,Pinnacle,Portland Trail Blazers,Dallas Mavericks,-6.0,-124,6.0,-107,120,112,-8,8
1/18 12:46:26 pm,Pinnacle,Portland Trail Blazers,Dallas Mavericks,-6.0,-121,6.0,-109,120,112,-8,8
