Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/5 1:45:14 pm,Pinnacle,Portland Trail Blazers,Golden State Warriors,-8.5,127,8.5,-149,127,118,11.5,-11.5
11/5 1:45:10 pm,Pinnacle,Portland Trail Blazers,Golden State Warriors,-8.5,128,8.5,-150,127,118,11.5,-11.5
11/5 1:45:08 pm,Pinnacle,Portland Trail Blazers,Golden State Warriors,-8.5,130,8.5,-153,127,118,11.5,-11.5
11/5 1:45:04 pm,Pinnacle,Portland Trail Blazers,Golden State Warriors,-8.5,139,8.5,-164,127,118,11.5,-11.5
11/5 1:44:59 pm,Pinnacle,Portland Trail Blazers,Golden State Warriors,-8.5,139,8.5,-163,127,118,11.5,-11.5
11/5 1:44:55 pm,Pinnacle,Portland Trail Blazers,Golden State Warriors,-8.5,136,8.5,-160,127,118,11.5,-11.5
11/5 1:44:52 pm,Pinnacle,Portland Trail Blazers,Golden State Warriors,-8.5,130,8.5,-152,127,118,11.5,-11.5
11/5 1:44:43 pm,Pinnacle,Portland Trail Blazers,Golden State Warriors,-8.5,141,8.5,-165,127,118,11.5,-11.5
11/5 1:44:38 pm,Pinnacle,Portland Trail Blazers,Golden State Warriors,-8.5,132,8.5,-155,127,118,11.5,-11.5
11/5 1:44:31 pm,Pinnacle,Portland Trail Blazers,Golden State Warriors,-8.5,136,8.5,-160,127,118,11.5,-11.5
11/5 1:44:23 pm,Pinnacle,Portland Trail Blazers,Golden State Warriors,-8.5,129,8.5,-151,127,118,11.5,-11.5
11/5 1:44:17 pm,Pinnacle,Portland Trail Blazers,Golden State Warriors,-8.5,117,8.5,-137,127,118,11.5,-11.5
11/5 1:40:28 pm,Pinnacle,Portland Trail Blazers,Golden State Warriors,-6.5,112,6.5,-130,127,118,11.5,-11.5
11/5 1:40:23 pm,Pinnacle,Portland Trail Blazers,Golden State Warriors,-6.5,116,6.5,-135,127,118,11.5,-11.5
11/5 1:40:19 pm,Pinnacle,Portland Trail Blazers,Golden State Warriors,-6.5,113,6.5,-132,127,118,11.5,-11.5
11/5 1:40:17 pm,Pinnacle,Portland Trail Blazers,Golden State Warriors,-6.5,111,6.5,-129,127,118,11.5,-11.5
11/5 1:40:14 pm,Pinnacle,Portland Trail Blazers,Golden State Warriors,-6.5,115,6.5,-134,127,118,11.5,-11.5
11/5 1:40:11 pm,Pinnacle,Portland Trail Blazers,Golden State Warriors,-6.5,114,6.5,-133,127,118,11.5,-11.5
11/5 1:40:05 pm,Pinnacle,Portland Trail Blazers,Golden State Warriors,-6.5,115,6.5,-134,127,118,11.5,-11.5
11/5 1:39:55 pm,Pinnacle,Portland Trail Blazers,Golden State Warriors,-6.5,114,6.5,-133,127,118,11.5,-11.5
11/5 1:39:49 pm,Pinnacle,Portland Trail Blazers,Golden State Warriors,-6.5,112,6.5,-131,127,118,11.5,-11.5
11/5 1:39:47 pm,Pinnacle,Portland Trail Blazers,Golden State Warriors,-6.5,107,6.5,-125,127,118,11.5,-11.5
11/5 1:39:43 pm,Pinnacle,Portland Trail Blazers,Golden State Warriors,-6.5,109,6.5,-127,127,118,11.5,-11.5
