Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/16 12:48:30 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,8.0,-106,-8.0,-111,107,117,-8.5,8.5
1/16 12:48:24 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,8.0,-107,-8.0,-109,107,117,-8.5,8.5
1/16 12:47:55 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,8.0,-110,-8.0,-106,107,117,-8.5,8.5
1/16 12:44:00 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,4.0,111,-4.0,-130,107,117,-8.5,8.5
1/16 12:43:36 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,4.0,105,-4.0,-122,107,117,-8.5,8.5
1/16 12:43:33 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,4.0,103,-4.0,-120,107,117,-8.5,8.5
1/16 12:43:19 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,4.0,-102,-4.0,-115,107,117,-8.5,8.5
1/16 12:42:54 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,4.0,-104,-4.0,-112,107,117,-8.5,8.5
1/16 12:42:51 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,4.0,-103,-4.0,-114,107,117,-8.5,8.5
1/16 12:42:43 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,4.0,-102,-4.0,-115,107,117,-8.5,8.5
1/16 12:42:37 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,4.0,-101,-4.0,-115,107,117,-8.5,8.5
1/16 12:42:27 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,4.0,-115,-4.0,-102,107,117,-8.5,8.5
1/16 12:38:48 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,9.0,-121,-9.0,-109,107,117,-8.5,8.5
1/16 12:38:10 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,10.0,-115,-10.0,-115,107,117,-8.5,8.5
1/16 12:37:57 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,10.0,-115,-10.0,-115,107,117,-8.5,8.5
1/16 12:37:54 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,9.0,-118,-9.0,-112,107,117,-8.5,8.5
1/16 12:37:45 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,10.0,-112,-10.0,-118,107,117,-8.5,8.5
1/16 12:37:42 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,10.0,-112,-10.0,-118,107,117,-8.5,8.5
1/16 12:37:40 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,10.0,-112,-10.0,-119,107,117,-8.5,8.5
1/16 12:37:37 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,10.0,-112,-10.0,-119,107,117,-8.5,8.5
1/16 12:37:22 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,10.5,-132,-10.5,100,107,117,-8.5,8.5
1/16 12:37:19 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,10.5,-123,-10.5,-107,107,117,-8.5,8.5
1/16 12:37:52 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,10.0,-113,-10.0,-117,107,117,-8.5,8.5
1/16 12:37:16 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,10.0,-122,-10.0,-109,107,117,-8.5,8.5
1/16 12:36:51 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,9.5,-108,-9.5,-123,107,117,-8.5,8.5
1/16 12:36:49 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,9.5,-108,-9.5,-122,107,117,-8.5,8.5
1/16 12:36:37 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,9.5,-111,-9.5,-119,107,117,-8.5,8.5
1/16 12:36:33 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,10.5,-111,-10.5,-119,107,117,-8.5,8.5
1/16 12:36:21 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,9.5,-112,-9.5,-118,107,117,-8.5,8.5
1/16 12:36:18 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,9.5,-115,-9.5,-115,107,117,-8.5,8.5
1/16 12:36:16 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,9.5,-115,-9.5,-115,107,117,-8.5,8.5
1/16 12:36:12 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,9.5,-113,-9.5,-117,107,117,-8.5,8.5
1/16 12:35:46 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,8.5,-108,-8.5,-123,107,117,-8.5,8.5
1/16 12:35:31 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,8.0,-113,-8.0,-117,107,117,-8.5,8.5
1/16 12:35:09 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,9.5,-119,-9.5,-111,107,117,-8.5,8.5
1/16 12:35:03 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,8.0,-118,-8.0,-112,107,117,-8.5,8.5
1/16 12:34:30 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,8.0,-122,-8.0,-108,107,117,-8.5,8.5
1/16 12:34:24 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,8.5,-121,-8.5,-110,107,117,-8.5,8.5
1/16 12:34:21 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,8.5,-119,-8.5,-111,107,117,-8.5,8.5
1/16 12:34:19 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,8.5,-115,-8.5,-115,107,117,-8.5,8.5
1/16 12:34:09 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,9.5,-115,-9.5,-116,107,117,-8.5,8.5
1/16 12:34:06 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,9.5,-115,-9.5,-115,107,117,-8.5,8.5
1/16 12:34:03 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,9.5,-115,-9.5,-115,107,117,-8.5,8.5
1/16 12:34:00 pm,Pinnacle,Portland Trail Blazers,Houston Rockets,8.5,-118,-8.5,-112,107,117,-8.5,8.5
