Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/13 11:03:05 am,Pinnacle,Portland Trail Blazers,Memphis Grizzlies,-9.5,-118,9.5,-112,111,104,-3.5,3.5
2/13 11:02:47 am,Pinnacle,Portland Trail Blazers,Memphis Grizzlies,-8.5,-111,8.5,-119,111,104,-3.5,3.5
2/13 11:02:30 am,Pinnacle,Portland Trail Blazers,Memphis Grizzlies,-9.5,-118,9.5,-113,111,104,-3.5,3.5
2/13 11:02:11 am,Pinnacle,Portland Trail Blazers,Memphis Grizzlies,-8.5,-110,8.5,-120,111,104,-3.5,3.5
2/13 11:01:53 am,Pinnacle,Portland Trail Blazers,Memphis Grizzlies,-9.5,-117,9.5,-113,111,104,-3.5,3.5
2/13 11:01:45 am,Pinnacle,Portland Trail Blazers,Memphis Grizzlies,-10.0,-122,10.0,-108,111,104,-3.5,3.5
2/13 11:01:42 am,Pinnacle,Portland Trail Blazers,Memphis Grizzlies,-11.5,-111,11.5,-119,111,104,-3.5,3.5
2/13 11:01:39 am,Pinnacle,Portland Trail Blazers,Memphis Grizzlies,-11.5,-114,11.5,-116,111,104,-3.5,3.5
2/13 11:01:35 am,Pinnacle,Portland Trail Blazers,Memphis Grizzlies,-11.5,-114,11.5,-116,111,104,-3.5,3.5
2/13 11:01:11 am,Pinnacle,Portland Trail Blazers,Memphis Grizzlies,-11.5,-114,11.5,-116,111,104,-3.5,3.5
2/13 11:01:00 am,Pinnacle,Portland Trail Blazers,Memphis Grizzlies,-10.0,-121,10.0,-109,111,104,-3.5,3.5
2/13 11:00:57 am,Pinnacle,Portland Trail Blazers,Memphis Grizzlies,-10.0,-114,10.0,-103,111,104,-3.5,3.5
2/13 11:00:32 am,Pinnacle,Portland Trail Blazers,Memphis Grizzlies,-10.0,-125,10.0,107,111,104,-3.5,3.5
2/13 10:59:47 am,Pinnacle,Portland Trail Blazers,Memphis Grizzlies,-10.0,-126,10.0,108,111,104,-3.5,3.5
2/13 10:59:23 am,Pinnacle,Portland Trail Blazers,Memphis Grizzlies,-10.0,-125,10.0,107,111,104,-3.5,3.5
2/13 10:58:59 am,Pinnacle,Portland Trail Blazers,Memphis Grizzlies,-10.0,-126,10.0,108,111,104,-3.5,3.5
