Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/12 11:09:32 am,Pinnacle,Portland Trail Blazers,New Orleans Pelicans,-19.0,-107,19.0,-109,138,117,-3,3
2/12 11:09:08 am,Pinnacle,Portland Trail Blazers,New Orleans Pelicans,-19.0,-110,19.0,-106,138,117,-3,3
2/12 11:09:04 am,Pinnacle,Portland Trail Blazers,New Orleans Pelicans,-19.0,-109,19.0,-107,138,117,-3,3
2/12 11:08:53 am,Pinnacle,Portland Trail Blazers,New Orleans Pelicans,-19.0,-110,19.0,-106,138,117,-3,3
2/12 11:08:38 am,Pinnacle,Portland Trail Blazers,New Orleans Pelicans,-19.0,-109,19.0,-107,138,117,-3,3
2/12 11:08:29 am,Pinnacle,Portland Trail Blazers,New Orleans Pelicans,-19.0,-103,19.0,-113,138,117,-3,3
2/12 11:08:21 am,Pinnacle,Portland Trail Blazers,New Orleans Pelicans,-19.0,-104,19.0,-112,138,117,-3,3
2/12 11:07:55 am,Pinnacle,Portland Trail Blazers,New Orleans Pelicans,-19.0,103,19.0,-121,138,117,-3,3
2/12 11:07:43 am,Pinnacle,Portland Trail Blazers,New Orleans Pelicans,-19.0,103,19.0,-120,138,117,-3,3
2/12 11:07:37 am,Pinnacle,Portland Trail Blazers,New Orleans Pelicans,-19.0,105,19.0,-123,138,117,-3,3
2/12 11:07:28 am,Pinnacle,Portland Trail Blazers,New Orleans Pelicans,-19.0,104,19.0,-122,138,117,-3,3
2/12 11:07:13 am,Pinnacle,Portland Trail Blazers,New Orleans Pelicans,-19.0,-108,19.0,-108,138,117,-3,3
2/12 11:06:04 am,Pinnacle,Portland Trail Blazers,New Orleans Pelicans,-20.5,-120,20.5,-111,138,117,-3,3
2/12 11:05:57 am,Pinnacle,Portland Trail Blazers,New Orleans Pelicans,-20.0,-127,20.0,-104,138,117,-3,3
2/12 11:05:49 am,Pinnacle,Portland Trail Blazers,New Orleans Pelicans,-20.0,-117,20.0,-113,138,117,-3,3
2/12 11:05:46 am,Pinnacle,Portland Trail Blazers,New Orleans Pelicans,-21.5,-115,21.5,-115,138,117,-3,3
2/12 11:05:38 am,Pinnacle,Portland Trail Blazers,New Orleans Pelicans,-22.0,-122,22.0,-109,138,117,-3,3
2/12 11:05:31 am,Pinnacle,Portland Trail Blazers,New Orleans Pelicans,-21.0,101,21.0,-134,138,117,-3,3
2/12 11:05:29 am,Pinnacle,Portland Trail Blazers,New Orleans Pelicans,-21.5,-108,21.5,-123,138,117,-3,3
2/12 11:05:24 am,Pinnacle,Portland Trail Blazers,New Orleans Pelicans,-21.5,-119,21.5,-111,138,117,-3,3
2/12 11:05:21 am,Pinnacle,Portland Trail Blazers,New Orleans Pelicans,-21.5,-125,21.5,-106,138,117,-3,3
2/12 11:05:14 am,Pinnacle,Portland Trail Blazers,New Orleans Pelicans,-22.0,101,22.0,-134,138,117,-3,3
