Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
10/31 10:26:19 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,3.5,224,-3.5,-270,99,102,1.5,-1.5
10/31 10:20:34 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,2.5,145,-2.5,-170,99,102,1.5,-1.5
10/31 10:13:41 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,4.0,128,-4.0,-150,99,102,1.5,-1.5
10/31 10:06:30 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-3.5,-120,3.5,103,99,102,1.5,-1.5
10/31 10:05:05 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-3.5,-108,3.5,-108,99,102,1.5,-1.5
10/31 10:03:40 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-3.0,-123,3.0,-107,99,102,1.5,-1.5
10/31 10:02:15 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.5,-124,1.5,-107,99,102,1.5,-1.5
10/31 10:00:47 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,1.0,-120,-1.0,-111,99,102,1.5,-1.5
10/31 9:59:20 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,1.0,-104,-1.0,-112,99,102,1.5,-1.5
10/31 9:59:08 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,1.0,-107,-1.0,-109,99,102,1.5,-1.5
10/31 9:58:59 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,1.0,-106,-1.0,-110,99,102,1.5,-1.5
10/31 9:57:34 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,1.0,-109,-1.0,-122,99,102,1.5,-1.5
10/31 9:57:31 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,1.0,-113,-1.0,-117,99,102,1.5,-1.5
10/31 9:57:22 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,2.0,-124,-2.0,-107,99,102,1.5,-1.5
10/31 9:57:05 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,1.0,-114,-1.0,-116,99,102,1.5,-1.5
10/31 9:56:36 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.5,-106,1.5,-125,99,102,1.5,-1.5
10/31 9:56:01 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.5,-106,1.5,-124,99,102,1.5,-1.5
10/31 9:55:40 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,1.0,-138,-1.0,104,99,102,1.5,-1.5
10/31 9:55:32 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.0,-126,1.0,-105,99,102,1.5,-1.5
10/31 9:55:24 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.5,-107,1.5,-124,99,102,1.5,-1.5
10/31 9:55:20 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.5,108,1.5,-143,99,102,1.5,-1.5
10/31 9:55:11 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,1.0,-134,-1.0,101,99,102,1.5,-1.5
10/31 9:54:49 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.0,-126,1.0,-105,99,102,1.5,-1.5
10/31 9:54:28 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.0,103,1.0,-137,99,102,1.5,-1.5
10/31 9:54:20 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,1.0,-137,-1.0,103,99,102,1.5,-1.5
10/31 9:54:07 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.5,-106,1.5,-125,99,102,1.5,-1.5
10/31 9:53:42 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.0,-124,1.0,-107,99,102,1.5,-1.5
10/31 9:53:38 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,1.0,-138,-1.0,104,99,102,1.5,-1.5
10/31 9:53:29 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.0,-105,1.0,-126,99,102,1.5,-1.5
10/31 9:53:26 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.0,-113,1.0,-117,99,102,1.5,-1.5
10/31 9:52:56 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.0,-119,1.0,-111,99,102,1.5,-1.5
10/31 9:52:47 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.0,-118,1.0,-112,99,102,1.5,-1.5
10/31 9:52:43 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.0,-103,1.0,-129,99,102,1.5,-1.5
10/31 9:52:39 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.0,101,1.0,-133,99,102,1.5,-1.5
10/31 9:52:35 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.0,-100,1.0,-132,99,102,1.5,-1.5
10/31 9:52:26 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.0,-121,1.0,-110,99,102,1.5,-1.5
10/31 9:52:17 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-2.0,-111,2.0,-119,99,102,1.5,-1.5
10/31 9:52:05 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.0,-112,1.0,-118,99,102,1.5,-1.5
10/31 9:51:56 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.0,-105,1.0,-126,99,102,1.5,-1.5
10/31 9:51:29 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.0,-102,1.0,-129,99,102,1.5,-1.5
10/31 9:51:16 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.0,101,1.0,-134,99,102,1.5,-1.5
10/31 9:51:07 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.0,102,1.0,-136,99,102,1.5,-1.5
10/31 9:51:02 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.5,-109,1.5,-122,99,102,1.5,-1.5
10/31 9:50:58 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-2.0,-109,2.0,-122,99,102,1.5,-1.5
10/31 9:50:42 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.0,-111,1.0,-119,99,102,1.5,-1.5
10/31 9:50:38 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.5,-109,1.5,-121,99,102,1.5,-1.5
10/31 9:50:13 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.0,-121,1.0,-109,99,102,1.5,-1.5
10/31 9:50:05 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,-1.0,-123,1.0,-108,99,102,1.5,-1.5
10/31 9:49:44 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,1.0,-133,-1.0,100,99,102,1.5,-1.5
10/31 9:48:27 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,0.0,-112,0.0,-104,99,102,1.5,-1.5
10/31 9:48:22 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,0.0,-111,0.0,-105,99,102,1.5,-1.5
10/31 9:48:10 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,0.0,-108,0.0,-108,99,102,1.5,-1.5
10/31 9:48:01 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,0.0,-106,0.0,-110,99,102,1.5,-1.5
10/31 9:47:24 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,0.0,-104,0.0,-112,99,102,1.5,-1.5
10/31 9:46:38 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,1.5,-120,-1.5,-110,99,102,1.5,-1.5
10/31 9:46:33 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,1.5,-119,-1.5,-112,99,102,1.5,-1.5
10/31 9:46:15 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,1.5,-114,-1.5,-116,99,102,1.5,-1.5
10/31 9:46:07 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,1.5,-109,-1.5,-122,99,102,1.5,-1.5
10/31 9:45:38 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,1.0,-110,-1.0,-120,99,102,1.5,-1.5
10/31 9:45:13 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,2.0,-106,-2.0,-125,99,102,1.5,-1.5
10/31 9:45:00 am,Pinnacle,Portland Trail Blazers,Oklahoma City Thunder,2.0,-107,-2.0,-124,99,102,1.5,-1.5
