Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/17 12:10:54 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,108,-4.5,-126,110,111,2,-2
12/17 12:10:39 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,109,-4.5,-127,110,111,2,-2
12/17 12:10:30 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,108,-4.5,-126,110,111,2,-2
12/17 12:10:18 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,114,-4.5,-133,110,111,2,-2
12/17 12:10:09 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,-103,-4.5,-113,110,111,2,-2
12/17 12:10:06 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,-104,-4.5,-112,110,111,2,-2
12/17 12:09:33 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,-103,-4.5,-113,110,111,2,-2
12/17 12:09:15 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,100,-4.5,-117,110,111,2,-2
12/17 12:09:09 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,-104,-4.5,-112,110,111,2,-2
12/17 12:08:45 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,100,-4.5,-117,110,111,2,-2
12/17 12:10:12 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,100,-4.5,-117,110,111,2,-2
12/17 12:08:39 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,-104,-4.5,-112,110,111,2,-2
12/17 12:08:36 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,-108,-4.5,-108,110,111,2,-2
12/17 12:08:33 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,-101,-4.5,-115,110,111,2,-2
12/17 12:08:30 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,-102,-4.5,-114,110,111,2,-2
12/17 12:08:18 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,-103,-4.5,-113,110,111,2,-2
12/17 12:08:09 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,-101,-4.5,-116,110,111,2,-2
12/17 12:08:03 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,100,-4.5,-117,110,111,2,-2
12/17 12:08:00 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,105,-4.5,-123,110,111,2,-2
12/17 12:07:54 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,106,-4.5,-124,110,111,2,-2
12/17 12:07:45 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,111,-4.5,-129,110,111,2,-2
12/17 12:07:42 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,113,-4.5,-132,110,111,2,-2
12/17 12:07:33 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,108,-4.5,-126,110,111,2,-2
12/17 12:07:30 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,-101,-4.5,-116,110,111,2,-2
12/17 12:07:27 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,102,-4.5,-119,110,111,2,-2
12/17 12:07:24 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,100,-4.5,-117,110,111,2,-2
12/17 12:07:21 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,-101,-4.5,-116,110,111,2,-2
12/17 12:07:18 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,-102,-4.5,-115,110,111,2,-2
12/17 12:07:15 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,-113,-4.5,-103,110,111,2,-2
12/17 12:07:12 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,4.5,-125,-4.5,107,110,111,2,-2
12/17 12:02:24 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,3.5,-102,-3.5,-115,110,111,2,-2
12/17 12:01:57 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,3.5,103,-3.5,-120,110,111,2,-2
12/17 12:01:51 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,3.5,105,-3.5,-123,110,111,2,-2
12/17 12:01:48 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,3.5,110,-3.5,-129,110,111,2,-2
12/17 12:01:15 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,3.5,111,-3.5,-130,110,111,2,-2
12/17 12:01:00 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,3.5,110,-3.5,-129,110,111,2,-2
12/17 12:00:54 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,3.5,107,-3.5,-125,110,111,2,-2
12/17 12:00:48 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,3.5,109,-3.5,-127,110,111,2,-2
12/17 12:00:42 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,3.5,107,-3.5,-125,110,111,2,-2
12/17 12:00:30 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,3.5,-103,-3.5,-113,110,111,2,-2
12/17 11:59:42 am,Pinnacle,Portland Trail Blazers,Phoenix Suns,3.5,-119,-3.5,-111,110,111,2,-2
12/17 12:00:39 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,3.5,104,-3.5,-121,110,111,2,-2
12/17 11:59:36 am,Pinnacle,Portland Trail Blazers,Phoenix Suns,2.5,114,-2.5,-151,110,111,2,-2
12/17 11:59:33 am,Pinnacle,Portland Trail Blazers,Phoenix Suns,2.5,109,-2.5,-145,110,111,2,-2
12/17 11:59:30 am,Pinnacle,Portland Trail Blazers,Phoenix Suns,2.5,-101,-2.5,-131,110,111,2,-2
12/17 11:59:24 am,Pinnacle,Portland Trail Blazers,Phoenix Suns,2.5,-116,-2.5,-114,110,111,2,-2
12/17 12:00:33 pm,Pinnacle,Portland Trail Blazers,Phoenix Suns,3.5,103,-3.5,-120,110,111,2,-2
12/17 11:59:18 am,Pinnacle,Portland Trail Blazers,Phoenix Suns,2.5,-117,-2.5,-113,110,111,2,-2
12/17 11:59:15 am,Pinnacle,Portland Trail Blazers,Phoenix Suns,3.0,-104,-3.0,-127,110,111,2,-2
