Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
10/29 10:51:20 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-4.5,-148,4.5,134,113,110,-6,6
10/29 10:39:30 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-14.5,-102,14.5,-114,113,110,-6,6
10/29 10:36:41 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-15.5,-118,15.5,-133,113,110,-6,6
10/29 10:36:33 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-15.5,-120,15.5,-131,113,110,-6,6
10/29 10:35:45 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-14.5,-132,14.5,-119,113,110,-6,6
10/29 10:35:31 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-13.5,-127,13.5,-123,113,110,-6,6
10/29 10:35:23 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-13.5,-128,13.5,-122,113,110,-6,6
10/29 10:35:14 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-13.0,-118,13.0,-133,113,110,-6,6
10/29 10:35:11 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-13.0,-120,13.0,-130,113,110,-6,6
10/29 10:35:07 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-12.5,-126,12.5,-124,113,110,-6,6
10/29 10:34:59 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-14.5,-130,14.5,-120,113,110,-6,6
10/29 10:34:56 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-14.0,-136,14.0,-115,113,110,-6,6
10/29 10:34:51 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-13.5,-130,13.5,-102,113,110,-6,6
10/29 10:34:35 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-13.5,-126,13.5,-124,113,110,-6,6
10/29 10:34:11 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-13.0,-120,13.0,-131,113,110,-6,6
10/29 10:33:44 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-13.0,-118,13.0,-133,113,110,-6,6
10/29 10:33:40 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-12.5,-129,12.5,-121,113,110,-6,6
10/29 10:33:35 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-13.5,-129,13.5,-121,113,110,-6,6
10/29 10:33:31 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-13.5,-101,13.5,-116,113,110,-6,6
10/29 10:32:40 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-13.5,-102,13.5,-115,113,110,-6,6
10/29 10:32:15 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-13.5,-106,13.5,-110,113,110,-6,6
10/29 10:31:32 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-13.5,-108,13.5,-108,113,110,-6,6
10/29 10:31:24 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-13.5,-109,13.5,-107,113,110,-6,6
10/29 10:30:58 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-13.5,-111,13.5,-105,113,110,-6,6
10/29 10:30:35 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-13.5,-128,13.5,-122,113,110,-6,6
10/29 10:30:30 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-12.0,-127,12.0,-123,113,110,-6,6
10/29 10:30:21 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-11.0,-124,11.0,-126,113,110,-6,6
10/29 10:30:12 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-11.0,-127,11.0,-123,113,110,-6,6
10/29 10:30:03 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-9.5,-126,9.5,-124,113,110,-6,6
10/29 10:29:55 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-8.5,-127,8.5,-123,113,110,-6,6
10/29 10:29:37 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-9.5,-134,9.5,-116,113,110,-6,6
10/29 10:29:20 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-10.0,-124,10.0,-126,113,110,-6,6
10/29 10:28:59 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-10.0,-132,10.0,-119,113,110,-6,6
10/29 10:28:42 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-11.0,-132,11.0,-119,113,110,-6,6
10/29 10:28:38 am,Pinnacle,Portland Trail Blazers,San Antonio Spurs,-11.0,-134,11.0,-117,113,110,-6,6
