Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/8 1:58:25 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-2.0,116,2.0,-136,117,114,-10.5,10.5
2/8 1:58:21 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-2.0,112,2.0,-131,117,114,-10.5,10.5
2/8 1:58:06 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-2.0,110,2.0,-129,117,114,-10.5,10.5
2/8 1:57:51 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-2.0,102,2.0,-118,117,114,-10.5,10.5
2/8 1:57:42 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-2.0,103,2.0,-120,117,114,-10.5,10.5
2/8 1:57:39 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-2.0,-105,2.0,-111,117,114,-10.5,10.5
2/8 1:57:31 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-2.0,-116,2.0,-101,117,114,-10.5,10.5
2/8 1:50:30 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-6.5,-110,6.5,-106,117,114,-10.5,10.5
2/8 1:50:24 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-6.5,-112,6.5,-105,117,114,-10.5,10.5
2/8 1:50:18 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-6.5,-115,6.5,-102,117,114,-10.5,10.5
2/8 1:50:15 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-6.5,-115,6.5,-102,117,114,-10.5,10.5
2/8 1:50:06 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-6.5,-116,6.5,-101,117,114,-10.5,10.5
2/8 1:49:54 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-6.5,-115,6.5,-101,117,114,-10.5,10.5
2/8 1:49:45 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-6.5,-113,6.5,-103,117,114,-10.5,10.5
2/8 1:49:29 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-6.5,-111,6.5,-105,117,114,-10.5,10.5
2/8 1:49:28 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-6.5,-115,6.5,-102,117,114,-10.5,10.5
2/8 1:49:26 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-6.5,-111,6.5,-105,117,114,-10.5,10.5
2/8 1:49:17 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-6.5,-115,6.5,-102,117,114,-10.5,10.5
2/8 1:49:15 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-7.0,100,7.0,-117,117,114,-10.5,10.5
2/8 1:49:12 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-7.0,-101,7.0,-115,117,114,-10.5,10.5
2/8 1:49:06 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-7.0,-102,7.0,-115,117,114,-10.5,10.5
2/8 1:49:04 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-7.0,-102,7.0,-115,117,114,-10.5,10.5
2/8 1:48:45 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-6.0,-106,6.0,-124,117,114,-10.5,10.5
2/8 1:48:41 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-5.5,-134,5.5,101,117,114,-10.5,10.5
2/8 1:48:39 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-5.5,-122,5.5,-108,117,114,-10.5,10.5
2/8 1:48:36 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-5.5,-139,5.5,105,117,114,-10.5,10.5
2/8 1:48:33 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-5.5,-131,5.5,-101,117,114,-10.5,10.5
2/8 1:48:25 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-5.5,-120,5.5,-110,117,114,-10.5,10.5
2/8 1:48:18 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-6.5,-116,6.5,-114,117,114,-10.5,10.5
2/8 1:48:07 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-6.5,-119,6.5,-111,117,114,-10.5,10.5
2/8 1:48:06 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-6.5,-126,6.5,-105,117,114,-10.5,10.5
2/8 1:47:54 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-6.5,-119,6.5,-111,117,114,-10.5,10.5
2/8 1:47:51 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-6.0,-134,6.0,101,117,114,-10.5,10.5
2/8 1:47:45 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-6.0,-127,6.0,-104,117,114,-10.5,10.5
2/8 1:47:39 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-6.0,-107,6.0,-123,117,114,-10.5,10.5
2/8 1:47:36 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-6.0,-112,6.0,-118,117,114,-10.5,10.5
2/8 1:47:33 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-7.0,-113,7.0,-117,117,114,-10.5,10.5
2/8 1:47:30 pm,Pinnacle,Portland Trail Blazers,Utah Jazz,-7.0,-119,7.0,-112,117,114,-10.5,10.5
