Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/4 10:19:58 am,Pinnacle,Portland Trail Blazers,Washington Wizards,15.5,-101,-15.5,-116,103,122,7.5,-7.5
1/4 10:19:39 am,Pinnacle,Portland Trail Blazers,Washington Wizards,15.5,101,-15.5,-118,103,122,7.5,-7.5
1/4 10:15:23 am,Pinnacle,Portland Trail Blazers,Washington Wizards,11.0,-106,-11.0,-110,103,122,7.5,-7.5
1/4 10:15:03 am,Pinnacle,Portland Trail Blazers,Washington Wizards,11.0,100,-11.0,-117,103,122,7.5,-7.5
1/4 10:10:33 am,Pinnacle,Portland Trail Blazers,Washington Wizards,10.5,-110,-10.5,-106,103,122,7.5,-7.5
1/4 10:08:59 am,Pinnacle,Portland Trail Blazers,Washington Wizards,10.5,-111,-10.5,-105,103,122,7.5,-7.5
1/4 10:08:42 am,Pinnacle,Portland Trail Blazers,Washington Wizards,10.5,-116,-10.5,-114,103,122,7.5,-7.5
1/4 10:07:42 am,Pinnacle,Portland Trail Blazers,Washington Wizards,10.0,-123,-10.0,-108,103,122,7.5,-7.5
1/4 10:07:39 am,Pinnacle,Portland Trail Blazers,Washington Wizards,9.0,-123,-9.0,-107,103,122,7.5,-7.5
1/4 10:07:23 am,Pinnacle,Portland Trail Blazers,Washington Wizards,10.0,-112,-10.0,-118,103,122,7.5,-7.5
1/4 10:06:54 am,Pinnacle,Portland Trail Blazers,Washington Wizards,9.5,-113,-9.5,-117,103,122,7.5,-7.5
1/4 10:06:44 am,Pinnacle,Portland Trail Blazers,Washington Wizards,9.5,-109,-9.5,-121,103,122,7.5,-7.5
1/4 10:06:36 am,Pinnacle,Portland Trail Blazers,Washington Wizards,9.0,-112,-9.0,-119,103,122,7.5,-7.5
1/4 10:06:29 am,Pinnacle,Portland Trail Blazers,Washington Wizards,9.0,-117,-9.0,-113,103,122,7.5,-7.5
