Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/9 10:38:51 am,Pinnacle,Sacramento Kings,Atlanta Hawks,15.5,-110,-15.5,-106,109,121,3,-3
11/9 10:38:18 am,Pinnacle,Sacramento Kings,Atlanta Hawks,15.5,-113,-15.5,-104,109,121,3,-3
11/9 10:38:00 am,Pinnacle,Sacramento Kings,Atlanta Hawks,15.5,-114,-15.5,-103,109,121,3,-3
11/9 10:37:21 am,Pinnacle,Sacramento Kings,Atlanta Hawks,15.5,-114,-15.5,-102,109,121,3,-3
11/9 10:37:06 am,Pinnacle,Sacramento Kings,Atlanta Hawks,15.5,-110,-15.5,-106,109,121,3,-3
11/9 10:36:52 am,Pinnacle,Sacramento Kings,Atlanta Hawks,15.5,-112,-15.5,-104,109,121,3,-3
11/9 10:36:48 am,Pinnacle,Sacramento Kings,Atlanta Hawks,15.5,-109,-15.5,-107,109,121,3,-3
11/9 10:36:46 am,Pinnacle,Sacramento Kings,Atlanta Hawks,15.5,-106,-15.5,-110,109,121,3,-3
11/9 10:36:36 am,Pinnacle,Sacramento Kings,Atlanta Hawks,15.5,-108,-15.5,-108,109,121,3,-3
11/9 10:31:54 am,Pinnacle,Sacramento Kings,Atlanta Hawks,8.0,-116,-8.0,-114,109,121,3,-3
11/9 10:31:48 am,Pinnacle,Sacramento Kings,Atlanta Hawks,8.0,-115,-8.0,-115,109,121,3,-3
11/9 10:31:43 am,Pinnacle,Sacramento Kings,Atlanta Hawks,8.5,-108,-8.5,-122,109,121,3,-3
11/9 10:31:36 am,Pinnacle,Sacramento Kings,Atlanta Hawks,8.5,-109,-8.5,-121,109,121,3,-3
11/9 10:31:33 am,Pinnacle,Sacramento Kings,Atlanta Hawks,9.0,-105,-9.0,-127,109,121,3,-3
11/9 10:31:13 am,Pinnacle,Sacramento Kings,Atlanta Hawks,7.0,-105,-7.0,-127,109,121,3,-3
11/9 10:31:12 am,Pinnacle,Sacramento Kings,Atlanta Hawks,6.5,-104,-6.5,-127,109,121,3,-3
11/9 10:31:11 am,Pinnacle,Sacramento Kings,Atlanta Hawks,7.0,-119,-7.0,-111,109,121,3,-3
11/9 10:31:06 am,Pinnacle,Sacramento Kings,Atlanta Hawks,6.5,-104,-6.5,-127,109,121,3,-3
11/9 10:31:00 am,Pinnacle,Sacramento Kings,Atlanta Hawks,6.5,-119,-6.5,-111,109,121,3,-3
11/9 10:30:57 am,Pinnacle,Sacramento Kings,Atlanta Hawks,6.5,-118,-6.5,-112,109,121,3,-3
11/9 10:30:51 am,Pinnacle,Sacramento Kings,Atlanta Hawks,4.5,-107,-4.5,-124,109,121,3,-3
11/9 10:30:48 am,Pinnacle,Sacramento Kings,Atlanta Hawks,4.5,-114,-4.5,-116,109,121,3,-3
11/9 10:30:33 am,Pinnacle,Sacramento Kings,Atlanta Hawks,4.5,-111,-4.5,-119,109,121,3,-3
11/9 10:30:15 am,Pinnacle,Sacramento Kings,Atlanta Hawks,4.5,-115,-4.5,-115,109,121,3,-3
11/9 10:30:13 am,Pinnacle,Sacramento Kings,Atlanta Hawks,4.5,-113,-4.5,-117,109,121,3,-3
11/9 10:30:06 am,Pinnacle,Sacramento Kings,Atlanta Hawks,6.5,-117,-6.5,-113,109,121,3,-3
11/9 10:30:03 am,Pinnacle,Sacramento Kings,Atlanta Hawks,7.5,-128,-7.5,-104,109,121,3,-3
11/9 10:29:33 am,Pinnacle,Sacramento Kings,Atlanta Hawks,7.5,-108,-7.5,-123,109,121,3,-3
11/9 10:29:27 am,Pinnacle,Sacramento Kings,Atlanta Hawks,7.5,-127,-7.5,-104,109,121,3,-3
11/9 10:29:09 am,Pinnacle,Sacramento Kings,Atlanta Hawks,6.5,-109,-6.5,-121,109,121,3,-3
11/9 10:29:06 am,Pinnacle,Sacramento Kings,Atlanta Hawks,6.5,-117,-6.5,-114,109,121,3,-3
11/9 10:29:01 am,Pinnacle,Sacramento Kings,Atlanta Hawks,6.5,-117,-6.5,-113,109,121,3,-3
11/9 10:28:45 am,Pinnacle,Sacramento Kings,Atlanta Hawks,4.5,-110,-4.5,-120,109,121,3,-3
11/9 10:28:42 am,Pinnacle,Sacramento Kings,Atlanta Hawks,3.5,-105,-3.5,-126,109,121,3,-3
11/9 10:28:30 am,Pinnacle,Sacramento Kings,Atlanta Hawks,3.5,-107,-3.5,-123,109,121,3,-3
11/9 10:28:27 am,Pinnacle,Sacramento Kings,Atlanta Hawks,3.5,-107,-3.5,-124,109,121,3,-3
11/9 10:28:18 am,Pinnacle,Sacramento Kings,Atlanta Hawks,2.5,-124,-2.5,-107,109,121,3,-3
11/9 10:28:15 am,Pinnacle,Sacramento Kings,Atlanta Hawks,2.0,-109,-2.0,-121,109,121,3,-3
11/9 10:27:24 am,Pinnacle,Sacramento Kings,Atlanta Hawks,2.0,103,-2.0,-120,109,121,3,-3
11/9 10:27:03 am,Pinnacle,Sacramento Kings,Atlanta Hawks,2.0,100,-2.0,-117,109,121,3,-3
11/9 10:26:42 am,Pinnacle,Sacramento Kings,Atlanta Hawks,2.0,102,-2.0,-120,109,121,3,-3
11/9 10:26:34 am,Pinnacle,Sacramento Kings,Atlanta Hawks,2.0,103,-2.0,-120,109,121,3,-3
11/9 10:26:30 am,Pinnacle,Sacramento Kings,Atlanta Hawks,2.0,-104,-2.0,-112,109,121,3,-3
11/9 10:26:28 am,Pinnacle,Sacramento Kings,Atlanta Hawks,2.0,-103,-2.0,-114,109,121,3,-3
11/9 10:26:18 am,Pinnacle,Sacramento Kings,Atlanta Hawks,2.0,-108,-2.0,-108,109,121,3,-3
11/9 10:26:00 am,Pinnacle,Sacramento Kings,Atlanta Hawks,2.0,-109,-2.0,-107,109,121,3,-3
11/9 10:25:48 am,Pinnacle,Sacramento Kings,Atlanta Hawks,2.0,-108,-2.0,-108,109,121,3,-3
11/9 10:25:37 am,Pinnacle,Sacramento Kings,Atlanta Hawks,2.0,-113,-2.0,-104,109,121,3,-3
11/9 10:25:19 am,Pinnacle,Sacramento Kings,Atlanta Hawks,2.0,-108,-2.0,-122,109,121,3,-3
11/9 10:25:15 am,Pinnacle,Sacramento Kings,Atlanta Hawks,2.0,-123,-2.0,-107,109,121,3,-3
11/9 10:25:11 am,Pinnacle,Sacramento Kings,Atlanta Hawks,3.0,-123,-3.0,-107,109,121,3,-3
11/9 10:25:00 am,Pinnacle,Sacramento Kings,Atlanta Hawks,3.5,-109,-3.5,-121,109,121,3,-3
11/9 10:24:51 am,Pinnacle,Sacramento Kings,Atlanta Hawks,3.5,-111,-3.5,-120,109,121,3,-3
11/9 10:24:39 am,Pinnacle,Sacramento Kings,Atlanta Hawks,5.5,-123,-5.5,-107,109,121,3,-3
11/9 10:24:36 am,Pinnacle,Sacramento Kings,Atlanta Hawks,3.5,-108,-3.5,-122,109,121,3,-3
11/9 10:24:33 am,Pinnacle,Sacramento Kings,Atlanta Hawks,3.5,-108,-3.5,-123,109,121,3,-3
11/9 10:24:30 am,Pinnacle,Sacramento Kings,Atlanta Hawks,4.5,-120,-4.5,-110,109,121,3,-3
11/9 10:24:13 am,Pinnacle,Sacramento Kings,Atlanta Hawks,4.5,-115,-4.5,-115,109,121,3,-3
11/9 10:24:01 am,Pinnacle,Sacramento Kings,Atlanta Hawks,4.5,-120,-4.5,-110,109,121,3,-3
11/9 10:23:51 am,Pinnacle,Sacramento Kings,Atlanta Hawks,4.5,-111,-4.5,-119,109,121,3,-3
11/9 10:23:48 am,Pinnacle,Sacramento Kings,Atlanta Hawks,7.0,-117,-7.0,-113,109,121,3,-3
11/9 10:23:46 am,Pinnacle,Sacramento Kings,Atlanta Hawks,7.5,-117,-7.5,-113,109,121,3,-3
11/9 10:23:27 am,Pinnacle,Sacramento Kings,Atlanta Hawks,5.5,-119,-5.5,-111,109,121,3,-3
11/9 10:23:24 am,Pinnacle,Sacramento Kings,Atlanta Hawks,5.5,-123,-5.5,-107,109,121,3,-3
11/9 10:23:19 am,Pinnacle,Sacramento Kings,Atlanta Hawks,6.5,-124,-6.5,-107,109,121,3,-3
11/9 10:23:13 am,Pinnacle,Sacramento Kings,Atlanta Hawks,6.5,-117,-6.5,-113,109,121,3,-3
11/9 10:22:45 am,Pinnacle,Sacramento Kings,Atlanta Hawks,5.5,-118,-5.5,-112,109,121,3,-3
11/9 10:22:36 am,Pinnacle,Sacramento Kings,Atlanta Hawks,5.5,-122,-5.5,-108,109,121,3,-3
11/9 10:22:33 am,Pinnacle,Sacramento Kings,Atlanta Hawks,6.0,-115,-6.0,-115,109,121,3,-3
