Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/23 10:47:16 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-20.0,-112,20.0,-104,116,97,-1.5,1.5
11/23 10:46:58 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-20.0,-110,20.0,-106,116,97,-1.5,1.5
11/23 10:46:51 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-20.0,-108,20.0,-108,116,97,-1.5,1.5
11/23 10:39:43 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-18.5,-138,18.5,104,116,97,-1.5,1.5
11/23 10:39:34 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-18.5,-117,18.5,-113,116,97,-1.5,1.5
11/23 10:39:30 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-17.5,-144,17.5,108,116,97,-1.5,1.5
11/23 10:39:24 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-17.5,-122,17.5,-108,116,97,-1.5,1.5
11/23 10:39:22 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-17.5,-115,17.5,-115,116,97,-1.5,1.5
11/23 10:39:16 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-17.5,-109,17.5,-121,116,97,-1.5,1.5
11/23 10:39:09 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-17.5,-114,17.5,-116,116,97,-1.5,1.5
11/23 10:39:07 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-16.5,-120,16.5,-111,116,97,-1.5,1.5
11/23 10:39:00 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-15.5,-119,15.5,-111,116,97,-1.5,1.5
11/23 10:38:36 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-16.5,103,16.5,-137,116,97,-1.5,1.5
11/23 10:38:28 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-16.5,-116,16.5,-114,116,97,-1.5,1.5
11/23 10:38:25 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-16.0,-117,16.0,-113,116,97,-1.5,1.5
11/23 10:38:03 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-16.0,-120,16.0,103,116,97,-1.5,1.5
11/23 10:35:43 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-16.0,-116,16.0,-100,116,97,-1.5,1.5
11/23 10:35:22 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-16.5,-118,16.5,-112,116,97,-1.5,1.5
11/23 10:34:57 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-15.5,-119,15.5,-111,116,97,-1.5,1.5
11/23 10:34:48 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-16.5,101,16.5,-134,116,97,-1.5,1.5
11/23 10:34:45 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-16.5,-105,16.5,-126,116,97,-1.5,1.5
11/23 10:34:35 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-16.5,-115,16.5,-115,116,97,-1.5,1.5
11/23 10:34:28 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-15.5,-116,15.5,-114,116,97,-1.5,1.5
11/23 10:34:15 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-17.0,-101,17.0,-130,116,97,-1.5,1.5
11/23 10:34:09 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-17.0,-107,17.0,-123,116,97,-1.5,1.5
11/23 10:33:43 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-17.5,-109,17.5,-122,116,97,-1.5,1.5
11/23 10:33:39 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-17.5,-104,17.5,-127,116,97,-1.5,1.5
11/23 10:33:37 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-17.5,-115,17.5,-115,116,97,-1.5,1.5
11/23 10:33:34 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-16.5,-115,16.5,-115,116,97,-1.5,1.5
11/23 10:33:27 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-16.5,-114,16.5,-116,116,97,-1.5,1.5
11/23 10:33:22 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-17.0,-124,17.0,-107,116,97,-1.5,1.5
11/23 10:33:19 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-17.5,-102,17.5,-129,116,97,-1.5,1.5
11/23 10:33:07 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-16.5,-106,16.5,-124,116,97,-1.5,1.5
11/23 10:33:03 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-16.5,-113,16.5,-117,116,97,-1.5,1.5
11/23 10:32:57 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-15.5,-113,15.5,-117,116,97,-1.5,1.5
11/23 10:32:42 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-17.5,119,17.5,-158,116,97,-1.5,1.5
11/23 10:32:39 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-17.5,-109,17.5,-121,116,97,-1.5,1.5
11/23 10:32:33 am,Pinnacle,Sacramento Kings,Brooklyn Nets,-17.5,-111,17.5,-119,116,97,-1.5,1.5
