Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/18 10:16:43 am,Pinnacle,Sacramento Kings,Charlotte Hornets,-8.0,-109,8.0,-107,110,102,5,-5
12/18 10:16:07 am,Pinnacle,Sacramento Kings,Charlotte Hornets,-8.0,-113,8.0,-103,110,102,5,-5
12/18 10:08:40 am,Pinnacle,Sacramento Kings,Charlotte Hornets,-9.5,-115,9.5,-102,110,102,5,-5
12/18 10:08:37 am,Pinnacle,Sacramento Kings,Charlotte Hornets,-9.5,-116,9.5,-101,110,102,5,-5
12/18 10:03:36 am,Pinnacle,Sacramento Kings,Charlotte Hornets,-7.0,-111,7.0,-105,110,102,5,-5
12/18 10:03:16 am,Pinnacle,Sacramento Kings,Charlotte Hornets,-7.0,-112,7.0,-104,110,102,5,-5
12/18 10:03:07 am,Pinnacle,Sacramento Kings,Charlotte Hornets,-7.0,-114,7.0,-102,110,102,5,-5
12/18 10:02:58 am,Pinnacle,Sacramento Kings,Charlotte Hornets,-7.0,-116,7.0,-101,110,102,5,-5
12/18 10:02:42 am,Pinnacle,Sacramento Kings,Charlotte Hornets,-7.0,-109,7.0,-107,110,102,5,-5
12/18 10:02:34 am,Pinnacle,Sacramento Kings,Charlotte Hornets,-7.0,-110,7.0,-106,110,102,5,-5
12/18 10:02:22 am,Pinnacle,Sacramento Kings,Charlotte Hornets,-7.0,-105,7.0,-111,110,102,5,-5
12/18 10:01:58 am,Pinnacle,Sacramento Kings,Charlotte Hornets,-7.0,-111,7.0,-119,110,102,5,-5
12/18 10:01:37 am,Pinnacle,Sacramento Kings,Charlotte Hornets,-7.0,-110,7.0,-121,110,102,5,-5
12/18 10:01:28 am,Pinnacle,Sacramento Kings,Charlotte Hornets,-5.0,-110,5.0,-120,110,102,5,-5
12/18 10:01:16 am,Pinnacle,Sacramento Kings,Charlotte Hornets,-5.0,-107,5.0,-123,110,102,5,-5
12/18 10:01:07 am,Pinnacle,Sacramento Kings,Charlotte Hornets,-5.5,-122,5.5,-108,110,102,5,-5
12/18 10:01:34 am,Pinnacle,Sacramento Kings,Charlotte Hornets,-5.0,-111,5.0,-119,110,102,5,-5
12/18 10:00:58 am,Pinnacle,Sacramento Kings,Charlotte Hornets,-5.5,-123,5.5,-108,110,102,5,-5
12/18 10:00:52 am,Pinnacle,Sacramento Kings,Charlotte Hornets,-4.0,-111,4.0,-120,110,102,5,-5
12/18 10:00:49 am,Pinnacle,Sacramento Kings,Charlotte Hornets,-3.0,-119,3.0,-111,110,102,5,-5
12/18 10:00:43 am,Pinnacle,Sacramento Kings,Charlotte Hornets,-3.0,-114,3.0,-116,110,102,5,-5
12/18 10:00:40 am,Pinnacle,Sacramento Kings,Charlotte Hornets,-4.0,-108,4.0,-123,110,102,5,-5
12/18 10:00:31 am,Pinnacle,Sacramento Kings,Charlotte Hornets,-4.0,-107,4.0,-123,110,102,5,-5
