Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/21 10:02:01 am,Pinnacle,Sacramento Kings,Indiana Pacers,-19.0,-101,19.0,-116,119,105,-5,5
12/21 10:01:28 am,Pinnacle,Sacramento Kings,Indiana Pacers,-19.0,103,19.0,-121,119,105,-5,5
12/21 10:01:01 am,Pinnacle,Sacramento Kings,Indiana Pacers,-19.0,102,19.0,-119,119,105,-5,5
12/21 10:00:56 am,Pinnacle,Sacramento Kings,Indiana Pacers,-19.0,-104,19.0,-112,119,105,-5,5
12/21 10:00:39 am,Pinnacle,Sacramento Kings,Indiana Pacers,-19.0,-108,19.0,-108,119,105,-5,5
12/21 9:56:12 am,Pinnacle,Sacramento Kings,Indiana Pacers,-16.5,-112,16.5,-119,119,105,-5,5
12/21 9:56:00 am,Pinnacle,Sacramento Kings,Indiana Pacers,-15.5,-111,15.5,-120,119,105,-5,5
12/21 9:55:58 am,Pinnacle,Sacramento Kings,Indiana Pacers,-16.0,-109,16.0,-121,119,105,-5,5
12/21 9:55:47 am,Pinnacle,Sacramento Kings,Indiana Pacers,-16.5,-109,16.5,-121,119,105,-5,5
12/21 9:55:22 am,Pinnacle,Sacramento Kings,Indiana Pacers,-16.5,-111,16.5,-119,119,105,-5,5
12/21 9:55:18 am,Pinnacle,Sacramento Kings,Indiana Pacers,-15.5,-110,15.5,-120,119,105,-5,5
12/21 9:55:04 am,Pinnacle,Sacramento Kings,Indiana Pacers,-15.5,-109,15.5,-121,119,105,-5,5
12/21 9:54:43 am,Pinnacle,Sacramento Kings,Indiana Pacers,-16.5,-109,16.5,-121,119,105,-5,5
12/21 9:54:37 am,Pinnacle,Sacramento Kings,Indiana Pacers,-16.5,-108,16.5,-123,119,105,-5,5
12/21 9:54:18 am,Pinnacle,Sacramento Kings,Indiana Pacers,-18.0,-120,18.0,-110,119,105,-5,5
12/21 9:54:09 am,Pinnacle,Sacramento Kings,Indiana Pacers,-17.0,-106,17.0,-125,119,105,-5,5
12/21 9:53:54 am,Pinnacle,Sacramento Kings,Indiana Pacers,-17.0,-111,17.0,-119,119,105,-5,5
12/21 9:53:52 am,Pinnacle,Sacramento Kings,Indiana Pacers,-17.5,-120,17.5,-110,119,105,-5,5
12/21 9:53:40 am,Pinnacle,Sacramento Kings,Indiana Pacers,-17.0,-123,17.0,-108,119,105,-5,5
12/21 9:54:22 am,Pinnacle,Sacramento Kings,Indiana Pacers,-17.0,-122,17.0,-109,119,105,-5,5
12/21 9:53:22 am,Pinnacle,Sacramento Kings,Indiana Pacers,-16.5,-124,16.5,-107,119,105,-5,5
12/21 9:53:16 am,Pinnacle,Sacramento Kings,Indiana Pacers,-16.0,-124,16.0,-107,119,105,-5,5
12/21 9:53:09 am,Pinnacle,Sacramento Kings,Indiana Pacers,-16.0,-106,16.0,-110,119,105,-5,5
12/21 9:52:13 am,Pinnacle,Sacramento Kings,Indiana Pacers,-16.0,-109,16.0,-107,119,105,-5,5
12/21 9:50:37 am,Pinnacle,Sacramento Kings,Indiana Pacers,-16.0,-110,16.0,-106,119,105,-5,5
12/21 9:50:13 am,Pinnacle,Sacramento Kings,Indiana Pacers,-16.0,-123,16.0,-107,119,105,-5,5
12/21 9:50:01 am,Pinnacle,Sacramento Kings,Indiana Pacers,-15.5,-114,15.5,-116,119,105,-5,5
12/21 9:49:57 am,Pinnacle,Sacramento Kings,Indiana Pacers,-15.0,-112,15.0,-118,119,105,-5,5
12/21 9:49:49 am,Pinnacle,Sacramento Kings,Indiana Pacers,-14.5,-112,14.5,-118,119,105,-5,5
12/21 9:49:47 am,Pinnacle,Sacramento Kings,Indiana Pacers,-14.5,-115,14.5,-115,119,105,-5,5
12/21 9:49:37 am,Pinnacle,Sacramento Kings,Indiana Pacers,-13.5,-117,13.5,-113,119,105,-5,5
12/21 9:49:31 am,Pinnacle,Sacramento Kings,Indiana Pacers,-13.5,-118,13.5,-112,119,105,-5,5
12/21 9:49:22 am,Pinnacle,Sacramento Kings,Indiana Pacers,-14.5,-112,14.5,-118,119,105,-5,5
12/21 9:49:18 am,Pinnacle,Sacramento Kings,Indiana Pacers,-14.5,-113,14.5,-117,119,105,-5,5
12/21 9:49:10 am,Pinnacle,Sacramento Kings,Indiana Pacers,-13.5,-118,13.5,-112,119,105,-5,5
12/21 9:49:07 am,Pinnacle,Sacramento Kings,Indiana Pacers,-13.5,-120,13.5,-111,119,105,-5,5
12/21 9:49:00 am,Pinnacle,Sacramento Kings,Indiana Pacers,-15.5,-108,15.5,-122,119,105,-5,5
12/21 9:48:32 am,Pinnacle,Sacramento Kings,Indiana Pacers,-16.0,-122,16.0,-108,119,105,-5,5
12/21 9:48:28 am,Pinnacle,Sacramento Kings,Indiana Pacers,-15.5,-123,15.5,-108,119,105,-5,5
12/21 9:48:07 am,Pinnacle,Sacramento Kings,Indiana Pacers,-15.0,-123,15.0,-108,119,105,-5,5
12/21 9:48:04 am,Pinnacle,Sacramento Kings,Indiana Pacers,-15.5,-109,15.5,-121,119,105,-5,5
12/21 9:48:49 am,Pinnacle,Sacramento Kings,Indiana Pacers,-16.5,-108,16.5,-123,119,105,-5,5
12/21 9:47:58 am,Pinnacle,Sacramento Kings,Indiana Pacers,-13.5,-118,13.5,-112,119,105,-5,5
12/21 9:47:55 am,Pinnacle,Sacramento Kings,Indiana Pacers,-13.0,-120,13.0,-111,119,105,-5,5
12/21 9:47:34 am,Pinnacle,Sacramento Kings,Indiana Pacers,-12.5,-120,12.5,-111,119,105,-5,5
12/21 9:47:31 am,Pinnacle,Sacramento Kings,Indiana Pacers,-12.5,-123,12.5,-107,119,105,-5,5
12/21 9:47:04 am,Pinnacle,Sacramento Kings,Indiana Pacers,-11.0,-119,11.0,-111,119,105,-5,5
12/21 9:46:55 am,Pinnacle,Sacramento Kings,Indiana Pacers,-12.0,-110,12.0,-120,119,105,-5,5
12/21 9:46:36 am,Pinnacle,Sacramento Kings,Indiana Pacers,-12.5,-123,12.5,-107,119,105,-5,5
12/21 9:46:22 am,Pinnacle,Sacramento Kings,Indiana Pacers,-12.5,-122,12.5,-109,119,105,-5,5
12/21 9:46:10 am,Pinnacle,Sacramento Kings,Indiana Pacers,-12.0,-110,12.0,-120,119,105,-5,5
12/21 9:45:37 am,Pinnacle,Sacramento Kings,Indiana Pacers,-11.5,-121,11.5,104,119,105,-5,5
