Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/22 11:23:14 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-4.5,-105,4.5,-111,119,115,2,-2
12/22 11:23:08 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-4.5,-103,4.5,-114,119,115,2,-2
12/22 11:22:59 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-4.5,-105,4.5,-111,119,115,2,-2
12/22 11:22:56 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-4.5,-109,4.5,-107,119,115,2,-2
12/22 11:22:44 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-4.5,-108,4.5,-108,119,115,2,-2
12/22 11:19:27 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-6.5,-194,6.5,164,119,115,2,-2
12/22 11:19:20 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-6.5,-199,6.5,168,119,115,2,-2
12/22 11:19:14 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-6.5,-197,6.5,166,119,115,2,-2
12/22 11:19:09 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-6.5,-194,6.5,164,119,115,2,-2
12/22 11:19:02 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-6.5,-192,6.5,163,119,115,2,-2
12/22 11:18:29 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-6.5,-201,6.5,170,119,115,2,-2
12/22 11:16:42 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-7.5,-162,7.5,138,119,115,2,-2
12/22 11:16:36 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-7.5,-160,7.5,136,119,115,2,-2
12/22 11:16:29 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-7.5,-153,7.5,131,119,115,2,-2
12/22 11:16:23 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-7.5,-151,7.5,129,119,115,2,-2
12/22 11:16:17 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-7.5,-149,7.5,128,119,115,2,-2
12/22 11:16:14 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-7.5,-148,7.5,126,119,115,2,-2
12/22 11:15:54 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-7.5,-150,7.5,128,119,115,2,-2
12/22 11:13:15 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.0,-120,10.0,103,119,115,2,-2
12/22 11:13:11 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.0,-124,10.0,106,119,115,2,-2
12/22 11:13:00 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.0,-129,10.0,110,119,115,2,-2
12/22 11:12:54 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.0,-119,10.0,102,119,115,2,-2
12/22 11:12:51 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.0,-118,10.0,101,119,115,2,-2
12/22 11:12:47 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.0,-116,10.0,-101,119,115,2,-2
12/22 11:12:45 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.0,-105,10.0,-112,119,115,2,-2
12/22 11:12:39 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.0,-106,10.0,-110,119,115,2,-2
12/22 11:12:33 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.0,-104,10.0,-112,119,115,2,-2
12/22 11:12:29 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.0,-102,10.0,-115,119,115,2,-2
12/22 11:12:17 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.0,100,10.0,-117,119,115,2,-2
12/22 10:58:46 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.5,-104,10.5,-127,119,115,2,-2
12/22 10:58:41 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.5,-118,10.5,-112,119,115,2,-2
12/22 10:58:35 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-11.5,-116,11.5,-114,119,115,2,-2
12/22 10:58:28 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.0,-101,10.0,-131,119,115,2,-2
12/22 10:58:24 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.0,-113,10.0,-117,119,115,2,-2
12/22 10:58:17 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.0,-124,10.0,-107,119,115,2,-2
12/22 10:57:46 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.0,103,10.0,-137,119,115,2,-2
12/22 10:57:42 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.0,107,10.0,-142,119,115,2,-2
12/22 10:57:39 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.0,-106,10.0,-124,119,115,2,-2
12/22 10:57:36 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.5,-101,10.5,-131,119,115,2,-2
12/22 10:57:29 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.5,-117,10.5,-113,119,115,2,-2
12/22 10:57:27 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.5,-115,10.5,-115,119,115,2,-2
12/22 10:57:20 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-8.5,-124,8.5,-106,119,115,2,-2
12/22 10:57:15 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-9.0,-124,9.0,-107,119,115,2,-2
12/22 10:57:06 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-7.5,-153,7.5,115,119,115,2,-2
12/22 10:56:35 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-7.5,-124,7.5,-106,119,115,2,-2
12/22 10:56:33 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-9.0,-107,9.0,-124,119,115,2,-2
12/22 10:56:29 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-8.5,111,8.5,-147,119,115,2,-2
12/22 10:56:27 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-8.5,-118,8.5,-112,119,115,2,-2
12/22 10:56:18 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-8.5,-133,8.5,100,119,115,2,-2
12/22 10:56:11 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-8.5,-119,8.5,-111,119,115,2,-2
12/22 10:56:08 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-8.5,-121,8.5,-109,119,115,2,-2
12/22 10:56:02 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.5,104,10.5,-138,119,115,2,-2
12/22 10:55:54 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.5,-110,10.5,-121,119,115,2,-2
12/22 10:55:47 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.5,-127,10.5,-104,119,115,2,-2
12/22 10:55:33 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.5,-141,10.5,106,119,115,2,-2
12/22 10:55:29 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.5,-117,10.5,-113,119,115,2,-2
12/22 10:55:23 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.5,-110,10.5,-121,119,115,2,-2
12/22 10:55:18 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.5,-109,10.5,-122,119,115,2,-2
12/22 10:53:47 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.0,-132,10.0,113,119,115,2,-2
12/22 10:53:38 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.0,-131,10.0,112,119,115,2,-2
12/22 10:53:27 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.0,-116,10.0,-101,119,115,2,-2
12/22 10:53:20 am,Pinnacle,Sacramento Kings,Memphis Grizzlies,-10.0,-111,10.0,-105,119,115,2,-2
