Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/21 8:48:27 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,-1000,0.0,673,118,113,-3.5,3.5
1/21 8:39:06 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,130,0.0,-152,118,113,-3.5,3.5
1/21 8:38:57 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,129,0.0,-151,118,113,-3.5,3.5
1/21 8:38:12 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,128,0.0,-150,118,113,-3.5,3.5
1/21 8:32:45 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,-128,0.0,110,118,113,-3.5,3.5
1/21 8:32:33 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,-127,0.0,109,118,113,-3.5,3.5
1/21 8:32:23 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,-128,0.0,109,118,113,-3.5,3.5
1/21 8:32:15 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,-128,0.0,110,118,113,-3.5,3.5
1/21 8:32:06 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,-130,0.0,111,118,113,-3.5,3.5
1/21 8:32:03 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,-141,0.0,121,118,113,-3.5,3.5
1/21 8:31:56 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,-125,0.0,107,118,113,-3.5,3.5
1/21 8:31:51 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,-122,0.0,104,118,113,-3.5,3.5
1/21 8:31:48 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,-124,0.0,106,118,113,-3.5,3.5
1/21 8:31:33 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,-123,0.0,105,118,113,-3.5,3.5
1/21 8:30:36 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,100,0.0,-117,118,113,-3.5,3.5
1/21 8:30:27 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,105,0.0,-123,118,113,-3.5,3.5
1/21 8:30:18 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,104,0.0,-121,118,113,-3.5,3.5
1/21 8:30:06 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,-100,0.0,-116,118,113,-3.5,3.5
1/21 8:29:54 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,101,0.0,-118,118,113,-3.5,3.5
1/21 8:28:51 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,404,0.0,-526,118,113,-3.5,3.5
1/21 8:28:45 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,396,0.0,-513,118,113,-3.5,3.5
1/21 8:28:33 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,391,0.0,-505,118,113,-3.5,3.5
1/21 8:28:27 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,452,0.0,-600,118,113,-3.5,3.5
1/21 8:28:12 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,319,0.0,-400,118,113,-3.5,3.5
1/21 8:26:51 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,124,0.0,-146,118,113,-3.5,3.5
1/21 8:26:45 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,120,0.0,-140,118,113,-3.5,3.5
1/21 8:26:36 am,Pinnacle,Sacramento Kings,Miami Heat,0.0,121,0.0,-142,118,113,-3.5,3.5
