Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/11 11:08:19 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-10.0,-113,10.0,-103,123,111,-10,10
2/11 11:08:02 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-10.0,-112,10.0,-105,123,111,-10,10
2/11 11:07:46 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-10.0,-112,10.0,-104,123,111,-10,10
2/11 11:02:26 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-8.5,-117,8.5,-113,123,111,-10,10
2/11 11:02:22 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-9.5,-114,9.5,-116,123,111,-10,10
2/11 11:02:19 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-9.5,-115,9.5,-115,123,111,-10,10
2/11 11:02:17 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-9.5,-101,9.5,-131,123,111,-10,10
2/11 11:02:02 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-9.5,-116,9.5,-114,123,111,-10,10
2/11 11:01:56 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-9.5,-116,9.5,-114,123,111,-10,10
2/11 11:01:52 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-9.5,-106,9.5,-124,123,111,-10,10
2/11 11:01:45 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-8.5,-138,8.5,104,123,111,-10,10
2/11 11:01:41 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-8.5,-119,8.5,-111,123,111,-10,10
2/11 11:01:38 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-9.5,-114,9.5,-116,123,111,-10,10
2/11 11:01:34 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-9.5,-121,9.5,-109,123,111,-10,10
2/11 11:01:32 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-9.5,-121,9.5,-110,123,111,-10,10
2/11 11:01:30 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-9.5,-118,9.5,-112,123,111,-10,10
2/11 11:01:16 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-9.5,-121,9.5,-110,123,111,-10,10
2/11 11:01:14 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-11.0,-109,11.0,-122,123,111,-10,10
2/11 11:01:12 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-11.0,-107,11.0,-123,123,111,-10,10
2/11 11:01:07 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-11.0,-107,11.0,-124,123,111,-10,10
2/11 11:01:04 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-11.0,-108,11.0,-122,123,111,-10,10
2/11 11:00:37 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-11.0,-108,11.0,-122,123,111,-10,10
2/11 11:00:29 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-10.5,-126,10.5,-105,123,111,-10,10
2/11 10:59:44 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-10.5,-111,10.5,-119,123,111,-10,10
2/11 10:59:40 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-10.0,-122,10.0,-108,123,111,-10,10
2/11 10:59:34 am,Pinnacle,Sacramento Kings,Milwaukee Bucks,-9.5,-110,9.5,-120,123,111,-10,10
