Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/8 12:27:12 pm,Pinnacle,Sacramento Kings,Phoenix Suns,6.0,138,-6.0,-162,103,114,-6.5,6.5
1/8 12:27:03 pm,Pinnacle,Sacramento Kings,Phoenix Suns,6.0,130,-6.0,-152,103,114,-6.5,6.5
1/8 12:26:57 pm,Pinnacle,Sacramento Kings,Phoenix Suns,6.0,120,-6.0,-141,103,114,-6.5,6.5
1/8 12:26:54 pm,Pinnacle,Sacramento Kings,Phoenix Suns,6.0,109,-6.0,-127,103,114,-6.5,6.5
1/8 12:26:51 pm,Pinnacle,Sacramento Kings,Phoenix Suns,6.0,-103,-6.0,-113,103,114,-6.5,6.5
1/8 12:26:42 pm,Pinnacle,Sacramento Kings,Phoenix Suns,6.0,-118,-6.0,101,103,114,-6.5,6.5
1/8 12:22:24 pm,Pinnacle,Sacramento Kings,Phoenix Suns,4.0,143,-4.0,-168,103,114,-6.5,6.5
1/8 12:22:10 pm,Pinnacle,Sacramento Kings,Phoenix Suns,4.0,130,-4.0,-152,103,114,-6.5,6.5
1/8 12:22:06 pm,Pinnacle,Sacramento Kings,Phoenix Suns,4.0,126,-4.0,-148,103,114,-6.5,6.5
1/8 12:22:01 pm,Pinnacle,Sacramento Kings,Phoenix Suns,4.0,111,-4.0,-130,103,114,-6.5,6.5
1/8 12:17:07 pm,Pinnacle,Sacramento Kings,Phoenix Suns,2.0,-113,-2.0,-103,103,114,-6.5,6.5
1/8 12:16:48 pm,Pinnacle,Sacramento Kings,Phoenix Suns,2.0,-118,-2.0,102,103,114,-6.5,6.5
1/8 12:16:30 pm,Pinnacle,Sacramento Kings,Phoenix Suns,2.0,-123,-2.0,105,103,114,-6.5,6.5
1/8 12:16:20 pm,Pinnacle,Sacramento Kings,Phoenix Suns,2.0,-120,-2.0,103,103,114,-6.5,6.5
1/8 12:11:06 pm,Pinnacle,Sacramento Kings,Phoenix Suns,1.0,-104,-1.0,-113,103,114,-6.5,6.5
1/8 12:10:54 pm,Pinnacle,Sacramento Kings,Phoenix Suns,1.0,-103,-1.0,-113,103,114,-6.5,6.5
1/8 12:10:45 pm,Pinnacle,Sacramento Kings,Phoenix Suns,1.0,-104,-1.0,-112,103,114,-6.5,6.5
1/8 12:10:39 pm,Pinnacle,Sacramento Kings,Phoenix Suns,1.0,-105,-1.0,-111,103,114,-6.5,6.5
1/8 12:10:16 pm,Pinnacle,Sacramento Kings,Phoenix Suns,1.0,100,-1.0,-117,103,114,-6.5,6.5
1/8 12:05:54 pm,Pinnacle,Sacramento Kings,Phoenix Suns,1.0,-111,-1.0,-119,103,114,-6.5,6.5
1/8 12:05:45 pm,Pinnacle,Sacramento Kings,Phoenix Suns,1.0,-113,-1.0,-117,103,114,-6.5,6.5
1/8 12:05:42 pm,Pinnacle,Sacramento Kings,Phoenix Suns,-1.0,-103,1.0,-129,103,114,-6.5,6.5
1/8 12:05:30 pm,Pinnacle,Sacramento Kings,Phoenix Suns,-1.0,-106,1.0,-124,103,114,-6.5,6.5
1/8 12:05:24 pm,Pinnacle,Sacramento Kings,Phoenix Suns,-1.0,-106,1.0,-125,103,114,-6.5,6.5
1/8 12:05:12 pm,Pinnacle,Sacramento Kings,Phoenix Suns,-2.0,-121,2.0,-109,103,114,-6.5,6.5
1/8 12:05:09 pm,Pinnacle,Sacramento Kings,Phoenix Suns,-3.0,-117,3.0,-113,103,114,-6.5,6.5
1/8 12:05:06 pm,Pinnacle,Sacramento Kings,Phoenix Suns,-2.0,-122,2.0,-108,103,114,-6.5,6.5
1/8 12:05:05 pm,Pinnacle,Sacramento Kings,Phoenix Suns,-2.0,-120,2.0,-110,103,114,-6.5,6.5
1/8 12:04:51 pm,Pinnacle,Sacramento Kings,Phoenix Suns,-2.0,-112,2.0,-118,103,114,-6.5,6.5
1/8 12:04:49 pm,Pinnacle,Sacramento Kings,Phoenix Suns,-2.0,-106,2.0,-125,103,114,-6.5,6.5
1/8 12:04:21 pm,Pinnacle,Sacramento Kings,Phoenix Suns,-1.5,-133,1.5,101,103,114,-6.5,6.5
1/8 12:04:18 pm,Pinnacle,Sacramento Kings,Phoenix Suns,-1.5,-123,1.5,-108,103,114,-6.5,6.5
1/8 12:04:06 pm,Pinnacle,Sacramento Kings,Phoenix Suns,-1.5,-117,1.5,-113,103,114,-6.5,6.5
1/8 12:04:03 pm,Pinnacle,Sacramento Kings,Phoenix Suns,-1.5,-118,1.5,-112,103,114,-6.5,6.5
1/8 12:04:00 pm,Pinnacle,Sacramento Kings,Phoenix Suns,-2.0,-123,2.0,-108,103,114,-6.5,6.5
1/8 12:03:57 pm,Pinnacle,Sacramento Kings,Phoenix Suns,-3.0,-117,3.0,-113,103,114,-6.5,6.5
1/8 12:03:54 pm,Pinnacle,Sacramento Kings,Phoenix Suns,-2.5,-124,2.5,-107,103,114,-6.5,6.5
1/8 12:03:45 pm,Pinnacle,Sacramento Kings,Phoenix Suns,-2.0,-146,2.0,110,103,114,-6.5,6.5
1/8 12:03:42 pm,Pinnacle,Sacramento Kings,Phoenix Suns,-2.0,-124,2.0,-107,103,114,-6.5,6.5
1/8 12:03:39 pm,Pinnacle,Sacramento Kings,Phoenix Suns,-3.5,-117,3.5,-113,103,114,-6.5,6.5
1/8 12:03:24 pm,Pinnacle,Sacramento Kings,Phoenix Suns,-3.5,-107,3.5,-123,103,114,-6.5,6.5
