Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/5 1:07:38 pm,Pinnacle,Sacramento Kings,Portland Trail Blazers,-9.5,114,9.5,-133,127,116,-4.5,4.5
12/5 1:03:05 pm,Pinnacle,Sacramento Kings,Portland Trail Blazers,-7.5,107,7.5,-125,127,116,-4.5,4.5
12/5 1:01:25 pm,Pinnacle,Sacramento Kings,Portland Trail Blazers,-7.5,106,7.5,-124,127,116,-4.5,4.5
12/5 12:58:04 pm,Pinnacle,Sacramento Kings,Portland Trail Blazers,-4.5,-120,4.5,-110,127,116,-4.5,4.5
12/5 12:56:24 pm,Pinnacle,Sacramento Kings,Portland Trail Blazers,-6.5,-104,6.5,-112,127,116,-4.5,4.5
12/5 12:54:44 pm,Pinnacle,Sacramento Kings,Portland Trail Blazers,-6.5,-114,6.5,-116,127,116,-4.5,4.5
12/5 12:53:04 pm,Pinnacle,Sacramento Kings,Portland Trail Blazers,-5.5,-126,5.5,-105,127,116,-4.5,4.5
12/5 12:51:24 pm,Pinnacle,Sacramento Kings,Portland Trail Blazers,-7.0,118,7.0,-157,127,116,-4.5,4.5
12/5 12:49:44 pm,Pinnacle,Sacramento Kings,Portland Trail Blazers,-7.5,-118,7.5,-112,127,116,-4.5,4.5
12/5 12:47:56 pm,Pinnacle,Sacramento Kings,Portland Trail Blazers,-5.5,-112,5.5,-104,127,116,-4.5,4.5
12/5 12:44:54 pm,Pinnacle,Sacramento Kings,Portland Trail Blazers,-4.5,-110,4.5,-121,127,116,-4.5,4.5
12/5 12:43:13 pm,Pinnacle,Sacramento Kings,Portland Trail Blazers,-3.5,-103,3.5,-128,127,116,-4.5,4.5
12/5 12:41:34 pm,Pinnacle,Sacramento Kings,Portland Trail Blazers,-3.5,-142,3.5,107,127,116,-4.5,4.5
12/5 12:38:14 pm,Pinnacle,Sacramento Kings,Portland Trail Blazers,-2.0,-119,2.0,-111,127,116,-4.5,4.5
12/5 12:36:33 pm,Pinnacle,Sacramento Kings,Portland Trail Blazers,-4.0,-120,4.0,-110,127,116,-4.5,4.5
12/5 12:16:50 pm,Pinnacle,Sacramento Kings,Portland Trail Blazers,-2.0,-185,2.0,166,127,116,-4.5,4.5
12/5 12:13:45 pm,Pinnacle,Sacramento Kings,Portland Trail Blazers,-4.5,-113,4.5,102,127,116,-4.5,4.5
