Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/7 10:49:32 am,Pinnacle,Sacramento Kings,Toronto Raptors,-10.0,114,10.0,-134,124,120,-8,8
11/7 10:49:02 am,Pinnacle,Sacramento Kings,Toronto Raptors,-10.0,112,10.0,-131,124,120,-8,8
11/7 10:48:55 am,Pinnacle,Sacramento Kings,Toronto Raptors,-10.0,108,10.0,-126,124,120,-8,8
11/7 10:48:53 am,Pinnacle,Sacramento Kings,Toronto Raptors,-10.0,102,10.0,-119,124,120,-8,8
11/7 10:48:50 am,Pinnacle,Sacramento Kings,Toronto Raptors,-10.0,100,10.0,-117,124,120,-8,8
11/7 10:48:46 am,Pinnacle,Sacramento Kings,Toronto Raptors,-10.0,-107,10.0,-109,124,120,-8,8
11/7 10:48:43 am,Pinnacle,Sacramento Kings,Toronto Raptors,-10.0,-109,10.0,-107,124,120,-8,8
11/7 10:48:35 am,Pinnacle,Sacramento Kings,Toronto Raptors,-10.0,-112,10.0,-104,124,120,-8,8
11/7 10:41:38 am,Pinnacle,Sacramento Kings,Toronto Raptors,-7.5,-108,7.5,-108,124,120,-8,8
11/7 10:41:01 am,Pinnacle,Sacramento Kings,Toronto Raptors,-7.5,-105,7.5,-112,124,120,-8,8
11/7 10:40:47 am,Pinnacle,Sacramento Kings,Toronto Raptors,-7.5,-108,7.5,-108,124,120,-8,8
11/7 10:40:25 am,Pinnacle,Sacramento Kings,Toronto Raptors,-7.5,-113,7.5,-117,124,120,-8,8
11/7 10:40:08 am,Pinnacle,Sacramento Kings,Toronto Raptors,-6.5,-125,6.5,-106,124,120,-8,8
11/7 10:39:50 am,Pinnacle,Sacramento Kings,Toronto Raptors,-7.0,-106,7.0,-124,124,120,-8,8
11/7 10:39:47 am,Pinnacle,Sacramento Kings,Toronto Raptors,-6.0,-125,6.0,-106,124,120,-8,8
11/7 10:39:41 am,Pinnacle,Sacramento Kings,Toronto Raptors,-5.5,-137,5.5,103,124,120,-8,8
11/7 10:39:28 am,Pinnacle,Sacramento Kings,Toronto Raptors,-5.5,-125,5.5,-106,124,120,-8,8
11/7 10:39:10 am,Pinnacle,Sacramento Kings,Toronto Raptors,-7.0,-110,7.0,-120,124,120,-8,8
11/7 10:39:05 am,Pinnacle,Sacramento Kings,Toronto Raptors,-7.0,-108,7.0,-122,124,120,-8,8
11/7 10:38:58 am,Pinnacle,Sacramento Kings,Toronto Raptors,-8.5,-110,8.5,-121,124,120,-8,8
11/7 10:38:53 am,Pinnacle,Sacramento Kings,Toronto Raptors,-8.5,-114,8.5,-116,124,120,-8,8
11/7 10:38:47 am,Pinnacle,Sacramento Kings,Toronto Raptors,-8.5,-116,8.5,-114,124,120,-8,8
11/7 10:38:44 am,Pinnacle,Sacramento Kings,Toronto Raptors,-8.5,-124,8.5,-107,124,120,-8,8
11/7 10:38:38 am,Pinnacle,Sacramento Kings,Toronto Raptors,-7.5,-124,7.5,-107,124,120,-8,8
11/7 10:38:29 am,Pinnacle,Sacramento Kings,Toronto Raptors,-7.0,-109,7.0,-121,124,120,-8,8
11/7 10:38:20 am,Pinnacle,Sacramento Kings,Toronto Raptors,-7.0,-109,7.0,-122,124,120,-8,8
11/7 10:38:11 am,Pinnacle,Sacramento Kings,Toronto Raptors,-6.0,-118,6.0,-112,124,120,-8,8
11/7 10:35:58 am,Pinnacle,Sacramento Kings,Toronto Raptors,-6.0,-112,6.0,-104,124,120,-8,8
11/7 10:35:41 am,Pinnacle,Sacramento Kings,Toronto Raptors,-6.0,-113,6.0,-103,124,120,-8,8
11/7 10:35:20 am,Pinnacle,Sacramento Kings,Toronto Raptors,-6.0,-111,6.0,-105,124,120,-8,8
11/7 10:34:59 am,Pinnacle,Sacramento Kings,Toronto Raptors,-6.0,-118,6.0,-112,124,120,-8,8
11/7 10:34:53 am,Pinnacle,Sacramento Kings,Toronto Raptors,-5.0,-121,5.0,-110,124,120,-8,8
11/7 10:34:50 am,Pinnacle,Sacramento Kings,Toronto Raptors,-6.5,-117,6.5,-113,124,120,-8,8
