Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/19 12:07:18 pm,Pinnacle,Sacramento Kings,Utah Jazz,-18.0,-151,18.0,129,123,101,-9,9
1/19 12:07:10 pm,Pinnacle,Sacramento Kings,Utah Jazz,-18.0,-141,18.0,121,123,101,-9,9
1/19 12:06:55 pm,Pinnacle,Sacramento Kings,Utah Jazz,-18.0,-129,18.0,110,123,101,-9,9
1/19 12:06:39 pm,Pinnacle,Sacramento Kings,Utah Jazz,-18.0,-114,18.0,-102,123,101,-9,9
1/19 12:05:30 pm,Pinnacle,Sacramento Kings,Utah Jazz,-20.0,-113,20.0,-117,123,101,-9,9
1/19 12:05:21 pm,Pinnacle,Sacramento Kings,Utah Jazz,-20.0,-110,20.0,-121,123,101,-9,9
1/19 12:04:54 pm,Pinnacle,Sacramento Kings,Utah Jazz,-19.0,-112,19.0,-118,123,101,-9,9
1/19 12:04:51 pm,Pinnacle,Sacramento Kings,Utah Jazz,-18.5,-123,18.5,-107,123,101,-9,9
1/19 12:04:42 pm,Pinnacle,Sacramento Kings,Utah Jazz,-18.5,-114,18.5,-116,123,101,-9,9
1/19 12:04:36 pm,Pinnacle,Sacramento Kings,Utah Jazz,-18.5,-112,18.5,-119,123,101,-9,9
1/19 12:04:00 pm,Pinnacle,Sacramento Kings,Utah Jazz,-18.5,-111,18.5,-119,123,101,-9,9
1/19 12:03:39 pm,Pinnacle,Sacramento Kings,Utah Jazz,-18.5,-110,18.5,-121,123,101,-9,9
1/19 12:03:27 pm,Pinnacle,Sacramento Kings,Utah Jazz,-17.5,-124,17.5,-107,123,101,-9,9
1/19 12:03:18 pm,Pinnacle,Sacramento Kings,Utah Jazz,-19.0,-110,19.0,-120,123,101,-9,9
1/19 12:03:12 pm,Pinnacle,Sacramento Kings,Utah Jazz,-19.0,-120,19.0,-110,123,101,-9,9
1/19 12:03:03 pm,Pinnacle,Sacramento Kings,Utah Jazz,-17.5,-119,17.5,-112,123,101,-9,9
1/19 12:02:57 pm,Pinnacle,Sacramento Kings,Utah Jazz,-16.5,-130,16.5,-102,123,101,-9,9
1/19 12:02:55 pm,Pinnacle,Sacramento Kings,Utah Jazz,-16.5,-121,16.5,-110,123,101,-9,9
1/19 12:02:33 pm,Pinnacle,Sacramento Kings,Utah Jazz,-16.5,-121,16.5,-110,123,101,-9,9
1/19 12:02:27 pm,Pinnacle,Sacramento Kings,Utah Jazz,-17.0,-109,17.0,-122,123,101,-9,9
1/19 12:02:24 pm,Pinnacle,Sacramento Kings,Utah Jazz,-17.0,-109,17.0,-122,123,101,-9,9
1/19 12:02:18 pm,Pinnacle,Sacramento Kings,Utah Jazz,-17.5,-115,17.5,-115,123,101,-9,9
1/19 12:02:15 pm,Pinnacle,Sacramento Kings,Utah Jazz,-17.5,-124,17.5,-107,123,101,-9,9
1/19 12:02:03 pm,Pinnacle,Sacramento Kings,Utah Jazz,-16.5,-124,16.5,-107,123,101,-9,9
1/19 12:02:00 pm,Pinnacle,Sacramento Kings,Utah Jazz,-17.5,-122,17.5,-109,123,101,-9,9
