Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/7 10:49:13 am,RedZone,San Antonio Spurs,Brooklyn Nets,-18.5,-125,18.5,101,139,121,-3.5,3.5
3/7 10:49:02 am,RedZone,San Antonio Spurs,Brooklyn Nets,-18.5,-106,18.5,-117,139,121,-3.5,3.5
3/7 10:48:45 am,RedZone,San Antonio Spurs,Brooklyn Nets,-18.5,-129,18.5,104,139,121,-3.5,3.5
3/7 10:48:34 am,RedZone,San Antonio Spurs,Brooklyn Nets,-19.5,-112,19.5,-112,139,121,-3.5,3.5
3/7 10:48:10 am,RedZone,San Antonio Spurs,Brooklyn Nets,-19.5,-103,19.5,-121,139,121,-3.5,3.5
3/7 10:47:48 am,RedZone,San Antonio Spurs,Brooklyn Nets,-20.5,-106,20.5,-117,139,121,-3.5,3.5
3/7 10:47:31 am,RedZone,San Antonio Spurs,Brooklyn Nets,-21.5,-106,21.5,-117,139,121,-3.5,3.5
3/7 10:47:02 am,RedZone,San Antonio Spurs,Brooklyn Nets,-20.5,-125,20.5,101,139,121,-3.5,3.5
3/7 10:46:56 am,RedZone,San Antonio Spurs,Brooklyn Nets,-21.5,-103,21.5,-121,139,121,-3.5,3.5
3/7 10:46:42 am,RedZone,San Antonio Spurs,Brooklyn Nets,-22.5,-112,22.5,-112,139,121,-3.5,3.5
3/7 10:46:29 am,RedZone,San Antonio Spurs,Brooklyn Nets,-23.5,-112,23.5,-112,139,121,-3.5,3.5
3/7 10:46:09 am,RedZone,San Antonio Spurs,Brooklyn Nets,-22.5,-126,22.5,101,139,121,-3.5,3.5
3/7 10:45:47 am,RedZone,San Antonio Spurs,Brooklyn Nets,-23.5,-105,23.5,-118,139,121,-3.5,3.5
3/7 10:45:31 am,RedZone,San Antonio Spurs,Brooklyn Nets,-24.5,104,24.5,-130,139,121,-3.5,3.5
3/7 10:45:24 am,RedZone,San Antonio Spurs,Brooklyn Nets,-23.5,-118,23.5,-105,139,121,-3.5,3.5
3/7 10:44:59 am,RedZone,San Antonio Spurs,Brooklyn Nets,-23.5,-102,23.5,-122,139,121,-3.5,3.5
3/7 10:44:46 am,RedZone,San Antonio Spurs,Brooklyn Nets,-24.5,101,24.5,-126,139,121,-3.5,3.5
3/7 10:44:26 am,RedZone,San Antonio Spurs,Brooklyn Nets,-22.5,101,22.5,-126,139,121,-3.5,3.5
3/7 10:44:02 am,RedZone,San Antonio Spurs,Brooklyn Nets,-20.5,-118,20.5,-105,139,121,-3.5,3.5
3/7 10:43:39 am,RedZone,San Antonio Spurs,Brooklyn Nets,-18.5,-118,18.5,-105,139,121,-3.5,3.5
3/7 10:43:17 am,Pinnacle,San Antonio Spurs,Brooklyn Nets,-17.5,-104,17.5,-112,139,121,-3.5,3.5
3/7 10:43:13 am,Pinnacle,San Antonio Spurs,Brooklyn Nets,-17.5,-103,17.5,-114,139,121,-3.5,3.5
3/7 10:43:04 am,Pinnacle,San Antonio Spurs,Brooklyn Nets,-17.5,100,17.5,-117,139,121,-3.5,3.5
3/7 10:43:00 am,Pinnacle,San Antonio Spurs,Brooklyn Nets,-17.0,-117,17.0,100,139,121,-3.5,3.5
3/7 10:41:58 am,RedZone,San Antonio Spurs,Brooklyn Nets,-17.5,-112,17.5,-112,139,121,-3.5,3.5
3/7 10:41:36 am,RedZone,San Antonio Spurs,Brooklyn Nets,-15.5,-112,15.5,-112,139,121,-3.5,3.5
3/7 10:41:11 am,RedZone,San Antonio Spurs,Brooklyn Nets,-14.5,-112,14.5,-112,139,121,-3.5,3.5
3/7 10:40:52 am,Pinnacle,San Antonio Spurs,Brooklyn Nets,-15.5,-111,15.5,-119,139,121,-3.5,3.5
3/7 10:40:40 am,Pinnacle,San Antonio Spurs,Brooklyn Nets,-16.5,-112,16.5,-118,139,121,-3.5,3.5
3/7 10:40:36 am,Pinnacle,San Antonio Spurs,Brooklyn Nets,-16.5,-105,16.5,-111,139,121,-3.5,3.5
3/7 10:39:44 am,RedZone,San Antonio Spurs,Brooklyn Nets,-16.5,-105,16.5,-118,139,121,-3.5,3.5
3/7 10:39:37 am,Pinnacle,San Antonio Spurs,Brooklyn Nets,-16.5,-105,16.5,-111,139,121,-3.5,3.5
3/7 10:39:32 am,Pinnacle,San Antonio Spurs,Brooklyn Nets,-16.5,-105,16.5,-111,139,121,-3.5,3.5
3/7 10:39:28 am,Pinnacle,San Antonio Spurs,Brooklyn Nets,-16.5,-102,16.5,-114,139,121,-3.5,3.5
3/7 10:39:16 am,Pinnacle,San Antonio Spurs,Brooklyn Nets,-16.5,-108,16.5,-108,139,121,-3.5,3.5
3/7 10:38:22 am,Pinnacle,San Antonio Spurs,Brooklyn Nets,-16.5,-109,16.5,-107,139,121,-3.5,3.5
3/7 10:38:16 am,Pinnacle,San Antonio Spurs,Brooklyn Nets,-16.5,-108,16.5,-108,139,121,-3.5,3.5
3/7 10:38:11 am,Pinnacle,San Antonio Spurs,Brooklyn Nets,-16.5,-108,16.5,-108,139,121,-3.5,3.5
3/7 10:38:00 am,RedZone,San Antonio Spurs,Brooklyn Nets,-15.5,-126,15.5,101,139,121,-3.5,3.5
3/7 10:37:50 am,Pinnacle,San Antonio Spurs,Brooklyn Nets,-16.5,-109,16.5,-107,139,121,-3.5,3.5
3/7 10:37:41 am,Pinnacle,San Antonio Spurs,Brooklyn Nets,-16.5,-116,16.5,-114,139,121,-3.5,3.5
3/7 10:37:41 am,RedZone,San Antonio Spurs,Brooklyn Nets,-16.5,101,16.5,-125,139,121,-3.5,3.5
3/7 10:37:37 am,Pinnacle,San Antonio Spurs,Brooklyn Nets,-15.5,-113,15.5,-118,139,121,-3.5,3.5
3/7 10:37:31 am,Pinnacle,San Antonio Spurs,Brooklyn Nets,-15.5,-126,15.5,-105,139,121,-3.5,3.5
3/7 10:37:31 am,RedZone,San Antonio Spurs,Brooklyn Nets,-15.5,-115,15.5,-108,139,121,-3.5,3.5
3/7 10:37:25 am,Pinnacle,San Antonio Spurs,Brooklyn Nets,-15.5,-113,15.5,-118,139,121,-3.5,3.5
3/7 10:37:22 am,Pinnacle,San Antonio Spurs,Brooklyn Nets,-15.0,-114,15.0,-116,139,121,-3.5,3.5
3/7 10:37:11 am,Pinnacle,San Antonio Spurs,Brooklyn Nets,-15.0,-107,15.0,-123,139,121,-3.5,3.5
3/7 10:37:08 am,Pinnacle,San Antonio Spurs,Brooklyn Nets,-13.5,-122,13.5,-109,139,121,-3.5,3.5
3/7 10:37:08 am,RedZone,San Antonio Spurs,Brooklyn Nets,-14.5,101,14.5,-126,139,121,-3.5,3.5
3/7 10:36:54 am,RedZone,San Antonio Spurs,Brooklyn Nets,-14.5,-108,14.5,-115,139,121,-3.5,3.5
3/7 10:36:44 am,Pinnacle,San Antonio Spurs,Brooklyn Nets,-15.0,-110,15.0,-120,139,121,-3.5,3.5
3/7 10:36:41 am,RedZone,San Antonio Spurs,Brooklyn Nets,-14.5,-121,14.5,-103,139,121,-3.5,3.5
3/7 10:36:35 am,Pinnacle,San Antonio Spurs,Brooklyn Nets,-15.0,-124,15.0,-107,139,121,-3.5,3.5
3/7 10:36:28 am,RedZone,San Antonio Spurs,Brooklyn Nets,-14.5,-125,14.5,101,139,121,-3.5,3.5
